set,query_id,script,path,ki_bucket,nat_bucket,source_rank,hit5,success5,labels,n_labels,query_text
R-KI,R027,MIXED,urdu_bm25,HIT,,4,True,,,,کلینڈ میں نیوزی لینڈ ne West Indies ko pehle T20 mein kitne runs se haraaya
R-KI,R028,MIXED,urdu_bm25,ABSENT,,,False,,,,فیس بک comments mein animated GIF bhejne ka naya button kab aaya
R-KI,R029,MIXED,urdu_bm25,ABSENT,,,False,,,,سوشل میڈia ki khabron ke baad Imad Wasim ne shadi ke bare mein kya kaha
R-KI,R030,ROMAN,roman_bm25_method_D,ABSENT,,,False,,,,2018 ke pehle ODI mein Pakistan ko New Zealand se kitni runs ki shikast hui
R-KI,R031,ROMAN,roman_bm25_method_D,ABSENT,,,False,,,,open market mein dollar ki qeemat 20 paisay kam hokar kitni reh gayi
R-KI,R032,MIXED,urdu_bm25,ABSENT,,,False,,,,ارطغرل ڈرامے ki Halima Sultan Pakistan aane ki khwahish kyun zahir ki
R-KI,R033,MIXED,urdu_bm25,ABSENT,,,False,,,,ٹرمپ ke pehle tees dinon mein Dow Jones ka century record kyun toota
R-KI,R034,MIXED,urdu_bm25,RANK,,33,False,,,,شعیب ملک Champions Trophy mein kitni martaba shamil ho chuke hain
R-KI,R035,MIXED,urdu_bm25,RANK,,6,False,,,,راکھی ساونت Ludhiana court mein giraftari se kaise bach gayi
R-KI,R036,URDU,urdu_bm25,RANK,,7,False,,,,اسٹار وارز ساتویں فلم کا نیا ٹریلر کب جاری ہوا
R-KI,R037,URDU,urdu_bm25,HIT,,1,True,,,,ڈھاکہ میں فیشن ویک کس شہر میں جاری ہے
R-KI,R038,MIXED,urdu_bm25,ABSENT,,,False,,,,نیویارک میں خاتoon ke purse mein Galaxy Note jalne ka waqia kya tha
R-KI,R039,MIXED,urdu_bm25,ABSENT,,,False,,,,برسبن ٹیسٹ میں پاکستان ko innings shikast se bachne ke liye kitne runs chahiye
R-KI,R040,MIXED,urdu_bm25,ABSENT,,,False,,,,موٹورولا ne apna pehla foldable phone confirm karte hue kya bataya
R-KI,R041,MIXED,urdu_bm25,RANK,,6,False,,,,کمار سانو ke khilaf school function mein raat bhar gaana gaane par kya case bana
R-KI,R042,ROMAN,roman_bm25_method_D,ABSENT,,,False,,,,Iran ne 100 meter door se corona mareez pehchanne wala kya device mutaarif karaya
R-KI,R043,MIXED,urdu_bm25,HIT,,4,True,,,,نرگس فخری ne hamla hone ki afwahon par kya jawab diya
R-KI,R044,MIXED,urdu_bm25,ABSENT,,,False,,,,اسحاق ڈار ne SECP ki karکردagi par kya raay di
R-KI,R045,ROMAN,roman_bm25_method_D,ABSENT,,,False,,,,Galaxy S10 ke kitne alag versions leak hokar samne aaye hain
R-KI,R046,MIXED,urdu_bm25,ABSENT,,,False,,,,میرا ke jhoothi shadi ke case mein Atiq ur Rehman ko adalat ne kyun bulaya
R-KI,R047,MIXED,urdu_bm25,RANK,,43,False,,,,فرانس ne Chitral aur Dargai hydropower plants ke liye kitna euro qarz diya
R-KI,R048,MIXED,urdu_bm25,RANK,,19,False,,,,جراسک ورلڈ ne doosre hafte bhi US box office par kya position barqarar rakhi
R-KI,R049,ROMAN,roman_bm25_method_D,HIT,,3,True,,,,Anne Hathaway ki film Song One ka pehla trailer kab release hua
R-KI,R050,MIXED,urdu_bm25,RANK,,17,False,,,,انڈر 19 ایشیا کپ فائنل Pakistan aur Bharat ka match kis natije par khatam hua
R-NAT,R051,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,aaj Pakistan ka cricket match kahan khela ja raha hai
R-NAT,R052,URDU,urdu_bm25,,NAT_OK,,,True,,5,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے
R-NAT,R053,MIXED,urdu_bm25,,NAT_OK,,,True,,5,پٹرول ki qeemat mein kal kya tabdeeli hui
R-NAT,R054,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai
R-NAT,R055,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,psl 2026 playoff schedule kab announce hoga
R-NAT,R056,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,shaheen shah afridi ki bowling form ka kya haal hai
R-NAT,R057,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,lahore se rawalpindi train ka kiraya kitna hai
R-NAT,R058,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,Pakistan mein mobile internet speed slow kyun rehti hai
R-NAT,R059,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,netflix Pakistan subscription price
R-NAT,R060,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,کراچی mein aaj raat load shedding ka schedule
R-NAT,R061,MIXED,urdu_bm25,,NAT_OK,,,True,,5,آئی ایم ایف program se awam par kya asraat par rahe hain
R-NAT,R062,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,5G Pakistan mein kab available hogi
R-NAT,R063,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,شہbaz sharif
R-NAT,R064,MIXED,urdu_bm25,,NAT_OK,,,True,,5,سونے ki aaj ki qeemat
R-NAT,R065,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,Pakistan cricket team recent tours par performance kyun inconsistent hai
R-NAT,R066,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,LUMS undergraduate admission deadline 2026
R-NAT,R067,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Pakistani dramas ki stories pehle se kam strong kyun lagti hain
R-NAT,R068,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,iphone 16 Pakistan price
R-NAT,R069,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,cristiano ronaldo al nassr news
R-NAT,R070,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,کراچی stock exchange aaj close par kitne points par band hua
R-NAT,R071,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Lahore mein smog season mein schools band kyun hoti hain aur hukumat kya kar rahi hai
R-NAT,R072,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,ایشیا کپ 2026 schedule Pakistan
R-NAT,R073,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,وفاقی budget 2026 kab present hoga
R-NAT,R074,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,mahira khan new film
R-NAT,R075,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,AI tools ki wajah se Pakistan mein naujawan developers ke liye opportunities ka kya hoga
R-NAT,R076,MIXED,urdu_bm25,,NAT_FAIL_NO_AB,,,False,,5,Islamabad ka موسم aaj kaisa hai
R-NAT,R077,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,ghar ke liye solar panel price in Pakistan
R-NAT,R078,MIXED,urdu_bm25,,NAT_FAIL_ALL_D,,,False,,5,کراچی میں شاہراہِ فیصل پر روزانہ jam kyun lagta hai
R-NAT,R079,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,youtube premium family plan Pakistan
R-NAT,R080,ROMAN,,,NAT_ZERO_HITS,,,False,,0,mickey arthur
R-NAT,R081,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,SUPARCO ne haal hi mein kya satellite mission announce kiya
R-NAT,R082,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Pakistan ki textile exports kam kyun ho rahi hain
R-NAT,R083,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Pakistani passport fees 2026
R-NAT,R084,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,HBL PSL 2026 final date and venue
R-NAT,R085,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,Pakistan mein khawateen ke liye public transport safe kyun nahi samjhi jati
R-NAT,R086,MIXED,urdu_bm25,,NAT_OK,,,True,,5,روپے ki value ke baray mein latest update
R-NAT,R087,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,gwadar port news
R-NAT,R088,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Pakistani film box office Eid 2026
R-NAT,R089,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,online banking fraud se bachne ke liye users ko kya karna chahiye
R-NAT,R090,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,matric result 2026 kab aye ga punjab
R-NAT,R091,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,CPEC projects se Pakistan par qarz ka bojh barhne ki baat kyun hoti hai
R-NAT,R092,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,Pakistan hockey team ranking
R-NAT,R093,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,UK visit visa processing time from Pakistan
R-NAT,R094,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,atif aslam concert Pakistan
R-NAT,R095,MIXED,urdu_bm25,,NAT_FAIL_NO_AB,,,False,,5,سیلاب ke baad kisanon ko fasal ke nuqsan ka muawza kyun late milta hai
R-NAT,R096,ROMAN,roman_bm25_method_D,,NAT_OK,,,True,,5,Eid ka chand kab nazar aayega Pakistan
R-NAT,R097,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Karachi property tax online payment ka tareeqa
R-NAT,R098,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Turkish dramas Pakistan mein itne popular kyun ho gaye hain
R-NAT,R099,ROMAN,roman_bm25_method_D,,NAT_FAIL_ALL_D,,,False,,5,Pakistan mein COVID cases ka latest data
R-NAT,R100,ROMAN,roman_bm25_method_D,,NAT_FAIL_NO_AB,,,False,,5,lahore qalandars squad
