query_id,doc_id,systems,in_M0_top5,in_M2A_top5,in_M2B_top5,label_source_planned,carried_label
R063,18425,M0|M2-B,True,False,True,carried_m0,D
R063,61896,M0|M2-B,True,False,True,carried_m0,D
R063,72972,M2-A,False,True,False,needs_new,
R063,5308,M2-B,False,False,True,needs_new,
R063,73835,M2-A,False,True,False,needs_new,
R063,98048,M0|M2-B,True,False,True,carried_m0,D
R063,87287,M0,True,False,False,carried_m0,D
R063,92731,M2-A,False,True,False,needs_new,
R064,72315,M2-A,False,True,False,needs_new,
R064,71940,M0,True,False,False,carried_m0,A
R064,110966,M2-B,False,False,True,needs_new,
R064,73178,M0|M2-A|M2-B,True,True,True,carried_m0,A
R064,859,M2-A,False,True,False,needs_new,
R064,111431,M2-B,False,False,True,needs_new,
R064,65293,M0|M2-B,True,False,True,carried_m0,A
R064,38440,M2-A,False,True,False,needs_new,
R064,111418,M0,True,False,False,carried_m0,A
R064,38424,M2-A,False,True,False,needs_new,
R064,65169,M2-B,False,False,True,needs_new,
R064,71277,M0,True,False,False,carried_m0,A
R065,56234,M2-B,False,False,True,needs_new,
R065,87394,M0,True,False,False,carried_m0,D
R065,87447,M0,True,False,False,carried_m0,D
R065,94940,M0,True,False,False,carried_m0,C
R065,90472,M2-B,False,False,True,needs_new,
R065,93040,M2-A,False,True,False,needs_new,
R065,52184,M2-A,False,True,False,needs_new,
R065,83704,M2-A,False,True,False,needs_new,
R065,94522,M0,True,False,False,carried_m0,D
R065,87538,M0|M2-B,True,False,True,carried_m0,D
R065,32252,M2-B,False,False,True,needs_new,
R065,82230,M2-A,False,True,False,needs_new,
R065,45327,M2-B,False,False,True,needs_new,
R065,29655,M2-A,False,True,False,needs_new,
R066,30560,M0|M2-B,True,False,True,carried_m0,D
R066,95689,M2-A,False,True,False,needs_new,
R066,73183,M2-A,False,True,False,needs_new,
R066,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R066,31206,M0|M2-A,True,True,False,carried_m0,D
R066,27820,M2-B,False,False,True,needs_new,
R066,55132,M0|M2-B,True,False,True,carried_m0,D
R066,26590,M0|M2-B,True,False,True,carried_m0,D
R066,110939,M2-A,False,True,False,needs_new,
R067,109928,M2-B,False,False,True,needs_new,
R067,107523,M2-A,False,True,False,needs_new,
R067,11438,M0,True,False,False,carried_m0,D
R067,42846,M0,True,False,False,carried_m0,D
R067,106805,M2-A,False,True,False,needs_new,
R067,75481,M2-A,False,True,False,needs_new,
R067,106866,M2-A,False,True,False,needs_new,
R067,12303,M2-B,False,False,True,needs_new,
R067,79584,M2-B,False,False,True,needs_new,
R067,109112,M0|M2-B,True,False,True,carried_m0,D
R067,109104,M0|M2-B,True,False,True,carried_m0,D
R067,111268,M2-A,False,True,False,needs_new,
R067,102011,M0,True,False,False,carried_m0,D
R068,63186,M2-A,False,True,False,needs_new,
R068,56688,M2-B,False,False,True,needs_new,
R068,63256,M2-A,False,True,False,needs_new,
R068,3096,M2-B,False,False,True,needs_new,
R068,63614,M0|M2-B,True,False,True,carried_m0,D
R068,61386,M0,True,False,False,carried_m0,D
R068,63182,M2-A,False,True,False,needs_new,
R068,1032,M2-B,False,False,True,needs_new,
R068,65609,M0|M2-B,True,False,True,carried_m0,D
R068,63196,M0|M2-A,True,True,False,carried_m0,D
R068,64642,M0|M2-A,True,True,False,carried_m0,D
R069,8143,M0|M2-A,True,True,False,carried_m0,D
R069,44476,M0|M2-A,True,True,False,carried_m0,C
R069,86928,M2-A,False,True,False,needs_new,
R069,51121,M2-B,False,False,True,needs_new,
R069,27368,M0|M2-A|M2-B,True,True,True,carried_m0,C
R069,33511,M2-B,False,False,True,needs_new,
R069,54965,M2-B,False,False,True,needs_new,
R069,29966,M0|M2-A,True,True,False,carried_m0,D
R069,49708,M0,True,False,False,carried_m0,D
R069,30461,M2-B,False,False,True,needs_new,
R070,88959,M2-A,False,True,False,needs_new,
R070,65584,M0,True,False,False,carried_m0,D
R070,111021,M0|M2-A|M2-B,True,True,True,carried_m0,D
R070,62963,M0|M2-A,True,True,False,carried_m0,D
R070,57899,M0|M2-A|M2-B,True,True,True,carried_m0,D
R070,76727,M2-B,False,False,True,needs_new,
R070,18837,M2-B,False,False,True,needs_new,
R070,86673,M0|M2-A,True,True,False,carried_m0,D
R070,30424,M2-B,False,False,True,needs_new,
R071,24433,M2-A,False,True,False,needs_new,
R071,24810,M2-A,False,True,False,needs_new,
R071,66314,M0|M2-B,True,False,True,carried_m0,D
R071,48092,M0|M2-B,True,False,True,carried_m0,D
R071,31760,M2-A,False,True,False,needs_new,
R071,41326,M2-A,False,True,False,needs_new,
R071,48389,M0,True,False,False,carried_m0,D
R071,5544,M0,True,False,False,carried_m0,D
R071,28828,M2-A,False,True,False,needs_new,
R071,66936,M2-B,False,False,True,needs_new,
R071,106804,M2-B,False,False,True,needs_new,
R071,106955,M2-B,False,False,True,needs_new,
R071,16051,M0,True,False,False,carried_m0,D
R072,26590,M0|M2-A|M2-B,True,True,True,carried_m0,D
R072,31206,M0|M2-A,True,True,False,carried_m0,D
R072,84126,M0|M2-A,True,True,False,carried_m0,D
R072,30560,M2-B,False,False,True,needs_new,
R072,80899,M2-B,False,False,True,needs_new,
R072,27820,M0|M2-B,True,False,True,carried_m0,D
R072,33113,M2-A,False,True,False,needs_new,
R072,55132,M0|M2-A|M2-B,True,True,True,carried_m0,D
R073,30560,M0|M2-B,True,False,True,carried_m0,D
R073,84126,M0|M2-B,True,False,True,carried_m0,D
R073,70251,M2-A,False,True,False,needs_new,
R073,63949,M2-A,False,True,False,needs_new,
R073,63867,M2-A,False,True,False,needs_new,
R073,55132,M0|M2-B,True,False,True,carried_m0,D
R073,31206,M0,True,False,False,carried_m0,D
R073,63328,M2-A,False,True,False,needs_new,
R073,27820,M2-B,False,False,True,needs_new,
R073,26590,M0|M2-B,True,False,True,carried_m0,D
R073,72822,M2-A,False,True,False,needs_new,
R074,104776,M2-B,False,False,True,needs_new,
R074,14847,M2-B,False,False,True,needs_new,
R074,9272,M2-A,False,True,False,needs_new,
R074,67109,M0|M2-B,True,False,True,carried_m0,D
R074,102222,M0,True,False,False,carried_m0,D
R074,9054,M2-A,False,True,False,needs_new,
R074,99924,M0|M2-B,True,False,True,carried_m0,D
R074,66699,M2-A,False,True,False,needs_new,
R074,9160,M2-A,False,True,False,needs_new,
R074,100688,M2-B,False,False,True,needs_new,
R074,68379,M0,True,False,False,carried_m0,C
R074,8691,M2-A,False,True,False,needs_new,
R074,101328,M0,True,False,False,carried_m0,B
R075,73972,M0,True,False,False,carried_m0,D
R075,87859,M2-A,False,True,False,needs_new,
R075,60357,M0|M2-B,True,False,True,carried_m0,D
R075,83075,M2-A,False,True,False,needs_new,
R075,20932,M2-B,False,False,True,needs_new,
R075,28814,M2-A,False,True,False,needs_new,
R075,57219,M2-B,False,False,True,needs_new,
R075,25638,M2-A,False,True,False,needs_new,
R075,25472,M2-A,False,True,False,needs_new,
R075,111085,M0,True,False,False,carried_m0,D
R075,52443,M0,True,False,False,carried_m0,D
R075,55062,M2-B,False,False,True,needs_new,
R075,55934,M0,True,False,False,carried_m0,D
R075,109409,M2-B,False,False,True,needs_new,
R076,37449,M2-B,False,False,True,needs_new,
R076,48667,M2-B,False,False,True,needs_new,
R076,101094,M0|M2-A|M2-B,True,True,True,carried_m0,D
R076,42714,M0|M2-A,True,True,False,carried_m0,D
R076,48452,M2-B,False,False,True,needs_new,
R076,50869,M0|M2-A,True,True,False,carried_m0,C
R076,50089,M0|M2-A,True,True,False,carried_m0,C
R076,60837,M2-B,False,False,True,needs_new,
R076,49285,M0|M2-A,True,True,False,carried_m0,D
R077,2759,M2-A,False,True,False,needs_new,
R077,78316,M2-B,False,False,True,needs_new,
R077,61956,M2-A,False,True,False,needs_new,
R077,61954,M2-A,False,True,False,needs_new,
R077,73423,M0,True,False,False,carried_m0,D
R077,31823,M2-B,False,False,True,needs_new,
R077,72227,M0,True,False,False,carried_m0,D
R077,75719,M2-B,False,False,True,needs_new,
R077,111198,M2-A,False,True,False,needs_new,
R077,82431,M2-B,False,False,True,needs_new,
R077,60216,M0,True,False,False,carried_m0,D
R077,37986,M0,True,False,False,carried_m0,D
R077,62329,M2-A,False,True,False,needs_new,
R077,64314,M0,True,False,False,carried_m0,D
R077,107665,M2-B,False,False,True,needs_new,
R078,52776,M0,True,False,False,carried_m0,D
R078,78380,M0,True,False,False,carried_m0,D
R078,39443,M2-A,False,True,False,needs_new,
R078,70429,M2-A,False,True,False,needs_new,
R078,96968,M2-B,False,False,True,needs_new,
R078,73571,M2-A,False,True,False,needs_new,
R078,73492,M2-A,False,True,False,needs_new,
R078,77397,M2-B,False,False,True,needs_new,
R078,28807,M0,True,False,False,carried_m0,D
R078,57688,M2-B,False,False,True,needs_new,
R078,2347,M2-B,False,False,True,needs_new,
R078,41861,M2-A,False,True,False,needs_new,
R078,77683,M0,True,False,False,carried_m0,D
R078,77640,M0|M2-B,True,False,True,carried_m0,D
R079,63683,M0|M2-B,True,False,True,carried_m0,D
R079,63672,M0,True,False,False,carried_m0,D
R079,72069,M2-B,False,False,True,needs_new,
R079,73278,M2-A,False,True,False,needs_new,
R079,60893,M0,True,False,False,carried_m0,D
R079,59069,M0|M2-B,True,False,True,carried_m0,D
R079,64674,M2-A,False,True,False,needs_new,
R079,110517,M2-A,False,True,False,needs_new,
R079,1154,M2-A,False,True,False,needs_new,
R079,110170,M0,True,False,False,carried_m0,D
R079,44556,M2-B,False,False,True,needs_new,
R079,50786,M2-A,False,True,False,needs_new,
R079,36893,M2-B,False,False,True,needs_new,
R080,85387,M2-A,False,True,False,needs_new,
R080,82362,M2-A,False,True,False,needs_new,
R080,86375,M2-A,False,True,False,needs_new,
R080,85419,M2-A,False,True,False,needs_new,
R080,82636,M2-A,False,True,False,needs_new,
R081,6746,M2-B,False,False,True,needs_new,
R081,8383,M0,True,False,False,carried_m0,D
R081,87142,M0|M2-B,True,False,True,carried_m0,D
R081,93813,M2-A,False,True,False,needs_new,
R081,95689,M2-A,False,True,False,needs_new,
R081,101270,M0,True,False,False,carried_m0,D
R081,42580,M2-B,False,False,True,needs_new,
R081,73562,M0|M2-B,True,False,True,carried_m0,D
R081,94915,M2-A,False,True,False,needs_new,
R081,37513,M2-A,False,True,False,needs_new,
R081,101240,M0|M2-B,True,False,True,carried_m0,D
R081,36301,M2-A,False,True,False,needs_new,
R082,46213,M2-A,False,True,False,needs_new,
R082,106804,M2-B,False,False,True,needs_new,
R082,15513,M2-B,False,False,True,needs_new,
R082,46337,M2-A,False,True,False,needs_new,
R082,47948,M2-A,False,True,False,needs_new,
R082,48092,M2-B,False,False,True,needs_new,
R082,27419,M2-A,False,True,False,needs_new,
R082,5544,M0|M2-B,True,False,True,carried_m0,D
R082,101309,M0,True,False,False,carried_m0,D
R082,98166,M0,True,False,False,carried_m0,D
R082,50976,M0,True,False,False,carried_m0,D
R082,55307,M2-A,False,True,False,needs_new,
R082,50165,M0|M2-B,True,False,True,carried_m0,D
R083,63666,M2-A,False,True,False,needs_new,
R083,55132,M0|M2-A|M2-B,True,True,True,carried_m0,D
R083,30560,M0|M2-B,True,False,True,carried_m0,D
R083,27820,M2-B,False,False,True,needs_new,
R083,259,M2-A,False,True,False,needs_new,
R083,31206,M0,True,False,False,carried_m0,D
R083,26590,M0|M2-A|M2-B,True,True,True,carried_m0,D
R083,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R084,74218,M0,True,False,False,carried_m0,D
R084,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R084,31206,M0|M2-A,True,True,False,carried_m0,D
R084,30560,M2-B,False,False,True,needs_new,
R084,24620,M2-A,False,True,False,needs_new,
R084,26590,M2-A,False,True,False,needs_new,
R084,55132,M0|M2-A|M2-B,True,True,True,carried_m0,D
R084,59624,M0|M2-B,True,False,True,carried_m0,D
R084,27820,M2-B,False,False,True,needs_new,
R085,78954,M2-A,False,True,False,needs_new,
R085,65676,M2-A,False,True,False,needs_new,
R085,63587,M0|M2-B,True,False,True,carried_m0,C
R085,75043,M0,True,False,False,carried_m0,C
R085,65677,M2-B,False,False,True,needs_new,
R085,77897,M0,True,False,False,carried_m0,D
R085,75328,M2-A,False,True,False,needs_new,
R085,71837,M0,True,False,False,carried_m0,D
R085,40578,M2-B,False,False,True,needs_new,
R085,976,M2-B,False,False,True,needs_new,
R085,2944,M2-A,False,True,False,needs_new,
R085,3302,M2-A,False,True,False,needs_new,
R085,72475,M0,True,False,False,carried_m0,C
R085,63742,M2-B,False,False,True,needs_new,
R086,109962,M0|M2-A|M2-B,True,True,True,carried_m0,A
R086,72360,M0,True,False,False,carried_m0,A
R086,109953,M0|M2-B,True,False,True,carried_m0,A
R086,280,M2-B,False,False,True,needs_new,
R086,72766,M2-B,False,False,True,needs_new,
R086,40393,M2-A,False,True,False,needs_new,
R086,108882,M0|M2-A|M2-B,True,True,True,carried_m0,A
R086,72033,M2-A,False,True,False,needs_new,
R086,110140,M2-A,False,True,False,needs_new,
R086,72012,M0,True,False,False,carried_m0,D
R087,11031,M2-A,False,True,False,needs_new,
R087,96467,M2-B,False,False,True,needs_new,
R087,71683,M0,True,False,False,carried_m0,C
R087,77107,M2-B,False,False,True,needs_new,
R087,62812,M2-B,False,False,True,needs_new,
R087,2333,M0,True,False,False,carried_m0,C
R087,10583,M2-A,False,True,False,needs_new,
R087,2654,M2-B,False,False,True,needs_new,
R087,9018,M2-A,False,True,False,needs_new,
R087,4858,M2-A,False,True,False,needs_new,
R087,74726,M2-B,False,False,True,needs_new,
R087,8346,M2-A,False,True,False,needs_new,
R087,102141,M0,True,False,False,carried_m0,D
R087,57617,M0,True,False,False,carried_m0,D
R087,3209,M0,True,False,False,carried_m0,B
R088,30560,M0|M2-B,True,False,True,carried_m0,D
R088,26590,M0|M2-A|M2-B,True,True,True,carried_m0,D
R088,27820,M2-B,False,False,True,needs_new,
R088,31206,M0,True,False,False,carried_m0,D
R088,55132,M0|M2-B,True,False,True,carried_m0,D
R088,97628,M2-A,False,True,False,needs_new,
R088,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R088,63133,M2-A,False,True,False,needs_new,
R088,63094,M2-A,False,True,False,needs_new,
R089,108347,M2-B,False,False,True,needs_new,
R089,88861,M2-A,False,True,False,needs_new,
R089,23750,M0,True,False,False,carried_m0,D
R089,77147,M0,True,False,False,carried_m0,D
R089,11360,M2-B,False,False,True,needs_new,
R089,21109,M2-A,False,True,False,needs_new,
R089,10667,M2-A,False,True,False,needs_new,
R089,11423,M2-A,False,True,False,needs_new,
R089,31393,M2-B,False,False,True,needs_new,
R089,13564,M0,True,False,False,carried_m0,D
R089,35039,M2-A,False,True,False,needs_new,
R089,86441,M0,True,False,False,carried_m0,D
R089,14114,M2-B,False,False,True,needs_new,
R089,18240,M0|M2-B,True,False,True,carried_m0,D
R090,18668,M0|M2-B,True,False,True,carried_m0,D
R090,31206,M0|M2-A,True,True,False,carried_m0,D
R090,63203,M2-A,False,True,False,needs_new,
R090,30560,M0|M2-B,True,False,True,carried_m0,D
R090,84126,M0|M2-A|M2-B,True,True,True,carried_m0,D
R090,27820,M2-A|M2-B,False,True,True,needs_new,
R090,55132,M0|M2-A|M2-B,True,True,True,carried_m0,D
R091,77490,M2-A,False,True,False,needs_new,
R091,92758,M2-B,False,False,True,needs_new,
R091,72481,M0|M2-B,True,False,True,carried_m0,D
R091,63415,M0,True,False,False,carried_m0,D
R091,54618,M0,True,False,False,carried_m0,D
R091,98759,M2-A,False,True,False,needs_new,
R091,78471,M2-B,False,False,True,needs_new,
R091,62844,M2-B,False,False,True,needs_new,
R091,65826,M2-A,False,True,False,needs_new,
R091,25270,M2-B,False,False,True,needs_new,
R091,97059,M0,True,False,False,carried_m0,D
R091,54605,M0,True,False,False,carried_m0,D
R091,99071,M2-A,False,True,False,needs_new,
R091,8982,M2-A,False,True,False,needs_new,
R092,18378,M2-B,False,False,True,needs_new,
R092,87409,M0,True,False,False,carried_m0,D
R092,87567,M0,True,False,False,carried_m0,C
R092,87201,M2-A,False,True,False,needs_new,
R092,57901,M0|M2-B,True,False,True,carried_m0,D
R092,84606,M2-A,False,True,False,needs_new,
R092,85736,M2-A,False,True,False,needs_new,
R092,58766,M0,True,False,False,carried_m0,D
R092,87780,M2-B,False,False,True,needs_new,
R092,87284,M2-A,False,True,False,needs_new,
R092,47656,M0,True,False,False,carried_m0,D
R092,34491,M2-B,False,False,True,needs_new,
R092,87359,M2-B,False,False,True,needs_new,
R092,87105,M2-A,False,True,False,needs_new,
R093,47291,M0|M2-B,True,False,True,carried_m0,D
R093,104478,M2-B,False,False,True,needs_new,
R093,57377,M0,True,False,False,carried_m0,D
R093,7055,M2-A,False,True,False,needs_new,
R093,31729,M2-A,False,True,False,needs_new,
R093,104536,M0|M2-B,True,False,True,carried_m0,D
R093,58726,M2-B,False,False,True,needs_new,
R093,32405,M2-A,False,True,False,needs_new,
R093,51746,M0|M2-B,True,False,True,carried_m0,D
R093,4251,M2-A,False,True,False,needs_new,
R093,17631,M2-A,False,True,False,needs_new,
R093,88217,M0,True,False,False,carried_m0,D
R094,81435,M0|M2-B,True,False,True,carried_m0,D
R094,71414,M2-A,False,True,False,needs_new,
R094,84577,M2-B,False,False,True,needs_new,
R094,46490,M0|M2-B,True,False,True,carried_m0,D
R094,5467,M2-B,False,False,True,needs_new,
R094,109307,M2-A,False,True,False,needs_new,
R094,110316,M2-A,False,True,False,needs_new,
R094,30420,M2-B,False,False,True,needs_new,
R094,22850,M2-A,False,True,False,needs_new,
R094,41304,M0,True,False,False,carried_m0,D
R094,66317,M0,True,False,False,carried_m0,D
R094,1049,M2-A,False,True,False,needs_new,
R094,41810,M0,True,False,False,carried_m0,D
R095,76782,M0,True,False,False,carried_m0,C
R095,103186,M0|M2-A|M2-B,True,True,True,carried_m0,D
R095,75478,M2-A,False,True,False,needs_new,
R095,24353,M2-B,False,False,True,needs_new,
R095,103884,M0|M2-A|M2-B,True,True,True,carried_m0,C
R095,67358,M0|M2-A|M2-B,True,True,True,carried_m0,D
R095,62010,M0|M2-A|M2-B,True,True,True,carried_m0,D
R096,59336,M0|M2-B,True,False,True,carried_m0,C
R096,79518,M2-B,False,False,True,needs_new,
R096,66959,M2-A,False,True,False,needs_new,
R096,20660,M2-A,False,True,False,needs_new,
R096,59559,M0|M2-B,True,False,True,carried_m0,C
R096,37546,M2-A,False,True,False,needs_new,
R096,18668,M0|M2-B,True,False,True,carried_m0,B
R096,59558,M0,True,False,False,carried_m0,C
R096,59335,M0|M2-B,True,False,True,carried_m0,C
R096,20605,M2-A,False,True,False,needs_new,
R096,20665,M2-A,False,True,False,needs_new,
R097,110007,M2-A,False,True,False,needs_new,
R097,65584,M0,True,False,False,carried_m0,D
R097,429,M2-A,False,True,False,needs_new,
R097,62963,M0|M2-B,True,False,True,carried_m0,D
R097,110557,M2-A,False,True,False,needs_new,
R097,110005,M2-A,False,True,False,needs_new,
R097,61585,M0,True,False,False,carried_m0,D
R097,57899,M0|M2-B,True,False,True,carried_m0,D
R097,76727,M2-B,False,False,True,needs_new,
R097,65520,M2-A,False,True,False,needs_new,
R097,111021,M0|M2-B,True,False,True,carried_m0,D
R097,50888,M2-B,False,False,True,needs_new,
R098,89567,M0|M2-B,True,False,True,carried_m0,D
R098,11073,M2-B,False,False,True,needs_new,
R098,86880,M0,True,False,False,carried_m0,D
R098,65384,M2-A,False,True,False,needs_new,
R098,81170,M0|M2-B,True,False,True,carried_m0,D
R098,86199,M0,True,False,False,carried_m0,D
R098,27500,M2-A,False,True,False,needs_new,
R098,14452,M2-A,False,True,False,needs_new,
R098,80869,M0,True,False,False,carried_m0,D
R098,8181,M2-A,False,True,False,needs_new,
R098,32300,M2-B,False,False,True,needs_new,
R098,37037,M2-B,False,False,True,needs_new,
R098,51962,M2-A,False,True,False,needs_new,
R099,91643,M2-A,False,True,False,needs_new,
R099,55624,M0|M2-B,True,False,True,carried_m0,D
R099,72873,M2-A,False,True,False,needs_new,
R099,85935,M2-A,False,True,False,needs_new,
R099,93306,M0|M2-B,True,False,True,carried_m0,D
R099,96688,M0,True,False,False,carried_m0,D
R099,28434,M2-B,False,False,True,needs_new,
R099,45726,M0|M2-B,True,False,True,carried_m0,D
R099,98249,M2-A,False,True,False,needs_new,
R099,21689,M2-A,False,True,False,needs_new,
R099,84780,M0|M2-B,True,False,True,carried_m0,D
R100,96430,M0|M2-B,True,False,True,carried_m0,D
R100,44405,M0|M2-B,True,False,True,carried_m0,D
R100,87848,M0,True,False,False,carried_m0,C
R100,41965,M0|M2-B,True,False,True,carried_m0,D
R100,55612,M2-B,False,False,True,needs_new,
R100,11950,M2-A,False,True,False,needs_new,
R100,46429,M2-B,False,False,True,needs_new,
R100,44399,M0,True,False,False,carried_m0,D
R100,107570,M2-A,False,True,False,needs_new,
R100,51750,M2-A,False,True,False,needs_new,
R100,48065,M2-A,False,True,False,needs_new,
R100,50864,M2-A,False,True,False,needs_new,
