annotation_row_id,query_id,query_text,doc_id,headline,snippet,shuffle_position
R051_79509,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,79509,اسپوٹیفائے کیا ہے پاکستان میں اس کا مطالبہ کیوں کیا جا رہا ہے,میوزک سننے کے شوقین افراد کی جانب سے حال ہی میں ایک نئی مہم کا اغاز کیا گیا ہے جس میں وہ مطالبہ کر رہے ہیں کہ اسپوٹیفائے کو پاکستان میں جلد لانچ کیا جائے سوشل میڈیا پر اس مہم کا اغاز جنوبی کوریائی گروپ بی ٹی ایس کے پرستاروں نے کیا ہے جنہیں اے ایم وائی کے نام سے بھی جانا جاتا ہے مائیکروبلاگنگ سائٹ ٹوئٹر کے پاکستان پینل ,11
R051_87425,R051,aaj Pakistan ka cricket match kahan khela ja raha hai,87425,پاکستان کرکٹ ٹیم کل دبئی سے نیوزی لینڈ کے لئے روانہ ہو گی,پاکستان کرکٹ ٹیم کی دو ٹیسٹ میچوں کی سیریز کے لئے کل دبئی سے نیوزی لینڈ کے لئے روانہ ہو گی ویسٹ انڈیز کے خلاف متحدہ عرب امارات میں ہوم سیریز کھیلنے کے بعد اب پاکستان ٹیم کے مشکل امتحان کا اغاز ہونے جا رہا ہے پاکستان ٹیم کل دبئی سے نیوزی لینڈ کے لئے روانہ ہو گی جہاں دو ٹیسٹ میچ کھیلے گی پہلا ٹیسٹ 17 نومبر سے کرائسٹ چرچ ,12
R052_65867,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,65867,انٹر بینک اور اوپن مارکیٹ میں ڈالر کی قدر یکساں ہو گئی,کراچی18جولائی 2018انٹر بینک اور اوپن مارکیٹ میں ڈالر کی قدر یکساں ہو گئی ہے اوپن مارکیٹ میں ڈالر کی قیمت خرید 128 روپے اور فروخت 130 روپے ہو گئی انٹر بینک میں بھی ڈالر کی یہی قیمت دیکھی گئی ہےاوپن مارکیٹ میں ڈالر کی قیمت خرید 128 روپے اور فروخت 130 روپے ہو گئی ہے گذشتہ روز اوپن مارکیٹ میں ڈالر کی قیمت خرید 128 روپے اور,1
R052_64775,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,64775,اوپن مارکیٹ میں ڈالر کی قیمت میں ایک روپے کی کمی,کراچی 22 مئی 2019 ڈالر کی اونچی اڑان تھم گئی اوپن مارکیٹ میں ڈالر کی قیمت میں روپے کی کمی ہوئی اس طرح اوپن مارکیٹ میں ڈالر 153 روپے پر بند ہوا ڈالر کی اونچی اڑان تھم گئی اوپن مارکیٹ میں ڈالر کی قیمت روپے کم ہوگئی سونا بھی 800 روپے سستا ہو گیا امریکی ڈالرکی قدر کم اور روپے کی قیمت بڑھنے لگی اوپن مارکیٹ میں ڈالرکی قیمت م,2
R052_71095,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,71095,اوپن مارکیٹ میں ڈالر مزید روپے مہنگا ہو کر 154 روپے کا ہو گیا,کراچی اوپن مارکیٹ میں ڈالر مزید روپے اضافے سے تاریخ کی نئی بلند ترین سطح 154 روپے پر پہنچ گیا جب کہ انٹربینک مارکیٹ میں ڈالر کی قیمت روپے 27 پیسے اضافے سے 15192 روپے ہو گئیصرافہ مارکیٹ میں سونا بھی مہنگا ہوگیا فی تولہ سونے کی قیمت 600 روپے بڑھی جس کے بعد ایک تولہ سونا 72 ہزار 100 روپے کا ہوگیاگزشتہ روز انٹربینک میں ڈال,3
R052_38964,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,38964,اوپن کرنسی مارکیٹ میں ڈالر کی قیمت معمولی سی گرگئی,لاہور ویب ڈیسک اوپن کرنسی مارکیٹ میں امریکی ڈالر کی قیمت گر گئی ہفتہ کواوپن کرنسی مارکیٹ میں ڈالرکی قیمت خریدمیں10پیسے اور قیمت فروخت میں20پیسے کی مزیدکمی ریکارڈ کی گئی اوپن مارکیٹ میں ڈالر کی قیمت گری مگر مقامی مارکیٹ میں ہفتہ وار تعطیل کے باعث ڈالر کی قیمت مستحکم رہی قیمت خرید میں 10اور فروخت میں 20 پیسے کی کمی کے بع,4
R052_65861,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,65861,اوپن مارکیٹ میں ڈالر 50پیسے مزید مہنگا مارکیٹ ذرائع,کراچی19جولائی 2018ڈالر کی اونچی اڑان کنٹرول نہ ہوسکیاوپن مارکیٹ میں کاروبار کے غاز پر ہی روپے کے مقابلے میں ڈالر کو پر لگ گئےمارکیٹ ذرائع کے مطابق ڈالر کی قدر میں مزید پچاس پیسے اضافہ ہوگیا مارکیٹ ذرائع اوپن مارکیٹ میں ڈالر کی قدر میں مزید 50پیسے اضافہ ہوگیاہے جس سے اوپن مارکیٹ میں ڈالر کی قیمت فروخت 129روپے 50پیسے ہوگ,5
R052_65778,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,65778,ڈالر کی قیمت خرید اور قیمت فروخت میں فرق بڑھ گیا,ویب ڈیسک10 اگست 2018 اوپن مارکیٹ میں ڈالر کی قیمت خرید اور قیمت فروخت میں فرق بڑھ گیا ہے تفصیلات کے مطابق اوپن مارکیٹ میں ڈالر کی قیمت خرید ایک سو اکیس روپے جبکہ ڈالر کی قیمت فروخت ایک سو تئیس روپے ہوگئی ہے ویڈیو دیکھنے کےلیے پلے کابٹن دبائیے ایکس چینج کمپنیز کے مطابق انٹر بینک مارکیٹ میں ڈالر کی قدر زیادہ ہونے سے اوپن,6
R052_71077,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,71077,ڈالر کی قیمت میں اتار چڑھا اوپن مارکیٹ میں 150 روپے کا ہوگیا,کراچی انٹربینک اور اوپن مارکیٹ میں ڈالر کی قدر میں اتار چڑھا دیکھا گیاپیر کو کاروباری ہفتے کے پہلے روز انٹر بینک اور اوپن مارکیٹ میں ڈالر کی قدر میں کمی دیکھی گئی تاہم منگل کے روز ایک بار پھر ڈالر روپے کے مقابلے میں کچھ اوپر دکھائی دیاکاروبار کے دوران انٹربینک میں ڈالر 76 پیسے مہنگا ہوا اور اس کی قیمت 15050 روپے ہوگئی ,7
R052_62458,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,62458,کراچیاوپن مارکیٹ میں ڈالر کی قیمت 105 روپے 80 پیسے پر گئی,کرنسی مارکیٹ میں روپے کے مقابلے میں ڈالر دس پیسے سستا ہوگیا اوپن مارکیٹ میں ڈالر کی قیمت خرید ایک سو پانچ روپے اسی پیسے جبکہ قیمت فروخت ایک سو چھ روپے ریکارڈ کی گئی فاریکس ڈیلرز ایسوسی ایشن کے مطابق ملکی قرضوں میں اضافے کے پیش نظر ڈالر کے مقابلے میں پاکستانی روپے میں دبا موجود ہے تاہم ڈالر کی قدر میں دس پیسے کمی دیکھی ,8
R052_75,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,75,روپے کی قدر میں اضافہ سونا مزید سستا ہوگیا,انٹربینک مارکیٹ میں قدر میں مزید 18 پیسے اضافے کے بعد ڈالر کے مقابلے میں روپیہ ساڑھے چھ ماہ کی بلند ترین سطح پر گیا جبکہ مقامی مارکیٹ میں سونے کی قیمت میں بھی مزید کمی واقع ہوئیاسٹیٹ بینک کے مطابق انٹربینک مارکیٹ میں ڈالر کے مقابلے میں روپے کی قدر میں 18 پیسے کا اضافہ ہوا جس کے بعد یہ 158 روپے 91 پیسے کی سطح پر گیاڈالر,9
R052_61511,R052,موجودہ ڈالر کی اوپن مارکیٹ قیمت کیا ہے,61511,اوپن مارکیٹ میں ڈالر کی قیمت میں اضافہ,اوپن مارکیٹ میں ڈالر کی قدر میں پیسے کا اضافہ ہوا ہے جس کے بعد نئی قیمت 107روپے 50 پیسے ہوگئی کاروباری ہفتے کے خری روز اوپن مارکیٹ میں ڈالر کی قدر میں اضافہ ہوا ہے ڈالر کی نئی قیمت خرید 106روپے 50 پیسے جبکہ قیمت فروخت 107روپے پیسے ہو گئی ہے انٹر بینک مارکیٹ میں ڈالر کی قدر میں کوئی ردو بدل نہ ہوئی اور اس کی قیمت خرید 1,10
R053_77577,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,77577,ملتان میں 19 روز سے سی این جی دستیاب نہیں,ملتان ملتان میں 19 روز سے سی این جی تو دستیاب ہے ہی نہیں لیکن اب پٹرول بھی نایاب ہو گیا ہے ملتان سمیت جنوبی پنجاب کے مختلف شہروں میں پٹرول کی قلت ہے ملتان کے بیشتر پٹرول پمپس پر پٹرول نہیں اور جہاں ہے وہاں صارفین کو ان کی طلب سے کم پٹرول دیا جا رہا ہے صارفین کا کہنا ہے کہ موٹر سائیکل سواروں کو سو روپے کا پٹرول جب کہ گا,1
R053_75533,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,75533,لاہورمیں پٹرول پمپس تیسرے روزبھی کھل نہ سکے,لاہوروزیرقانون پنجاب رانامشہود کے اعلان کے باوجود لاہورمیں پٹرول پمپس تیسرے روزبھی کھل نہیں سکےپٹرول پمپس قناتیں لگاکربند کر دیئےگئےہیں اورصارفین مارے مارے پھررہے ہیںدوسری جانب ڈی سی او لاہور کیپٹن ریٹائرڈعثمان کادعوی ہے کہ شہر میں رات سے اب تک50 لاکھ لیٹر پٹرول پہنچ چکا ہےمنہاج القران کےکارکنوں کی طرف سے متوقع احتجاج ,2
R053_75058,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,75058,پیٹرول کی قلتصورتحال معمول پر لانے میں 10دن لگیں گے وزیر پیٹرولیم,اسلام ابادپٹرول غائب شہرشہر پٹرول پمپوں پرگاڑیوں کی طویل قطاریں لگ گئیںوفاقی وزیر پٹرولیم شاہد خاقان عباسی کہتےہیں کہ پٹرول کی قلت دورکرنےمیں دس دن لگ جائیں گے ملک کےمختلف علاقوں میں گزشتہ چنددنوں سےپٹرول کی شدید قلت ہے اورشہری پٹرول کی تلاش میں دن بھرمارےمارےپھرتے دکھائی دیتے ہیں پٹرول پمپوں پرگاڑیوں کی طویل قطاریں لگ,3
R053_63468,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,63468,پشاور سمیت خیبرپختونخوا میں پیٹرول کا بحران بدستور جاری,پشاور 14 جون 2020 وفاقی کابینہ کی جانب سے پیٹرولیم بحران پر سخت نوٹس اور وفاقی وزیر پٹرولیم عمر ایوب خان کی جانب سے پشاور ہائی کورٹ میں تین دنوں میں پٹرول کا معاملہ حل ہونے کی یقین دہانی بھی کام نہ سکی پشاور سمیت خیبرپختونخوا میں پیٹرول کا بحران بدستور موجود ہے پٹرول پمپس پر گاڑیوں کی لمبی قطاریں لگی ہوئی ہیں پشاور سمی,4
R053_76343,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,76343,جنوبی پنجاب میں پٹرول پمپ مالکان کی ہڑتال,ملتان ملتان سمیت جنوبی پنجاب کے تمام شہروں میں پٹرول پمپ مالکان نے سے غیر معینہ مدت کے ہڑتال کرتے ہوئے صارفین کو پٹرول کی فراہمی بند کر دی ہے جنوبی پنجاب کے اضلاع میں صبح بجے سے پٹرول پمپس کو غیر معینہ مدت لئے بند کر دیا گیا ہے پٹرول پمپ مالکان کے مطابق حکومت پٹرول کے سیلز مارجن کو فیصد سے بڑھا کر فیصد نہیں کر رہی ہے ج,5
R053_78276,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,78276,ملتانپٹرول کی قیمتوں میں اضافہ کے پیش بیشتر پٹرول پمپس بند,ملتان پٹرول کی قیمتوں میں اضافہ کے پیش نظر ملتان کے بیشتر پٹرول پمپس پر پٹرول کی فروخت بند کردی گئی ہے پٹرول کی فروخت بند ہونے سے شہریوں کو مشکلات کا سامنا کرنا پڑ رہا ہے شہر بھر میں صرف ایسے پمپس پر پٹرول فروخت کیا جارہا ہے جو جن کو براہ راست کمپنیاں خود چلا رہی ہیں اور ان پمپس پر شہریوں کی پٹرول ڈلوانے کے لئے لمبی لم,6
R053_75208,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,75208,لاہور پٹرول کی مصنوعی قلت پیدا کرنے پر11پٹرول پمپس سیل,لاہورلاہورکی ضلعی انتظامیہ نے پٹرول کی مصنوعی قلت پیدا کرنے کی کوشش پرشہرمیں11پٹرول پمپس سیل کر دیئے ضلعی انتظامیہ کےترجمان کےمطابق ماڈل ٹاونفیروزپورروڈعلامہ اقبال ٹاون سمیت دیگرعلاقوںمیں پٹرول پمپس پر چھاپے مارے گئے 11پٹرول پمپس کو مصنوعی قلت پیدا کرنے کی کوشش کے الزام میں سربمہر کر دیا گیاڈی سی او لاہور کاکہناہےکہ پٹ,7
R053_41109,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,41109,پٹرول بحران پھر سر اٹھانے لگا,لاہور92نیوزپٹرول کا بحران پھر سر اٹھانے لگا پمپ مالکان نے خبر دار کیا ہے کہ اگر طلب کے مطابق فراہمی نہ کی گئی تو ائندہ دو سے تین روز میں پٹرول کا بحران پیدا ہو سکتا ہے تفصیلات کے مطابق پٹرول بحران کے شروع ہونے سے پہلے پاکستان پٹرول پمپ ڈیلرز ایسوسی ایشن نے ایک بار پھر خبردار کیا ہے کہ پمپ مالکان کو ان کی طلب کے مطابق پ,8
R053_38475,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,38475,پشاور میں سستا پٹرول عوام کو مہنگا پڑ گیا بیشتر پمپس پر نایاب,پشاور92 نیوز پشاور میں سستا پٹرول عوام کو مہنگا پڑگیا نویں روز بھی شہر میں پٹرول کا بحران برقرار ہے شہر کے بیشتر پٹرول پمپس پر پٹرول نایاب ہونے پر شہری مارے مارے پھر رہے ہیں پٹرول ملنے کی امید پر بعض فلنگ اسٹیشنز پر گاڑیوں اور موٹرسائیکلز کی لمبی قطاریں لگ گئیں شہر کے چند ایک پٹرول پمپس پر پٹرول ملنے کی امید پر موٹرسائ,9
R053_75103,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,75103,فیصل اباد پٹرول مصنوعات کی قیمتوں میں کمی شہریوں کو مہنگی پڑگئی,فیصل ابادفیصل اباد کے شہریوں کو پٹرولیم مصنوعات کی قیمتوں میں کمی مہنگی پڑگئی بیشتر پٹرول پمپ پر فروخت بند کھلے پٹرول پمپس پر شہریوں کی لمبی قطاریں لگ گئیںپٹرولیم مصنوعات کی قیمتوں میں کمی کے بعد فیصل اباد میں اکثر پٹرول پمپ مالکان نے پٹرول کی فروخت بند کردیجس کے باعث شہریوں کو شدید مشکلات کا سامنا کرنا پڑرہا ہے تاہم ش,10
R053_75050,R053,پٹرول ki qeemat mein kal kya tabdeeli hui,75050,ملتان میں پٹرول کی قلت برقرار,ملتان ملتان میں پٹرول کی قلت برقرار ہے شہریوں نے وزیراعلی پنجاب سے لاہور کی طرح ملتان میں بھی سی این جی اسٹیشنز کھولنے کا مطالبہ کیا ہے پنجاب کے مختلف شہروں میں پٹرول کا بحران شدت اختیار کر گیا ہے ملتان میں بھی دو روز سے صارفین کو پٹرول دستیاب نہیں ہے جن پمپوں پر پٹرول دستیاب ہے وہاں لمبی قطاریں ہیں اور صارفین کو ضرورت,11
R054_60587,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,60587,بجٹ 192018 میں غریب عوام کے لیے کیا ہوگا,ویب ڈیسک27 اپریل 2018 نئے مالی سال کا بجٹ قومی اسمبلی میں پیش کیا جائے گا ایسے میں غریب ادمی کی پریشانی مزید بڑھ گئی ہے کہ نئے بجٹ میں عام ادمی کے لیے بھی کچھ ہوگا یا صرف وقتی باتیں ہی ہونگی بجٹ سے مہنگائی کا طوفان ئے گا یا غریب کے ارمان پورے ہوں گے شہریوں کو حکومت سے عوام دوست بجٹ کی امید نہیں ہے مہنگائی کے اس دور میں,1
R054_72079,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,72079,لاہورسستے اتوار بازار بھی مہنگائی بازار بن گئے,رمضان المبارک کی امدامدہے لاہور میں شہریوں کی بڑی تعداد نے کھانےپینے کی اشیاءکی خریداری کےلیےرخ کیاسستے اتوار بازاروں کا مگر وہاں قیمتیں دیکھ کر لوگوں کے ہوش اڑ گئے رمضان المبارک میں صرف ایک ہفتہ باقی ہےعام ادمی کا بھرم قائم رکھنے کےلئےلاہورمیں حکومتی سطح پر لگائے گئے سستے اتوار بازار مہنگائی بازار بن گئے شادمان اتوار ,2
R054_74027,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,74027,عالمی منڈی میں تیل سستا پاکستان میں مہنگائی کا زور نہ ٹوٹ سکا,لاہور عالمی منڈی میں تو تیل کی قیمتیں کافی عرصے سےکم ترین سطح پردیکھی جا رہی ہیںلیکن پاکستان میں نہ تو اس تناسب سےقیمتیں نیچےائیں اور نہ ہی مہنگائی کا زور ٹوٹا2015ءمیں تیل کی قیمتوں میں کیااتار چڑھاو رہا عالمی منڈی میں تیزی سےکم ہوتی تیل کی قیمتیں دیکھ کرعام ادمی نے بھی امیدیں لگا لی تھیں کہ پاکستان میں مہنگائی کا زورٹ,3
R054_74564,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,74564,رمضان میں پشاور میں مہنگائی کا بے لگام گھوڑا رکنے کا نام ہی نہیں لے رہا,پشاوررمضان المبارک میں پشاور میں مہنگائی کا بے لگام گھوڑا رکنے کا نام ہی نہیں لے رہا دوسری جانب مہنگائی پر قابو پانے کے لیے کوئی عملی اقدامات نظر نہیں ارہےجس کے باعث اشیاء خوردونوش کی قیمتیں اسمان سے باتیں کررہی ہیںپشاور میں رمضان المبارک کے دوران اشیائے خوردونوش کی قیمتیں بدستور عام ادمی کی قوت خرید سے باہر ہیں پھلوں ,4
R054_74658,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,74658,ائندہ بجٹ میں عام ادمی کی بجائے امیروں پر بوجھ ڈالا جائے گا اسحاق ڈار,اسلام ابادوفاقی وزیر خزانہ اسحاق ڈار کا کہنا ہے کہ ائندہ بجٹ میں عام ادمی کی بجائے امیروں پر بوجھ ڈالا جائے گا محصولات کا ہدف 3100 ارب مقرر کیا گیا ہے جیو نیوز نے اس بریفنگ کی دستاویزات حاصل کر لی ہیں وزیر اعظم کی زیر صدارت وفاقی کابینہ اور مسلم لیگ کی پارلیمانی پارٹی کے اجلاس کو ائندہ مالی سال کے بجٹ پر بریفنگ دیتے ہو,5
R054_72719,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,72719,ملک بھر میں اشیائے خوردو نوش حکومتی قیمتوں سے مہنگے,نوین علیملک میں اشیائے خوردو نوش دالوں چاول اور چینی کی گرتی ہوئی قیمتوں کے باوجود اوپن مارکیٹ میں چیزوں کی قیمتیں زیادہ ہیں مہنگائی کے جن کو قابو کر نے کے حکومتی دعوے دھرے کے دھرے رہ گئے حکومتی نرخ ناموں میں اشیائے خور دونوش کی قیمتیں بازار کی قیمتوں سے بالکل مختلف دالیں ہوں سبزیاں گوشت یا پھل ہر چیز کی قیمت حکومت کی ,6
R054_73822,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,73822,تیل قیمتوں کا فائدہ پاکستانی صارفین تک منتقل نہ ہوسکا,لاہوردنیا بھر تیل کی کم قیمت کا فائدہ صارفین کو ملز لیکن پاکستان میں صارفین تک یہ فائدہ منتقل نہ ہو سکا تیل کی قیمت کم ہوئی بھی لیکن اس کا بھی تاجر برادری نے صارفین تک مہنگائی میں کمی نہ لا کر بتا دیا کہ مافیا کس قدر طاقت ور ہے تیل کی قیمتیں گرتے گرتے 30 ڈالر فی بیرل سے بھی کم ہو گئیں امید تھی کہ پاکستان میں یہ کمی صار,7
R054_76189,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,76189,سال2013 ضروری اشیاء کی قیمتوں میں 73 سے 200 فیصد تک بڑھیں,لاہورگزشتہ سال کے دوران جہاں عام دمی کو دیگر مسائل کا سامنا رہا وہیں روزمرہ اشیائے خوردونوش کی قیمتوں کو بھی پر لگے رہے مہنگائی نے سفید پوش طبقے کی کمر توڑ کر رکھ دی عوام حکومت سے نالاں نظر ئےسال 2013 میں کوئی دن ایسا نہ تھا جب کھانے پینے کی اشیا مہنگی نہ ہوئی ہوں دالیں سبزیاں گھی پھل اور دیگر ضروری اشیاء کی قیمت 73 سے,8
R054_109441,R054,Pakistan mein mehngai kam kyun nahi ho rahi aur aam admi par asar kya hai,109441,حکومت نے ایشیائی ترقیاتی بینک سے ایمرجنسی کرائسس لون لیا,مہنگائی بڑھنے کی ایک وجہ پالیسی ریٹ کا بڑھانا ہے ڈاکٹر عائشہ غوث دی ریویو میں گفتگو فوٹو انٹرنیٹ اسلام باد یوں لگتا ہے کہ حکومت گھبرا گئی ہے اور اس گھبراہٹ میں وہ ایسا کام کر گئی ہے جس کی توفیق جنرل مشرف سمیت کسی ڈکٹیٹر اور نہ ہی کسی سول حکومت کوہوئی ایکسپریس نیوز کے پروگرام دی ریویو کے میزبان شہباز رانا نے انکشاف کیا ,9
