query_id,split,query_text,source_doc_id,gold_rank,miss_side,primary,entity_type,norm_status,query_form,gold_form,evidence
KN025,train,adb country director ne pm se mil kar investment ke bare mein kya kaha,60831,,MISS,ROOM,,REJECTED_NOT_PRIMARY,kya,kiya,adb vs ae di bi; country director vs kntri dairiktr. pm/se match. Letter-split org romanization. kya/kiya incidental.
KN026,train,salman ki wrestler film ka pehla poster kis director ki movie ka hai,102664,,MISS,ENT,person,NONE,,,salman vs slman; poster vs postr; pehla vs phla. Person + title tokens character-mapped.
KN027,train,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,59279,,MISS,ROOM,,NONE,,,satellite vs sitlait; chameleon vs grgt (Urdu gecko). naya matches. Representation mismatch plus different English/Urdu content words.
KN028,train,state bank ke mutabiq external debt burden mein kitni percent kami hui,76785,,MISS,VOCAB,,NONE,,,English finance terms (external debt burden percent) vs Urdu gold (ghir mlki qrzon / fisd). bank matches; not a closed alias.
KN029,train,houston new year show mein kumar sanu kis community event ka hissa bane,101347,,MISS,ENT,person,NONE,,,kumar vs kmar; sanu vs sano; houston vs hiostn. Person/place romanization.
KN030,train,imran tahir odi bowling ranking mein number one kab bane,47083,,MISS,ENT,person,NONE,,,imran matches; tahir vs tahr; odi vs on de. Person/cricket-code romanization.
KN031,train,fifa ranking mein germany top par hai to pakistan ka number kya hai,29423,,MISS,ROOM,,NONE,,,fifa/pakistan match; germany vs jrmni; ranking vs rinkng; number vs nmbr. English vs character table.
KN032,train,umar akmal par fixing case mein kitne saal ki pabandi lagi,41695,,MISS,ENT,person,NONE,,,akmal vs akml; name fused as amrakml; fixing vs fksng. Person-name indexing.
KN033,train,shane warne test cap auction se bushfire fund ko kitni raqam mili,81673,,MISS,ENT,person,NONE,,,shane vs shin; warne vs oarn; test vs tist; cap vs kip. Person + English sports terms.
KN034,train,sharmeen obaid oscar short documentary category mein dobara kab jeeti,13398,,MISS,ENT,person,NONE,,,sharmeen vs shrmin; obaid vs abid; oscar vs skr. Person-name romanization.
KN035,train,zaheer khan ne sagarika se shaadi ka elaan kab kiya,10546,,MISS,ENT,person,NONE,,,khan/kiya/ne/se match; zaheer vs zhir; sagarika vs sagrika; shaadi vs shadi. Person names.
KN036,train,aglay das mahine mein local oil gas output mein kya izafa verqai hai,76509,,MISS,VOCAB,,NONE,,,oil/gas/output vs kham til / gis / pidaoar. English production vocabulary vs Urdu. izafa vs azafh is not a dictionary sibling.
KN037,dev,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,22739,,MISS,ROOM,,REJECTED_NOT_PRIMARY,kya,kiya,photo vs foto; chehre vs chhre; karti vs krti. Chat Roman vs character table. kya/kiya incidental.
KN039,dev,nokia android handset china launch par ek minute mein kyun sold out hua,23062,,MISS,VOCAB,,NONE,,,nokia matches. android/handset/sold/out do not appear in gold romanization (frokht / mnt). Lexical gap beyond spelling.
KN040,dev,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,24596,,MISS,ENT,product,NONE,,,samsung/galaxy/s7 absent; gold is gliksi asmart fon. Product-name mismatch.
KN041,dev,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,65903,,MISS,VOCAB,,REJECTED_NOT_PRIMARY,kya,kiya,English role titles vs ngran wazir khzanh; cpec vs pak chin aqtsadi rahdari. Paraphrase. kya/kiya incidental.
KN042,dev,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,111652,,MISS,VOCAB,,NONE,,,current account deficit vs jari khate ke khsare; sbp vs astit bank. English vs Urdu economics terms. raftaar vs rftar is character-table but not the dominant gap.
KN043,dev,moto p30 front design kis apple flagship se milta julta hai,21399,,MISS,ENT,product,NONE,,,moto matches; p30/apple/flagship vs ii fon aiks. Product identifiers do not match.
KN044,dev,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,23544,,MISS,ROOM,,NONE,,,twitter vs toitr; feature vs fichr. facebook/snapchat absent. English brand vs character table.
KN045,dev,messenger rooms jaisa group video chat facebook ne kab add kiya,19783,,MISS,ROOM,,NONE,,,facebook vs fis bk; messenger vs misnjr; video vs oidio; group vs grop.
KN046,dev,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,109714,,MISS,VOCAB,,REJECTED_NOT_PRIMARY,kya,kiya,ml1/railway/upgrade/deadline vs arbon dollar projikt 1. Different lexicalization of the project. kya/kiya incidental.
KN047,dev,fbr aur sindh revenue board ne sales tax input par kya deal ki,61862,,MISS,ROOM,,NONE,,,fbr vs aif bi ar; sindh vs sndh; sales vs silz. Letter-split org romanization.
KN048,dev,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,20073,42,RANK,RANK,,NONE,,,Gold at 42 via 10/2020/aur. samsung vs sam sng; lite vs lait. Weak numeric overlap; ranking among 2020 phone stories.
KN049,dev,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,86593,,MISS,ROOM,,NONE,,,lahore matches; psl vs pi ais ail; final vs fainl; stadium vs stidim.
KN050,dev,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,34762,,MISS,ROOM,,NONE,,,afghanistan vs afghanstan; world vs orld; cup vs kp. Same event under character table.
KN051,dev,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,21160,,MISS,ROOM,,NONE,,,gmail vs ji mil; purane vs prane; jaisa vs jisa. Product name split by character table.
KN052,dev,samsung ne vegas ces par human-like robots kyun dikhaye,59426,,MISS,ENT,product,NONE,,,samsung vs sam sng; robots vs msnoai ansan. Brand/product romanization; CES/vegas unmatched.
KN053,dev,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,22115,,MISS,ENT,product,NONE,,,pakistan/10 match; huawei/mate/lite absent from gold (generic dual-camera phone launch). Product name gap.
KN054,dev,kangana ke bayan par momina iram ne kya jawab diya,4400,,MISS,ENT,person,REJECTED_NOT_PRIMARY,kya,kiya,kangana vs kngna; momina vs momnh; iram vs arminh. Person-name romanization. kya/kiya incidental.
