query_id,split,source_doc_id,primary,miss_side,gold_rank,hit@5,in_top50,n_q,n_orig,n_md,n_overlap_md,n_overlap_orig_latin,n_content_q,n_content_overlap_md,n_function_overlap_md,n_q_zero_md,n_content_zero_md,n_eng_q,n_eng_match_md,n_eng_match_orig_latin,n_skel_overlap,n_content_skel_overlap,n_content_skel_ge3,content_skel_ge3,frac_dict_tokens,frac_fallback_tokens,frac_latin_tokens,cand_cat,competitors_top3,q_tokens,md_headline,overlap_md,content_overlap_md,content_skel_overlap,content_missing_md
KN014,train,79754,RANK,RANK,44,0,1,12,464,464,5,0,7,1,4,7,6,5,1,0,6,2,2,mbl skt,0.3211,0.6789,0.0,2,17485 59694 79989,mobile slow charge hone ki user side ghalti kya ho sakti hai,fon dir se charj hone ki aik ojh khod,hai ho hone ki mobile,mobile,mbl skt,charge ghalti sakti side slow user
KN015,train,22450,VOCAB,MISS,,0,0,10,252,252,4,0,6,1,3,6,5,6,1,0,4,1,1,ntrnt,0.3254,0.6468,0.0278,3,60246 14127 23101,viral maths puzzle ne internet users ko kyun confuse kiya,riazi ke as soal ka joab de skte hain,internet kiya ko ne,internet,ntrnt,confuse maths puzzle users viral
KN016,train,100673,ENT,MISS,,0,0,12,228,228,3,0,7,0,3,9,7,6,0,0,5,1,0,,0.2807,0.7193,0.0,1,107593 76395 107553,priyanka ke african kids se hair compliment exchange kis tour par hua,prianka chopra ki zlfon par afriqi bche fda,ke par se,,hr,african compliment exchange hair kids priyanka tour
KN017,train,19341,VOCAB,MISS,,0,0,7,438,438,0,0,5,0,0,7,5,5,0,0,2,1,0,,0.2968,0.6849,0.0183,1,18668,boom supersonic passenger prototype kab unveil hua,oaz se gna tiz rftar se sfr krne oala tiarh mtaarf,,,bm,boom passenger prototype supersonic unveil
KN018,train,17943,ROOM,MISS,,0,0,12,1469,1469,2,0,8,0,2,9,8,1,0,0,7,5,4,hqq khn mbn shkhs,0.3111,0.6719,0.017,1,23518 96807 95710,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,alh din aik afsanoi krdar ia hqiqi shkhsit,hai par,,hqq khn ks mbn shkhs,aladdin fable haqeeqi kahani kisi mabni shakhs sirf
KN019,train,5092,ENT,MISS,,0,0,11,641,641,4,0,5,0,3,6,5,2,0,0,6,2,0,,0.3323,0.6459,0.0218,1,64184 101291 48766,jlo ne 50 saal ki umar mein fitness kaise maintain ki,jinifr lopiz 50 sal ki amr mein atni ft aur kamiab kise hain,50 ki mein ne,,mr sl,fitness jlo maintain saal umar
KN020,train,60895,VOCAB,MISS,,0,0,12,248,248,2,0,8,0,2,10,8,4,0,0,4,1,0,,0.3065,0.6855,0.0081,1,104130 69145 103841,cpec joint cooperation committee ka session kis shehar mein chal raha tha,aqtsadi rahdari se mtalq chin pakistan ki mshtrkh taaon kmiti ka ajlas jari,ka mein,,rh,chal committee cooperation cpec joint raha session shehar
KN021,train,13065,ROOM,MISS,,0,0,12,276,276,3,0,9,1,2,9,8,7,0,0,6,3,1,jngl,0.3442,0.6341,0.0217,3,33307 6580 7386,jungle book live action ne india box office par kya record banaya,jngl bk kmaii mein boli od flmon se ge,india ne par,india,bk jngl nd,action banaya book box jungle live office record
KN022,train,14664,ENT,MISS,,0,0,11,373,373,3,0,6,1,2,8,5,0,0,0,8,4,3,shd shhd sngt,0.3485,0.6408,0.0107,3,18668 24926 105284,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,shadi se qbl shahd aur mira ka sngit,ki mira se,mira,mr shd shhd sngt,khatam sangeet shaadi shahid tayyariyan
KN023,train,12128,SUCCESS,SUCCESS,3,1,1,11,478,478,5,0,7,3,2,5,4,0,0,0,7,4,1,brs,0.3138,0.6695,0.0167,0,,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,marof qoal aziz mian ki 16 oin brsi,aziz hai jati ki mian,aziz jati mian,brs jt mn zz,barsi qawwal tarah yaad
KN024,train,31154,ROOM,MISS,,0,0,14,505,505,4,0,11,1,3,10,10,7,0,0,6,4,3,khlf pkstn tst,0.3941,0.5406,0.0653,3,100171 86843 87516,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,dbii mein pakistan ka tarikhi 400 oan tist,hai ka ke pakistan,pakistan,db khlf pkstn tst,day dubai indies kaunsa khilaf milestone night series test west
KN025,train,60831,ROOM,MISS,,0,0,14,205,205,6,0,8,1,5,8,7,3,0,0,9,3,0,,0.4195,0.5707,0.0098,3,10439 102872 60875,adb country director ne pm se mil kar investment ke bare mein kya kaha,ae di bi ke kntri dairiktr ki pm se mlaqat,kar ke mein ne pm se,pm,kh ml pm,adb bare country director investment kaha mil
KN026,train,102664,ENT,MISS,,0,0,13,83,83,3,0,7,1,2,8,6,5,1,0,5,4,4,flm phl pstr slmn,0.3133,0.6867,0.0,3,9341 104228 68960,salman ki wrestler film ka pehla poster kis director ki movie ka hai,slman khan ki nii flmsltanka phla postr jari,film ka ki,film,flm phl pstr slmn,director movie pehla poster salman wrestler
KN027,train,59279,ROOM,MISS,,0,0,11,350,350,3,0,7,1,2,8,6,5,0,0,6,3,2,chmln skt,0.3029,0.6829,0.0143,3,40737 72610 72875,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,mnton mein nie kam ke lie tiar hone oale grgt sitlait,hain mein naya,naya,chmln ny skt,assume chameleon minutes mission sakte satellite
KN028,train,76785,VOCAB,MISS,,0,0,12,149,149,3,0,8,1,2,9,7,6,1,0,7,4,3,bnk mtbq stt,0.3691,0.5705,0.0604,3,6698 68202 68767,state bank ke mutabiq external debt burden mein kitni percent kami hui,ghir mlki qrzon ke bojh mein 9 fisd kmi hoiiastit bank,bank ke mein,bank,bnk km mtbq stt,burden debt external kami mutabiq percent state
KN029,train,101347,ENT,MISS,,0,0,13,281,281,2,0,10,0,2,11,10,6,0,0,5,3,2,hstn kmr,0.3203,0.6726,0.0071,1,86290 86692 66483,houston new year show mein kumar sanu kis community event ka hissa bane,hiostn mein sal no ka jshn kmar sanoki shrkt,ka mein,,hstn kmr sn,bane community event hissa houston kumar new sanu show year
KN030,train,47083,ENT,MISS,,0,0,10,241,241,2,0,8,1,1,8,7,4,0,0,7,6,3,mrn rnkng thr,0.2946,0.7054,0.0,3,18668 17464 106600,imran tahir odi bowling ranking mein number one kab bane,jnobi afriqi spnr imran tahr on de ke bhtrin balr bn gie,imran mein,imran,bn d mrn n rnkng thr,bane bowling number odi one ranking tahir
KN031,train,29423,ROOM,MISS,,0,0,13,225,225,6,0,6,2,4,6,4,4,0,0,8,4,3,nmbr pkstn rnkng,0.2933,0.6533,0.0533,3,90165 42911 27495,fifa ranking mein germany top par hai to pakistan ka number kya hai,nii fifa rinkng mein jrmni srfhrst pakistan ka 200 oan nmbr,fifa hai ka mein pakistan par,fifa pakistan,ff nmbr pkstn rnkng,germany number ranking top
KN032,train,41695,ENT,MISS,,0,0,11,123,123,3,0,7,0,3,8,7,2,0,0,7,4,2,kml pbnd,0.3333,0.6341,0.0325,1,7314 14252 28789,umar akmal par fixing case mein kitne saal ki pabandi lagi,fksng askindl amrakml par 3 sal kilie pabndi aaid,ki mein par,,kml mr pbnd sl,akmal case fixing lagi pabandi saal umar
KN033,train,81673,ENT,MISS,,0,0,12,181,181,2,0,9,0,2,10,9,4,0,0,7,4,4,fnd rqm shn tst,0.2541,0.7072,0.0387,1,106444 96843 48331,shane warne test cap auction se bushfire fund ko kitni raqam mili,shin oarn ki tist kip 10 lakh hzar so dalrz mein nilam,ko se,,fnd rqm shn tst,auction bushfire cap fund mili raqam shane test warne
KN034,train,13398,ENT,MISS,,0,0,10,607,607,1,0,8,0,1,9,8,4,0,0,5,4,2,shrmn shrt,0.3064,0.682,0.0115,1,18668 18889 27267,sharmeen obaid oscar short documentary category mein dobara kab jeeti,shrmin abid chnaie ke nam aik aur skr aioard,mein,,bd jt shrmn shrt,category dobara documentary jeeti obaid oscar sharmeen short
KN035,train,10546,ENT,MISS,,0,0,10,385,385,5,0,5,1,4,5,4,0,0,0,9,5,4,khn sgrk shd zhr,0.3844,0.6052,0.0104,3,85067 85064 18668,zaheer khan ne sagarika se shaadi ka elaan kab kiya,zhir khan aur adakarh sagrika ne shadi ka aalan krdia,ka khan kiya ne se,khan,khn ln sgrk shd zhr,elaan sagarika shaadi zaheer
KN036,train,76509,VOCAB,MISS,,0,0,13,160,160,2,0,9,0,2,10,9,4,0,0,6,4,0,,0.275,0.6562,0.0688,1,53177 88989 8051,aglay das mahine mein local oil gas output mein kya izafa verqai hai,mulk mein kham til aur gis ki pidaoar mein nmaian azafe ka amkan,hai mein,,ds gs l zf,aglay das gas izafa local mahine oil output verqai
KN037,dev,22739,ROOM,MISS,,0,0,11,207,207,2,0,8,0,2,9,8,2,0,0,6,3,3,chhr krn krt,0.3043,0.6957,0.0,1,89020 46454 32634,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,ih foto aip hi kilie hai,hai ke,,chhr krn krt,app chehre ilawa karne karti nayi photo tabdeel
KN038,dev,40057,SUCCESS,SUCCESS,3,1,1,12,162,162,6,0,7,2,4,6,5,0,0,0,8,3,3,dlchsp lgn pshwr,0.3642,0.6235,0.0123,0,,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,peshawar nii aur prani garion ki nmaish mein logon ki ghri dlchspi,ki logon mein par peshawar thi,logon peshawar,dlchsp lgn pshwr,car cheez dilchaspi mela used
KN039,dev,23062,VOCAB,MISS,,0,0,13,317,317,2,0,9,1,1,11,8,7,0,0,8,6,3,chn mnt ndrd,0.265,0.7003,0.0347,3,80066 21056 22463,nokia android handset china launch par ek minute mein kyun sold out hua,nokia ke tmam nie fon mhz aik mnt mein frokht,mein nokia,nokia,chn k mnt ndrd nk t,android china ek handset launch minute out sold
KN040,dev,24596,ENT,MISS,,0,0,13,257,257,4,0,6,0,4,9,6,4,0,0,6,1,0,,0.2685,0.7237,0.0078,1,80202 5636 6056,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,aik aur gliksi asmart fon ki mojodgi ka ankshaf,ko mein ne se,,lk,active app galaxy galti leak samsung
KN041,dev,65903,VOCAB,MISS,,0,0,12,148,148,2,0,8,0,2,10,8,4,0,0,3,0,0,,0.2905,0.6959,0.0135,1,43164 67956 39328,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,pak chin aqtsadi rahdari ke tmam mnsobon ko mkml kiya jaie ga ngran wazir khzanh,kiya ne,,,caretaker cpec finance karne minister mukammal projects wazheh
KN042,dev,111652,VOCAB,MISS,,0,0,11,126,126,2,0,7,0,2,9,7,4,0,0,4,2,2,mtbq rftr,0.3254,0.6349,0.0397,1,65188 100451 72144,current account deficit ki raftaar slow kyun hui sbp ke mutabiq,jari khate ke khsare mein azafe ki rftar sst hogii astit bank,ke ki,,mtbq rftr,account current deficit mutabiq raftaar sbp slow
KN043,dev,21399,ENT,MISS,,0,0,11,274,274,3,0,7,1,2,8,6,4,0,0,7,3,2,frnt mlt,0.2555,0.6861,0.0584,3,61633 21562 47147,moto p30 front design kis apple flagship se milta julta hai,motrola ka naya fon bhi ii fon aiks ki ho bho nql,hai moto se,moto,frnt mlt mt,apple design flagship front julta milta
KN044,dev,23544,ROOM,MISS,,0,0,11,275,275,4,0,7,1,3,7,6,4,0,0,6,3,2,krt mqbl,0.2691,0.7309,0.0,3,16404 21140 101902,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,kiya ih hai toitr ka sab se bhtrin fichr,hai ka naya se,naya,krt mqbl ny,facebook feature karta muqabla snapchat twitter
KN045,dev,19783,ROOM,MISS,,0,0,11,462,462,2,0,8,0,2,9,8,7,0,0,5,3,2,cht grp,0.3117,0.6818,0.0065,1,18668 98267 14672,messenger rooms jaisa group video chat facebook ne kab add kiya,fis bk ne oidio kalng fichr misnjr zom mtaarf kradia,kiya ne,,cht grp js,add chat facebook group jaisa messenger rooms video
KN046,dev,109714,VOCAB,MISS,,0,0,14,316,316,5,0,6,0,5,9,6,4,0,0,8,1,1,ddln,0.288,0.6804,0.0316,1,110809 21064 22435,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,arbon dollar projikt 1 ko oaps trik par lane ki tiarian,hai ki ko par se,,ddln,deadline lanay railway tayyari track upgrade
KN047,dev,61862,ROOM,MISS,,0,0,13,89,89,4,0,8,0,4,9,8,6,0,0,6,2,2,brd sndh,0.191,0.809,0.0,1,42404 85695 41919,fbr aur sindh revenue board ne sales tax input par kya deal ki,aif bi aur ais bi arke drmian silz tiks maahdh te hogia,aur ki ne par,,brd sndh,board deal fbr input revenue sales sindh tax
KN048,dev,20073,RANK,RANK,42,0,1,14,328,328,3,0,7,0,1,10,6,5,0,0,5,2,0,,0.2622,0.6677,0.0701,2,18668 63487 63867,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,sam sng ka nie sste flig shp fonz ke sath 2020 ka ghaz,10 2020 aur,,lt nt,honay launch lineup lite note samsung
KN049,dev,86593,ROOM,MISS,,0,0,12,484,484,2,0,8,1,1,9,7,4,0,0,4,3,3,fnl lhr stdm,0.2252,0.7583,0.0165,3,37226 95403 87760,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,pi ais ail fainl lahore kilie bhrpor sikorti plan tiar,ke lahore,lahore,fnl lhr stdm,deploy final gird honge personnel psl stadium
KN050,dev,34762,ROOM,MISS,,0,0,11,202,202,2,0,7,0,2,8,7,3,0,0,5,3,2,fghnstn pshg,0.3515,0.6436,0.005,1,6056 98590 68711,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,afghanstan orld kp jite ga,ki par,,fghnstn g pshg,afghanistan cup foundation gai jeetne peshgoi world
KN051,dev,21160,ROOM,MISS,,0,0,13,273,273,3,0,9,0,3,10,9,2,0,0,7,4,1,prn,0.3187,0.6813,0.0,1,72446 92564 99860,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,kiya ji mil ke nie dizain ko prane jisa bnana chahte hain,hai ke ko,,j js ny prn,banaya gmail interface ja jaisa layout naye purane sakta
KN052,dev,59426,ENT,MISS,,0,0,10,354,354,2,0,7,0,2,8,7,3,0,0,3,1,1,hmn,0.3164,0.678,0.0056,1,80265 60225 21381,samsung ne vegas ces par human like robots kyun dikhaye,sam sng ne msnoai ansan pish krdiie,ne par,,hmn,ces dikhaye human like robots samsung vegas
KN053,dev,22115,ENT,MISS,,0,0,13,407,407,5,0,8,1,3,8,7,3,0,0,8,5,2,phl pkstn,0.3096,0.6634,0.027,3,65324 60632 28243,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,phli bar kimron oala fon pakistan mein mtaarf,10 ke mein pakistan sath,pakistan,br lt mt phl pkstn,aaya baar cameras huawei lite mate pehli
KN054,dev,4400,ENT,MISS,,0,0,10,594,594,4,0,6,1,3,6,5,0,0,0,6,2,1,kngn,0.3098,0.6902,0.0,3,66110 46278 43338,kangana ke bayan par momina iram ne kya jawab diya,bharti msile mein pakistan ko ghsitne par momnh aur arminh ka kngna ko krara joab,diya ke ne par,diya,dy kngn,bayan iram jawab kangana momina
