query_id,query_text,detector_label,retrieval_path,rank,doc_id,headline,news_text_or_snippet,n_hits_returned_phase9,ranks_2_to_5_recovered
H011,film kaise doobi,ROMAN,roman_bm25_method_D,1,49721,پاکستانی فلم ارتھکا ٹریلر جاری کردیا گیا,کراچی 92 نیوز پاکستان کے ایور گرین ہیرو شان کی نئی فلم ارتھکا ٹریلر جاری کردیا گیا شان شاہد فلم میں گلوکار کے کردار میں نظر ائیں گے لالی ووڈ فلم اکیس دسمبر کو بڑے پردے کی زینت بنے گی فلم میں اداکارشان گلوکارکے کردارمیں نظرئینگے فلم کی مرکزی کاسٹ میں شان کے ساتھ حمائمہ ملک اورمحب مرزابھی اہم کردارنبھارہے ہیں شان کی فلم بھارتی فلم سازمہیش بھٹ کی فلم ارتھ کا ریمیک ہے مہش بھٹ نےاپنی فلم کا ریمیک بنانے پرسماجی رابطے کی ویب سائٹ پراداکارکوسراہااورامیدظاہرکی کہ یہ فلم پہلی فلم سے بھی بہترہوگی,50,0
H012,flood ka nuksan,ROMAN,roman_bm25_method_D,1,103186,چنئی اکشے کمارکا چنئی سیلاب زدگان کیلئے1کروڑ روپے کا عطیہ,چنئیحال ہی میں بھارت کے شہر چنئی میں سیلاب نے شہر بھر میں تباہی مچادی ہے اسی سلسلے میں گزشتہ روز بالی ووڈ کے ایکشن ہیرو اکشے کمار نے بھی ایک ٹرسٹ کو سیلاب سے متاثر لوگوں کی امداد کے لئے1کروڑ روپے عطیہ کر دئیے ہیںواضح رہے کہ کئی بالی ووڈ اسٹارز نے سیلاب زدگان کے لئے امدادی رقوم حکومت کی طرف سے قائم کئے گئے فنڈ میں جمع کروائی ہے شاہ رخ خان اور ان کی نئی فلم دل والے کی ٹیم نے بھی ایک کروڑ روپے چنئی سیلاب زدگان کو عطیہ کئے تھے,50,0
H013,team haar ka tajzia,ROMAN,roman_bm25_method_D,1,93009,کھلاڑیوں کو ہار کے خوف سے نکالنا ہے معین خان,لاہورایشیا کپ کرکٹ کی تیاری کے لئے پاکستان ٹیم کاکیمپ لاہور میں جاری ہے پاکستان کرکٹ ٹیم کے ہیڈ کوچ معین خان کا کہنا ہے کہ کھلاڑیوں کو ہار کے خوف سے نکالنا ہے ہیڈ کوچ معین خان نے کہا کہ کھلاڑیوں کو ہار سے خوف سے نکالنا ہوگا تاہم میں ہر میچ جیتنے کی گارنٹی نہیں دے سکتامعین خان نے مزید کہا کہ ایشیا کپ میں ٹیم فائٹ کرتی دکھائی دے گی,50,0
H014,mehngai ke asar,ROMAN,roman_bm25_method_D,1,111755,مانیٹری پالیسی کا اعلان شرح سود 10 فیصد ہوگئی,جاری کھاتے کے خسارے میں بہتری کے کچھ ابتدائی اثار ہیں 2019 کے دوران معاشی سرگرمیوں میں نمایاں اعتدال ائیگااسٹیٹ بینک فوٹو فائل کراچیاسٹیٹ بینک اف پاکستان نے ائندہ 2ماہ کے لیے شرح سود میں ڈیڑھ فیصد کا اضافہ کردیا مرکزی بینک نے دوماہ کے لیے شرح سود 10فیصد مقرر کی گئی ہے مالیاتی پالیسی میں کہا گیا ہے مہنگائی کی شرح میں مسلسل اضافہ ہورہا ہے جسے روکنے کی ضرورت ہے پالیسی کے مطابق روپے کی قدر میں کمی طلب اور رسد کو ظاہر کررہی ہےکرنٹ اکاونٹ خسارہ کم ہورہا ہے لیکن معیشت میں استحکام کیلئے مزید کوششوں کی …,50,0
H015,film fail ki kahani,ROMAN,roman_bm25_method_D,1,17423,وینا ملک کی تھری ڈی فلم ریلیز کے لئے تیار,وینا ملک فائل تصویر اے پیممبئی اداکارہ وینا ملک کی فلم ممبئی 125 کلومیٹر ریلیز کیلئے تیار ہےممبئی 125 کلومیٹر تھری ڈی فلم ہے جو بپاشا باسو کی فلم تما کے ساتھ ساتھ مارچ 2013ء میں ریلیز کی جائے گی ذرائع کے مطابق وینا ملک کی ایک دوسری فلم کی عکسبندی بھی مکمل ہے جس کو بھی ئندہ سال ریلیز کیا جائے گا ممبئی 125 کلومیٹر پہلی بھارتی فلم ہے جس کو مکمل تھری ڈی ہالی وڈ سٹائل اصل فارمیٹ میں فلمایا گیا ہے,50,0
H016,rupay girawut ke nataij,ROMAN,roman_bm25_method_D,1,95987,ون ڈے رینکنگ سعید اجمل پہلے محمد حفیظ دوسرے نمبر پر,دبئی انٹرنیشنل کرکٹ کونسل نے ون ڈے کرکٹ کی نئی عالمی درجہ بندی جاری کردی انگلش ٹیم بدستور سرفہرست ہے ئی سی سی کی جانب سے ایوارڈ لسٹ سے خا رج کئے جانے کے باوجودبالنگ میں پاکستان کے سعید اجمل پہلے اور محمد حفیظ دوسرے نمبر پر گئے بیٹنگ میں جنوبی افریقہ کے ہاشم ملہ پہلی پوزیشن پر براجمان رانڈرز میں بنگلہ دیش کے شکیب الحسن سرفہرست ہے ئی سی سی کے اعلامیہ کے مطابق ٹیموں کی درجہ بندی میں انگلینڈ 121پوائنٹس کے ساتھ پہلے جنوبی افریقہ 121پوائنٹس کے ساتھ دوسرے بھارت 120پوائنٹس کے ساتھ تیسرے سٹریلیا 113پوائ…,50,0
H017,آج لاہور کا درجہ حرارت کیا ہے,URDU,urdu_bm25,1,58863,پاک زمبابوے ون ڈے میچ میں گرمی کا زور رہے گا محکمہ موسمیات,پاکستان اور زمبابوے کے درمیان تین ایک روزہ میچوں کی سیریزکا پہلا میچ ہورہا ہے دونوں ٹیموں کو شدید گرمی کا بھی سامنا کرنا پڑے گا محکمہ موسمیات کے مطابق زیادہ سے زیادہ درجہ حرارت تینتالیس ڈگری سینٹی گریڈ تک رہے گا قذافی اسٹیڈیم لاہور میں ہونے والے پاکستان اور زمبابوے کے پہلے ون ڈے میچ کے دوران سورج اپنے جوبن پر ہوگا محکمہ موسمیات کے مطابق سہ پہر چار بجے درجہ حرارت تنتالیس ڈگری سینٹی گریڈ تک پہنچے گاجبکہ رات کے وقت ٹھنڈی ہوائیں چلنے کا امکان ہے زیادہ سے زیادہ درجہ حرارت تنتالیس ڈگری جبکہ کم از کم …,50,0
H018,سونے کی فی تولہ قیمت آج کتنی ہے,URDU,urdu_bm25,1,70120,اپ کے پاس موجود سونے کی مالیت کتنی ہے خود کیلکولیٹ کریں,ملک میں سونے کی فی تولہ قیمت میں مزید 1800 روپے کا اضافہ ہوا ہےسندھ صرافہ بازار جیولرز ایسوسی ایشن کے مطابق سونے کی قدر 1800 روپے اضافے کے بعد ایک لاکھ 16 ہزار 200 روپے فی تولہ ہوگئی ہے10 گرام سونے کی قدر ایک ہزار 543 روپے اضافے سے 99 ہزار 623 روپے ہوگئی ہےایسوسی ایشن کے مطابق عالمی صرافہ بازار میں سونے کی فی اونس قیمت 16 ڈالر اضافے سے 1931 ڈالر ہے,50,0
H019,ایشیا کپ فائنل کب کھیلا جائے گا,URDU,urdu_bm25,1,54522,ایشیا کپ کا تاج کس کے سر سجے گا فیصلہ اج ہوگا,دبئی28 ستمبر 2018 ایشیا کپ کا تاج کس کے سر سجے گا فیصلہ اج ہوگا ایشیا کپ کے فائنل میں بھارت اور بنگلادیش کی ٹیمیں اج مد مقابل ہوں گی ایشیا کپ کا فائنل اج دبئی انٹرنیشنل اسٹیڈیم میں کھیلا جائے گا میچ پاکستانی وقت کے مطابق شام ساڑھے چار بجے شروع ہوگابھارت اور بنگلہ دیش کی ٹیمیں دو ہزار سالہ میں کھیلے گئے ایشیا کپ کے فائنل میں بھی مدمقابل تھیں جس میں بھارت نے باسانی بنگال ٹائیگرز کو شکست دی اور ایک مرتبہ پھر دونوں ٹیمیں ایونٹ کے فائنل میں ایک دوسرے کا سامنا کریں گیواضح رہے کہ بھارت نے سپر فور مرحل…,50,0
H020,نیا آئی فون پاکستان میں کب آیا,URDU,urdu_bm25,1,80318,اسکاٹ برازر کے ذریعے بچوں کی لائن سرگرمیوں پر نظر رکھنا ممکن,ٹیکنالوجی کے اس دور میں کل بچوں کے پاس بھی اسمارٹ فونز موجود ہیں جس کی وجہ سے اکثر والدین پریشان رہتے ہیں کہ کہیں ان کا بچہ اسمارٹ فون استعمال کرتے ہوئے غلط مواد یا غیر متعلقہ معلومات نہ حاصل کرلے ایسے میں لندن کی اسمارٹ فون بنانے والی کمپنی سینٹوک نے والدین کی پریشانی حل کردی ہے واضح رہے کہ گزشتہ برس اکتوبر میں سینٹوک نے بچوں کے لیے مونکی اسمارٹ فون متعارف کروایا تھا برطانوی ویب سائٹ ڈیلی میل کی رپورٹ کے مطابق سینٹوک نے اپنے مونکی اسمارٹ فون میں ایک اسکاٹ برازر متعارف کروایا ہے تاکہ والدین اپن…,50,0
H021,آج کراچی میں زیادہ سے زیادہ حرارت,URDU,urdu_bm25,1,79724,انٹارکٹیکا کی تاریخ میں پہلی بار درجہ حرارت 20 ڈگری سینٹی گریڈ سے تجاوز,دنیا کے انتہائی جنوب میں واقع براعظم انٹارکٹیکا کی تاریخ میں پہلی بار درجہ حرارت 20 ڈگری سینٹی گریڈ سے تجاوز کرگیا برازیل سے تعلق رکھنے والے سائنسدان کارلوس شائیفر نے فرانسیسی خبر رساں ایجنسی کو بتایا کہ انہوں نے انٹارکٹیکا میں درجہ حرارت اتنا بلند کبھی نہیں دیکھا ان کا کہنا ہے کہ فروری 2020 کو انٹارکٹیکا کے ایک حصے میں درجہ حرارت 2075 ڈگری سینٹی گریڈ ریکارڈ کیا گیا جو اب تک کی تاریخ میں سب سے زیادہ ہے تاہم ان کا یہ بھی کہنا ہے کہ یہ صرف ایک ریڈنگ ہے اور طویل المدتی ڈیٹا سیٹ کا حصہ نہیں گزشتہ ہ…,50,0
H022,پاکستان کا اگلا کرکٹ میچ کس ملک سے,URDU,urdu_bm25,1,93795,پروٹیز کیخلاف سیریزپاکستان کرکٹ ٹیم کی تیاریاں,لاہورپاکستان کرکٹ ٹیم کا اگلا امتحان ساوتھ افریقا کے خلاف متحدہ عرب امارات میں سیریز ہے جس کیلئے گرین شرٹس نے کمر کس لی ہے اور تیاریوں کا غاز ہونے ہی والا ہےساتھ افریقا کیخلاف تین روزہ سائیڈ میچ کیلئے 15 جبکہ پہلے ٹیسٹ کیلئے ستائیس ممکنہ کھلاڑیوں کا اعلان ہوچکاہےکھلاڑی رات تک رپورٹ کریں گے جبکہ باقاعدہ ٹریننگ کا غاز کل ہوگادو دن ٹریننگ کے بعد دو سے چار اکتوبر تک تین روزہ پریکٹس میچ کھیلا جا ئے گاذرائع کا کہنا ہے کہ میچ کے اختتام پر ہی چار یا پانچ اکتوبر کو ساتھ افریقا کے خلاف پہلے ٹیسٹ کیلئے ٹی…,50,0
H023,پیٹرول کی موجودہ قیمت فی لیٹر پاکستان,URDU,urdu_bm25,1,99,پیٹرول کی قیمت 157 روپے ڈیزل 84 پیسے فی لیٹر کم کرنے کا اعلان,حکومت نے پیٹرول کی فی لیٹر قیمت ایک روپے 57 پیسے اور ڈیزل کی قیمت 84 پیسے فی لیٹر کم کرنے کا اعلان کردیاوزارت خزانہ سے جاری اعلامیے کے مطابق پیٹرول کی نئی قیمت ایک روپے 57 پیسے فی لیٹر کمی کے بعد 102 روپے 40 پیسے مقرر کردی گئی ہےاسی طرح ہائی اسپیڈ ڈیزل کی فی لیٹر قیمت 84 پیسے کمی کے بعد 103 روپے 22 پیسے ہوگییہ بھی پڑھیں حکومت کا پیٹرول کی موجودہ قیمت برقرار رکھنے کا فیصلہ اعلامیے میں کہا گیا کہ مٹی کے تیل اور لائٹ ڈیزل ئل کی قیمتوں میں کوئی ردوبدل نہیں کیا گیا ہے اور ان کی موجودہ قیمتیں برقرار …,50,0
H024,آج سٹاک ایکسچینج کتنے پوائنٹ پر,URDU,urdu_bm25,1,40683,ایران پر بین الاقوامی پابندیوں کا خاتمہ مشرق وسطی میں حصص کی منڈیوں میں کریش,تہران ویب ڈیسک ایران پر بین الاقوامی پابندیوں کے خاتمے کے بعد مشرق وسطی میں حصص کی تمام منڈیاں کریش کر گئیں پاکستان کی اسٹاک مارکیٹ میں بھی مندی کا رحجان دیکھا گیا تیل کی قیمت میں مسلسل کمی اور ایران پر عالمی پابندیاں اٹھنے کے بعد پیر مشرق وسطی میں حصص کی منڈیوں میں مندی کا رجحان رہا اور کئی سٹاک مارکیٹیں کریش کر گئیں دبئی کی اسٹاک مارکیٹ میں چار اعشاریہ اٹھ سعودی عرب اسٹاک مارکیٹ میں سات فیصد ابوظہبی چار اعشاریہ پانچ اور عمان سٹاک ایکسچینج میں کاروباری حجم اعشاریہ پانچ فیصد کم ہو گیا کراچی اسٹ…,50,0
H025,aaj lahore ka temperature kya hai,ROMAN,roman_bm25_method_D,1,42603,عامر خان اج اسٹریلوی باکسر بلی ڈب کا مقابلہ کریں گے,جدہ 92 نیوزباکسنگ شائقین ہو جائیں تیار پاکستانی نژاد برطانوی باکسر عامر خان اج سعودی رب کے شہر جدہ میں سٹریلوی باکسر بلی ڈب کیخلاف رنگ میں اتریں گے کنگ رنگ پاکستانی نژاد برطانوی باکسر عامر خان رنگ میں اترنے کے لیے تیار جب کہ شائقین انکی فائٹ دیکھنے کے لیے بے تاب ہیں پاکستانی نژاد برطانوی باکسر عامر خان ااج سعودی عرب کے شہر جدہ میں ان ایکشن ہوں گے جہاں انکا مقابلہ سٹریلیا کے باکسر بلی ڈب سے ہو گا اس سے پہلے اسٹار باکسر کا مقابلہ بھارتی باکسرنیرج گوئیت سے ہونا تھا جو حادثے میں زخمی ہونے کے باعث ا…,50,0
H026,sone ki tola qeemat aaj kitni hai,ROMAN,roman_bm25_method_D,1,63323,کاروباری ہفتے کا دوسرا روز پاکستان اسٹاک مارکیٹ 644 پوائنٹس کے اضافے کے ساتھ بند,کراچی 11 اگست 2020 پاکستان اسٹاک ایکسچینج میں ایک روزہ تیزی کے بعد دوبارہ تیزی دیکھی گئی مارکیٹ 644پوائنٹس کے اضافے سے 40 ہزار 559 کی سطح پر بند ہوئی سونے کی فی تولا قیمت 2900 روپے مزید نیچے گئی کاروباری ہفتے کے دوسرے روز پاکستان اسٹاک ایکسچینج میں زبردست تیزی دیکھی گئی644 پوائنٹس کے اضافے سے 100انڈیکس نے 40 ہزار کی حددوبارہ حاصل کرلیاس طرح مارکیٹ 40 ہزار 559 پوائنٹس کی سطح پر بند ہوئی دن بھر مجموعی طور پر 372 کمپنیوں کے شیئرز میں کاروبار ہوا213 کمپنیوں کے شیئرز کی قیمتوں میں اضافہ جبکہ 134کے ش…,50,0
H027,Asia cup final kab khela jayega,ROMAN,roman_bm25_method_D,1,18668,کعب اللہ کا غلاف,ہرسال کی طرح اس سال بھی کعب اللہ کا غلاف تبدیل کیا گیا نو ذوالحج کو بیت اللہ میں غلاف کعبہ تبدیل کیا جاتا ہے غلاف کعبہ کو عربی میں کسو الکعبہ کہا جاتا ہے جس کی تبدیلی کاعمل چھ گھنٹوں میں مکمل ہوا خانہ کعبہ کے غلاف کی تبدیلی نماز فجر کے بعد شروع ہوئی اور اس کی تیاری میں روایتی طور پر اس سال بھی 150 کلو گرام چاندی اور سونا جبکہ 670 کلو گرام خالص ریشم کا استعمال کیا گیا سونے اور چاندی سے غلاف پر قرنی یات کی کشیدہ کاری بھی کی گئی ہے تصاویر اے ایف پی اے پی,8,0
H028,naya iphone pakistan mein kab aaya,ROMAN,roman_bm25_method_D,1,18668,کعب اللہ کا غلاف,ہرسال کی طرح اس سال بھی کعب اللہ کا غلاف تبدیل کیا گیا نو ذوالحج کو بیت اللہ میں غلاف کعبہ تبدیل کیا جاتا ہے غلاف کعبہ کو عربی میں کسو الکعبہ کہا جاتا ہے جس کی تبدیلی کاعمل چھ گھنٹوں میں مکمل ہوا خانہ کعبہ کے غلاف کی تبدیلی نماز فجر کے بعد شروع ہوئی اور اس کی تیاری میں روایتی طور پر اس سال بھی 150 کلو گرام چاندی اور سونا جبکہ 670 کلو گرام خالص ریشم کا استعمال کیا گیا سونے اور چاندی سے غلاف پر قرنی یات کی کشیدہ کاری بھی کی گئی ہے تصاویر اے ایف پی اے پی,50,0
H029,aaj karachi max temperature kitna raha,ROMAN,roman_bm25_method_D,1,42603,عامر خان اج اسٹریلوی باکسر بلی ڈب کا مقابلہ کریں گے,جدہ 92 نیوزباکسنگ شائقین ہو جائیں تیار پاکستانی نژاد برطانوی باکسر عامر خان اج سعودی رب کے شہر جدہ میں سٹریلوی باکسر بلی ڈب کیخلاف رنگ میں اتریں گے کنگ رنگ پاکستانی نژاد برطانوی باکسر عامر خان رنگ میں اترنے کے لیے تیار جب کہ شائقین انکی فائٹ دیکھنے کے لیے بے تاب ہیں پاکستانی نژاد برطانوی باکسر عامر خان ااج سعودی عرب کے شہر جدہ میں ان ایکشن ہوں گے جہاں انکا مقابلہ سٹریلیا کے باکسر بلی ڈب سے ہو گا اس سے پہلے اسٹار باکسر کا مقابلہ بھارتی باکسرنیرج گوئیت سے ہونا تھا جو حادثے میں زخمی ہونے کے باعث ا…,50,0
H030,pakistan agla cricket match kis mulk se,ROMAN,roman_bm25_method_D,1,87722,لاہورقلندرز جاز کرکٹ راولپنڈی نے ملتان کو ہرادیا,لاہور قلندرز جاز رائزنگ اسٹار کرکٹ ٹورنامنٹ میں راولپنڈی رائزنگ اسٹار نے ملتان رائزنگ اسٹار کو11 رنز سے شکست دے دی دوسرا میچ بہاولپور اور ڈی جی خان کی ٹیموں کے درمیان ہوگا لاہور کے قذافی اسٹیڈیم میں جاری میچ میں راولپنڈی نے ٹاس جیت کر بیٹنگ کا فیصلہ کیا مقررہ بیس اوورز میں وکٹ پر 154 رنز اسکور کئےذیشان ملک 74 رنز کے ساتھ ٹاپ پر رہے جواب میں ملتان رائزنگ اسٹار نے اغاز تو بہترین کیا لیکن وکٹوں کے نقصان پر 143 رنز ہی بنا سکی اسلام اباد رائزنگ اسٹار کے احتشام سلطان نے تین کھلاڑیوں کو ائوٹ کیا اگلا …,50,0
