query_id,split,script,source_doc_id,query_text,bm25_rank,dense_rank,hybrid_rank,ng3_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@1,dense_hit@5,dense_hit@10,dense_hit@50,hybrid_hit@1,hybrid_hit@5,hybrid_hit@10,hybrid_hit@50,ng3_hit@1,ng3_hit@5,ng3_hit@10,ng3_hit@50,bm25_rr,dense_rr,hybrid_rr,ng3_rr,dual_miss_bm25_dense,ng3_recovered_dual_miss,ng3_only_vs_bm25_dense,n_bm25_hits,n_ng3_hits,n_bm25_ng3_union,n_bm25_ng3_overlap,ng3_q_features,ng3_overlap_gold,shared_trigrams_sample,room_cat1,vocab_control
KN020,train,ROMAN,60895,cpec joint cooperation committee ka session kis shehar mein chal raha tha,,110,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,39,10,aha ein har ka kis mei mit oin rah tha,0,1
KN021,train,ROMAN,13065,jungle book live action ne india box office par kya record banaya,,167,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,31,6,dia ind ndi ne ngl par,0,0
KN022,train,ROMAN,14664,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,,4030,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,35,14,adi ahi ari hah hat hle ira iya kha ki mir se sha tam,0,0
KN023,train,ROMAN,12128,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,3,47725,5,3,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0.333333,0.0,0.2,0.333333,0,0,0,50,50,84,16,22,14,ara ars ati azi bar hai ian jat ki kis mia rsi tar ziz,0,0
KN024,train,ROMAN,31154,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,,204,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,43,16,aki hai hil ila ile ind ist ka ke khi kis laf ndi pak sta tan,0,0
KN025,train,ROMAN,60831,adb country director ne pm se mil kar investment ke bare mein kya kaha,,301,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,98,2,33,9,aha ein kar ke mei ne ntr pm se,0,0
KN026,train,ROMAN,102664,salman ki wrestler film ka pehla poster kis director ki movie ka hai,,16757,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,34,11,fil hai hla ilm ka ki lma man ost pos sal,0,0
KN027,train,ROMAN,59279,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,,196,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,40,11,ain aya cha ein hai ion kar kte mei min nay,0,0
KN028,train,ROMAN,76785,state bank ke mutabiq external debt burden mein kitni percent kami hui,,523,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,36,7,ank ban ein ke mei sta tab,0,0
KN029,train,ROMAN,101347,houston new year show mein kumar sanu kis community event ka hissa bane,,1,2,,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,1.0,0.5,0.0,0,0,0,50,50,100,0,34,5,ein ka mar mei san,0,0
KN030,train,ROMAN,47083,imran tahir odi bowling ranking mein number one kab bane,,24,47,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.041667,0.021277,0.0,0,0,0,50,50,100,0,27,9,ahi ane ein imr lin mei mra ran tah,0,0
KN031,train,ROMAN,29423,fifa ranking mein germany top par hai to pakistan ka number kya hai,,4,8,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.25,0.125,0.0,0,0,0,50,50,70,30,31,14,aki ein fif hai ifa ist ka kis mei pak par ran sta tan,0,0
KN032,train,ROMAN,41695,umar akmal par fixing case mein kitne saal ki pabandi lagi,,6216,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,27,7,akm ein ki mei ndi pab par,0,0
KN033,train,ROMAN,81673,shane warne test cap auction se bushfire fund ko kitni raqam mili,,3,6,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.333333,0.166667,0.0,0,0,0,50,50,100,0,32,7,ane arn ili ko qam rne se,0,0
KN034,train,ROMAN,13398,sharmeen obaid oscar short documentary category mein dobara kab jeeti,,3,5,,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0.0,0.333333,0.2,0.0,0,0,0,50,50,100,0,40,8,bar ein ent har mei men ort sha,0,0
KN035,train,ROMAN,10546,zaheer khan ne sagarika se shaadi ka elaan kab kiya,,623,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.2,1,1,1,50,50,95,5,25,14,adi ari han ika iya ka kha kiy laa ne rik sag se sha,0,0
KN036,train,ROMAN,76509,aglay das mahine mein local oil gas output mein kya izafa verqai hai,,1674,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,30,6,ein hai mah mei oil zaf,0,0
KN037,dev,ROMAN,22739,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,,2537,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,27,7,arn hai hre kar ke oto rti,1,0
KN038,dev,ROMAN,40057,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,3,7228,6,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0.333333,0.0,0.166667,1.0,0,0,0,50,50,89,11,30,17,awa che ein esh gon haw ki lch log mei ogo par pes sha spi thi war,0,0
KN039,dev,ROMAN,23062,nokia android handset china launch par ek minute mein kyun sold out hua,,2,15,17,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0.0,0.5,0.066667,0.058824,0,0,0,50,50,75,25,34,12,chi ein han hin ina kia mei nch ndr nok oid oki,0,0
KN040,dev,ROMAN,24596,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,,27,54,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.037037,0.0,0.0,0,0,0,50,50,100,0,28,7,ein ko lti mei ne sam se,0,0
KN041,dev,ROMAN,65903,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,,11599,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,44,10,are ist iya kam kar kiy mal nan ne waz,0,1
KN042,dev,ROMAN,111652,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,,469,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,33,4,fta ke ki tab,0,0
KN043,dev,ROMAN,21399,moto p30 front design kis apple flagship se milta julta hai,,23,44,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.043478,0.022727,0.0,0,0,0,50,50,99,1,28,6,fro hai mot oto ple se,0,0
KN044,dev,ROMAN,23544,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,,454,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,37,9,abl aya cha hai ka kar nay qab se,0,0
KN045,dev,ROMAN,19783,messenger rooms jaisa group video chat facebook ne kab add kiya,,23,45,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.043478,0.022222,0.0,0,0,0,50,50,100,0,32,9,add ais cha gro hat iya jai kiy ne,1,0
KN046,dev,ROMAN,109714,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,,2,4,,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0.0,0.5,0.25,0.0,0,0,0,50,50,100,0,37,13,adl ail ari hai hle ine ki ko lan lin par rai se,0,0
KN047,dev,ROMAN,61862,fbr aur sindh revenue board ne sales tax input par kya deal ki,,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,26,5,aur ki ndh ne par,1,0
KN048,dev,ROMAN,20073,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,42,3,1,31,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.02381,0.333333,1.0,0.032258,0,0,0,50,50,91,9,33,9,020 10 202 aur hon lin nch not sam,0,0
KN049,dev,ROMAN,86593,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,,1,2,,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,1.0,0.5,0.0,0,0,0,50,50,95,5,36,8,aho hon hor ina ke lah nge ore,0,0
KN050,dev,ROMAN,34762,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,,3531,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,1.0,1,1,1,50,50,100,0,35,14,afg fgh gha goi han hgo ion ki orl par rld shg sta tan,1,0
KN051,dev,ROMAN,21160,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,,616,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,100,0,37,13,ais ana ane aya hai isa ise jai ke ko nay ran rfa,1,0
KN052,dev,ROMAN,59426,samsung ne vegas ces par human-like robots kyun dikhaye,,2,7,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.5,0.142857,0.0,0,0,0,50,50,74,26,27,10,bot gas ikh kha lik man ne ots par sam,0,0
KN053,dev,ROMAN,22115,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,,5,9,,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.2,0.111111,0.0,0,0,0,50,50,97,3,35,17,10 aar aki ath aya ein hli ist itn ke kis mei pak ras sat sta tan,0,0
KN054,dev,ROMAN,4400,kangana ke bayan par momina iram ne kya jawab diya,,2978,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,50,50,95,5,23,9,ana diy iya ke min mom ne par ram,0,0
