query_id,split,script,source_doc_id,query_text,query_tokens,expanded_tokens,n_tokens_expanded,bm25_rank,dense_rank,ng3_rank,hybrid_rank,p7_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid_hit@50,p7_hit@1,p7_hit@5,p7_hit@10,p7_hit@50,bm25_rr,p7_rr,quad23,p7_recovered_quad23,room_cat1
KN014,train,ROMAN,79754,mobile slow charge hone ki user side ghalti kya ho sakti hai,mobile slow charge hone ki user side ghalti kya ho sakti hai,mobile ais ail ao dblio charge aich ao ain ai ki io ais ai aar ais aaii di ai ghalti kya ho sakti hai,4,44,16,,3,,0,0,0,1,1,0,1,0,0,0,0,0.022727,0.0,0,0,0
KN015,train,ROMAN,22450,viral maths puzzle ne internet users ko kyun confuse kiya,viral maths puzzle ne internet users ko kyun confuse kiya,viral maths puzzle ne internet users ko ke oaii io ain confuse kiya,1,,9,,18,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN016,train,ROMAN,100673,priyanka ke african kids se hair compliment exchange kis tour par hua,priyanka ke african kids se hair compliment exchange kis tour par hua,priyanka ke african ke aaii di ais se aich ae aaii aar compliment exchange ke aaii ais ti ao io aar par aich io ae,5,,1,,1,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN017,train,ROMAN,19341,boom supersonic passenger prototype kab unveil hua,boom supersonic passenger prototype kab unveil hua,bi ao ao aim supersonic passenger prototype ke ae bi unveil aich io ae,3,,1,5,2,,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0,0
KN018,train,ROMAN,17943,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,aladdin kahani ke aaii ais aaii haqeeqi shakhs par mabni hai oaii ae sirf fable hai,2,,11213,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN019,train,ROMAN,5092,jlo ne 50 saal ki umar mein fitness kaise maintain ki,jlo ne 50 saal ki umar mein fitness kaise maintain ki,je ail ao ne 50 ais ae ae ail ki io aim ae aar mein fitness kaise maintain ki,3,,5,,9,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN020,train,ROMAN,60895,cpec joint cooperation committee ka session kis shehar mein chal raha tha,cpec joint cooperation committee ka session kis shehar mein chal raha tha,cpec joint cooperation committee ka session ke aaii ais shehar mein si aich ae ail raha tha,2,,110,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN021,train,ROMAN,13065,jungle book live action ne india box office par kya record banaya,jungle book live action ne india box office par kya record banaya,jungle bi ao ao ke ail aaii oi ai action ne india bi ao aiks office par kya record banaya,3,,167,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN022,train,ROMAN,14664,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,shahid aim aaii aar ae sangeet se pehle shaadi ki tayyariyan ke ae bi khatam aich io aaii ain,3,,4030,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN023,train,ROMAN,12128,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,qawwal ae zid aaii zid aim aaii ae ain ki barsi ke aaii ais tarah oaii ae ae di ki je ae ti aaii hai,5,3,47725,3,5,,0,1,1,1,0,1,1,0,0,0,0,0.333333,0.0,0,0,0
KN024,train,ROMAN,31154,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,dblio ai ais ti indies ke khilaf dubai di ae oaii night series pakistan ka kaunsa milestone ti ai ais ti hai,3,,204,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN025,train,ROMAN,60831,adb country director ne pm se mil kar investment ke bare mein kya kaha,adb country director ne pm se mil kar investment ke bare mein kya kaha,ae di bi country director ne pm se aim aaii ail ke ae aar investment ke bi ae aar ai mein kya ke ae aich ae,5,,301,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN026,train,ROMAN,102664,salman ki wrestler film ka pehla poster kis director ki movie ka hai,salman ki wrestler film ka pehla poster kis director ki movie ka hai,salman ki wrestler film ka pehla poster ke aaii ais director ki movie ka hai,1,,16757,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN027,train,ROMAN,59279,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,chameleon satellite minutes mein naya mission ke oaii io ain assume ke ae aar sakte hain,2,,196,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN028,train,ROMAN,76785,state bank ke mutabiq external debt burden mein kitni percent kami hui,state bank ke mutabiq external debt burden mein kitni percent kami hui,state bank ke mutabiq external di ai bi ti burden mein kitni percent ke ae aim aaii hui,2,,523,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN029,train,ROMAN,101347,houston new year show mein kumar sanu kis community event ka hissa bane,houston new year show mein kumar sanu kis community event ka hissa bane,houston ain ai dblio oaii ai ae aar ais aich ao dblio mein kumar ais ae ain io ke aaii ais community event ka hissa bi ae ain ai,6,,1,,2,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN030,train,ROMAN,47083,imran tahir odi bowling ranking mein number one kab bane,imran tahir odi bowling ranking mein number one kab bane,imran tahir ao di aaii bowling ranking mein number ao ain ai ke ae bi bi ae ain ai,4,,24,,47,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN031,train,ROMAN,29423,fifa ranking mein germany top par hai to pakistan ka number kya hai,fifa ranking mein germany top par hai to pakistan ka number kya hai,aif aaii aif ae ranking mein germany ti ao pi par hai ti ao pakistan ka number kya hai,3,,4,,8,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN032,train,ROMAN,41695,umar akmal par fixing case mein kitne saal ki pabandi lagi,umar akmal par fixing case mein kitne saal ki pabandi lagi,io aim ae aar akmal par fixing si ae ais ai mein kitne ais ae ae ail ki pabandi ail ae ji aaii,4,,6216,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN033,train,ROMAN,81673,shane warne test cap auction se bushfire fund ko kitni raqam mili,shane warne test cap auction se bushfire fund ko kitni raqam mili,shane warne ti ai ais ti si ae pi auction se bushfire aif io ain di ko kitni raqam aim aaii ail aaii,4,,3,,6,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN034,train,ROMAN,13398,sharmeen obaid oscar short documentary category mein dobara kab jeeti,sharmeen obaid oscar short documentary category mein dobara kab jeeti,sharmeen obaid oscar short documentary category mein dobara ke ae bi jeeti,1,,3,,5,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN035,train,ROMAN,10546,zaheer khan ne sagarika se shaadi ka elaan kab kiya,zaheer khan ne sagarika se shaadi ka elaan kab kiya,zaheer khan ne sagarika se shaadi ka elaan ke ae bi kiya,1,,623,5,,,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0
KN036,train,ROMAN,76509,aglay das mahine mein local oil gas output mein kya izafa verqai hai,aglay das mahine mein local oil gas output mein kya izafa verqai hai,aglay di ae ais mahine mein local ao aaii ail ji ae ais output mein kya izafa verqai hai,3,,1674,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN037,dev,ROMAN,22739,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,ain ae oaii aaii photo ae pi pi chehre tabdeel karne ke ilawa kya karti hai,2,,2537,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN038,dev,ROMAN,40057,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,peshawar io ais ai di si ae aar aim ai ail ae mein logon ki dilchaspi ke aaii ais cheez par thi,4,3,7228,1,6,,0,1,1,1,0,1,1,0,0,0,0,0.333333,0.0,0,0,0
KN039,dev,ROMAN,23062,nokia android handset china launch par ek minute mein kyun sold out hua,nokia android handset china launch par ek minute mein kyun sold out hua,nokia android handset china launch par ai ke minute mein ke oaii io ain ais ao ail di out aich io ae,4,,2,17,15,,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0,0
KN040,dev,ROMAN,24596,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,samsung ne galaxy s7 active ko galti se ke aaii ais ae pi pi mein ail ai ae ke kiya,3,,27,,54,,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0
KN041,dev,ROMAN,65903,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,0,,11599,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN042,dev,ROMAN,111652,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,current account deficit ki raftaar slow kyun hui sbp ke mutabiq,current account deficit ki raftaar ais ail ao dblio ke oaii io ain hui ais bi pi ke mutabiq,3,,469,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN043,dev,ROMAN,21399,moto p30 front design kis apple flagship se milta julta hai,moto p30 front design kis apple flagship se milta julta hai,aim ao ti ao p30 front design ke aaii ais apple flagship se milta julta hai,2,,23,,44,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN044,dev,ROMAN,23544,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,twitter ka naya feature facebook snapchat se muqabla ke oaii io ain karta hai,1,,454,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
KN045,dev,ROMAN,19783,messenger rooms jaisa group video chat facebook ne kab add kiya,messenger rooms jaisa group video chat facebook ne kab add kiya,messenger rooms jaisa group video si aich ae ti facebook ne ke ae bi ae di di kiya,3,,23,,45,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1
KN046,dev,ROMAN,109714,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,0,,2,,4,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN047,dev,ROMAN,61862,fbr aur sindh revenue board ne sales tax input par kya deal ki,fbr aur sindh revenue board ne sales tax input par kya deal ki,aif bi aar aur sindh revenue board ne sales ti ae aiks input par kya di ai ae ail ki,3,,59,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN048,dev,ROMAN,20073,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,samsung s10 ail aaii ti ai aur ain ao ti ai 10 ail aaii ti ai 2020 lineup ke ae bi launch honay walay ti aich ae oaii,5,42,3,31,1,,0,0,0,1,1,1,1,0,0,0,0,0.02381,0.0,0,0,0
KN049,dev,ROMAN,86593,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,lahore psl final ke ail aaii oaii ai stadium ke ji aaii aar di kitne personnel deploy honge,2,,1,,2,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN050,dev,ROMAN,34762,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,afghanistan world si io pi jeetne ki peshgoi ke aaii ais foundation par ki ji ae aaii,3,,3531,1,,,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,1
KN051,dev,ROMAN,21160,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,gmail ke ain ae oaii ai interface ko purane layout jaisa kaise banaya je ae sakta hai,2,,616,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1
KN052,dev,ROMAN,59426,samsung ne vegas ces par human-like robots kyun dikhaye,samsung ne vegas ces par human like robots kyun dikhaye,samsung ne vegas si ai ais par human ail aaii ke ai robots ke oaii io ain dikhaye,3,,2,,7,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN053,dev,ROMAN,22115,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,huawei aim ae ti ai 10 ail aaii ti ai pakistan mein pehli bi ae ae aar kitne cameras ke ais ae ti aich ae ae oaii ae,5,,5,,9,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0
KN054,dev,ROMAN,4400,kangana ke bayan par momina iram ne kya jawab diya,kangana ke bayan par momina iram ne kya jawab diya,kangana ke bayan par momina aaii aar ae aim ne kya jawab diya,1,,2978,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0
