query_id,split,cohort,source_doc_id,query_text,triggered,bm25_rank,dense_rank,ng3_rank,hybrid_rank,phase9_rank,phase10_rank,phase10b_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@1,dense_hit@5,dense_hit@10,dense_hit@50,ng3_hit@1,ng3_hit@5,ng3_hit@10,ng3_hit@50,hybrid_hit@1,hybrid_hit@5,hybrid_hit@10,hybrid_hit@50,phase9_hit@1,phase9_hit@5,phase9_hit@10,phase9_hit@50,phase10_hit@1,phase10_hit@5,phase10_hit@10,phase10_hit@50,phase10b_hit@1,phase10b_hit@5,phase10b_hit@10,phase10b_hit@50
KN037,dev,original,22739,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN038,dev,original,40057,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,0,3,,1,6,3,6,6,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1
KN039,dev,original,23062,nokia android handset china launch par ek minute mein kyun sold out hua,0,,2,17,15,,15,15,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
KN040,dev,original,24596,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,0,,27,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN041,dev,original,65903,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN042,dev,original,111652,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,0,,469,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN043,dev,original,21399,moto p30 front design kis apple flagship se milta julta hai,1,,23,,44,,,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KN044,dev,original,23544,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,1,,454,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN045,dev,original,19783,messenger rooms jaisa group video chat facebook ne kab add kiya,1,,23,,45,,,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KN046,dev,original,109714,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,0,,2,,4,,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1
KN047,dev,original,61862,fbr aur sindh revenue board ne sales tax input par kya deal ki,1,,59,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN048,dev,original,20073,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,0,42,3,31,1,42,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
KN049,dev,original,86593,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,1,,1,,2,,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1
KN050,dev,original,34762,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,0,,,1,,,,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN051,dev,original,21160,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,1,,616,,,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KN052,dev,original,59426,samsung ne vegas ces par human-like robots kyun dikhaye,0,,2,,7,,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
KN053,dev,original,22115,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,1,,5,,9,,9,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
KN054,dev,original,4400,kangana ke bayan par momina iram ne kya jawab diya,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN110,dev,phase13,20610,pakistan ne facebook se user data maangne ki requests mein kitna izafa dekha,1,,18,,35,,35,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
KN111,dev,phase13,80742,england ke khilaf teesre test mein pakistan pehli innings mein follow-on kyun khela,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN112,dev,phase13,51022,meera ne khud ko apna husband batane wale atiq ur rehman par kya ilzam lagaya,0,41,29,,2,41,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1
KN113,dev,phase13,2296,samsung ne pakistan mein smart phone qeematon mein kami kab announce ki,0,,71,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN114,dev,phase13,19493,microsoft ne internet explorer support kab permanently band ki,0,,161,5,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN115,dev,phase13,35735,najam sethi ne rashid latif ko selector banane par ecb ka pressure kyun man liya,1,,3,,5,2,5,5,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
KN116,dev,phase13,6103,nobel laureate women ne gates foundation ko modi award par kya letter likha,0,23,1,24,1,23,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
KN117,dev,phase13,64127,sbp spokesman ne naye currency notes wali social media afwahen kyun kharij keen,1,,294,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN118,dev,phase13,21680,facebook rumour wale posts ko asal news samajhne se pehle kya check karna chahiye,1,,75,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN119,dev,phase13,26893,sarfaraz ahmed ne shoib akhtar ki tanqeed ko personal attack kyun qaraar diya,1,,46,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
