query_id,rank,doc_id,A1_label,A2_label,query_text,headline,news_text_or_snippet
U004,5,73488,D,C,mojooda dollar rate pakistan mein kya hai,رواں ماہ پاکستان کے زرمبادلہ کے ذخائر 22ارب ڈالر ہوجائینگے,جون کے اخر تک پاکستان کے غیر ملکی زرمبادلہ کے ذخائر22ارب ڈالر سے زیادہ ہو جائیں گے جو پاکستان کی تاریخ میں بلند ترین سطح ہےاسٹیٹ بنک کی طرف سے جاری کردہ اعدا شمار کے مطابق گذشتہ ماہ کے اخر تک زرمبادلہ کے ذخائر21ارب 60کروڑ ڈالر تھے پاکستان اور ائی ایم کے درمیان دسویں جائزے کے مذاکرات میں پاکستان کو 51کروڑ 10لاکھ ڈالر کی قرضہ فراہم کرنے کی سفارش کی گئی ہے جو 27جون کو جاری کر دیاجائے گیااس منتقلی کے بعد اسٹیٹ بنک کےپاس زرمبالہ کے ذخائر 17ارب 31کروڑ ڈالرہو جائیں گے جبکہ دوسرے کمرشل بنکو کے پاس زرمب…
U007,2,63248,B,A,کراچی میں رات بجلی کٹے گی,کراچی غیراعلانیہ لوڈشیڈنگ نے شہریوں کی زندگی عذاب بنادی,کراچی 16 ستمبر 2020 کے الیکٹرک کی جانب سے عدالتی احکامات ہوا میں اڑا دیئے گئے شہر کے مختلف علاقوں میں 10 سے 12 گھنٹے بجلی کی معطلی معمول بن چکی ہےکراچی میں بجلی کی غیر اعلانیہ لوڈشیڈنگ نے شہریوں کی زندگی اجیرن کردی ہےگرمی اور حبس کے مارے شہری بغیر بجلی کے بے حال کے الیکٹرک نے عدالتی احکامات ہوا میں اڑا دیئے رات گئے شہر کے مختلف علاقے تاریکی میں ڈوبے رہے کراچی میں کے الیکٹرک کو گیس کی فراہمی میں کمی کے بعد شہر میں لوڈشیڈنگ کا دورانیہ بڑھ گیا لوڈشیڈنگ سے مستثنی علاقوں میں بھی مرمت کے نام پر 2سے 3…
U009,1,28580,C,B,عالمی کپ کرکٹ شیڈول پاکستان,بھارتی ہٹ دھرمی کے سبب بلائنڈ عالمی کپ کا شیڈول تبدیل,اسلام باد پاکستان بلائنڈ کرکٹ کونسلپی بی سی سی نے پانچویں عالمی بلائنڈ کرکٹ کپ کیلئے بھارتی وزارت خارجہ کی طرف سے اپنی بلائنڈ کرکٹ ٹیم کو دورہ پاکستان کی کلیئرنس نہ دینے پر ورلڈ کپ کے شیڈول میں تبدیلی کر دی ہےبدھ کو پاکستان بلائنڈ کرکٹ کونسل کی جانب سے جاری کردہ پریس ریلیز کے مطابق بھارتی ٹیم نے شیڈول کے مطابق 6جنوری کو پاکستان کے دورہ پر نا تھا جس کیلئے پنجاب حکومت نے تمام ٹیموں کیلئے فول پروف سیکیورٹی کا انتظام بھی کیا تھا تاہم بھارتی حکومت کی جانب سے اپنی کرکٹ ٹیم کو دورہ پاکستان کی کلیئرنس …
U009,2,92859,B,A,عالمی کپ کرکٹ شیڈول پاکستان,ورلڈ کپ سے قبل پاکستان نیوزی لینڈ کیخلاف ون ڈے سیریز کھیلے گا,کراچی رفیق مانگٹسٹریلیا اور نیوزی لینڈ میں منعقد ہونے والے عالمی کرکٹ کپ 2015سے قبل پاکستان نیوزی لینڈ سے تین ایک روزہ سیریز کھیلے گابھارتی میڈیا نے پاکستانی کرکٹ حکام کے حوالے سے لکھا ہے کہ ئندہ برس ئی سی سی ورلڈ کپ سے قبل پاکستان نیوزی لینڈ کے خلاف ایک مختصر ون سیریز کھیلے گا یہ سیریز تین میچز پر مشتمل ہوگی پاکستانی حکام کے مطابق نیوزی لینڈ کرکٹ بورڈ نے پاکستان کے ساتھ تین میچز کی سیریز کی تصدیق کردی ہے جو اوائل فروری 2015میں کھیلی جائے گیپی سی بی حکام کا کہنا ہے کہ ہم نے نیوزی لینڈ بورڈ سے د…
U015,1,74503,C,A,پاکستان میں مہنگائی کیوں بڑھ رہی ہے,اسلام ابادمیں مرغی 200 روپے فی کلو تک جاپہنچی,اسلام ابادرمضان المبارک میں ہونےوالی مہنگائی کم ہونے کی بجائے مسلسل بڑھ رہی ہے اوروفاقی دارالحکومت اسلام ابادمیں مرغی کےگوشت کی قیمتیں اسمان سےباتیں کرنےلگی ہیں سبزی اور دال اخر کب تک کھائیں شہری کہتے ہیں مٹن اور بیف پہلے ہی مہنگا تھا رہی سہی کسر مرغی کےگوشت نے نکال دی اسلام ابادمیں زندہ مرغی پورے دوسوروپے فی کلودستیاب ہے مہنگائی کےمارے شہریوں کاکہنا ہے کہ مرغی کی قیمت مسلسل بڑھ رہی ہے ان کی سمجھ سے باہر ہے وہ کریں توکریں کیا مرغی کاگوشت اخراس قدرمہنگا کیوں ہےحکومت کی جانب سے فیڈ اور میڈسن پر ٹ…
U015,3,353,B,A,پاکستان میں مہنگائی کیوں بڑھ رہی ہے,مسلسل ماہ کمی کے بعد جون میں مہنگائی بڑھ کر 86 فیصد ہوگئی,ملک میں جون کے دوران مہنگائی کی شرح بڑھ کر 86 فیصد کی سطح پر پہنچ گئی جو مئی کے دوران تیل کی قیمتوں میں تیزی سے کمی کے باعث 82 فیصد تک کم ہوگئی تھیاس کے علاوہ حکومت سالانہ بنیادوں پر اوسطا مہنگائی کا نظر ثانی شدہ ہدف بھی نہ حاصل کرسکی اور پاکستان میں سال بعد اوسط مہنگائی دو ہندسوں میں ریکارڈ کی گئیپاکستان ادارہ شماریات کی جانب سے جاری رپورٹ کے مطابق مالی سال 202019 میں اوسط مہنگائی 1074 فیصد رہییہ بھی پڑھیں مئی کے مہینے میں مہنگائی کی شرح کم ہو کر 82 فیصد ہوگئیاس سے قبل مالی سال 122011 میں اوسط…
U015,5,38609,B,A,پاکستان میں مہنگائی کیوں بڑھ رہی ہے,ایشیائی ترقیاتی بینک کی پاکستان میں مہنگائی کی شرح میں اضافے کی پیشگوئی,اسلام اباد 92 نیوز ایشیائی ترقیاتی بینک نے پاکستان میں مہنگائی کی شرح میں اضافے کی پیشگوئی کر دی ایشیائی ترقیاتی بینک کے مطابق پاکستان میں مہنگائی کی شرح دس فیصد ہے جو بڑھ سکتی ہے ایشیا میں بھی مہنگائی کی شرح 28 فیصد سے بڑھ کر 31 فیصد ہو جائے گی ایشیائی ترقیاتی بینک کے مطابق رواں مالی سال جی ڈی پی گروتھ 73 فیصد سے کم ہے جو کہ ئندہ مالی سال بڑھ سکتی ہے بھارت کی عمومی گروتھ 2019 میں 65 فیصد اور 2020 میں 72 فیصد رہے گیا علاقے کی عمومی گروتھ 54 فیصد سے کم ہو کر 52 فیصد ہو جائے گی ایشیائی ترقیاتی بی…
U017,1,33132,B,A,پاکستان کی کرکٹ ٹیم عالمی مقابلوں میں بار بار خراب کارکردگی کیوں دکھاتی ہے,انگلینڈ سے شکست نکھیں کھولنے کیلئے کافی ہے,شارجہ قومی ٹیم کے ہیڈ کوچ وقار یونس نے انگلینڈ کے خلاف ٹی ٹوئنٹی سیریز میں قومی ٹیم کی کارکردگی غیرمعیاری اور خراب قرار دیتے ہوئے کہا ہے کہ شکستوں نے نکھیں کھولنے کیلئے کافی ہےانگلینڈ نے ایک روزہ میچوں کی سیریز میں کامیابی کے بعد ٹی ٹوئنٹی سیریز میں عالمی نمبر دو پاکستان کو 30 سے وائٹ واش کر کے سیریز اپنے نام کرنے کے ساتھ ساتھ پاکستان کو عالمی درجہ بندی میں چھٹے نمبرپر دھکیل دیاقومی ٹیم کی کارکردگی پر نالاں وقار یونس نے کہا کہ ورلڈ ٹی ٹوئنٹی سے چار ماہ قبل یہ شکستیں ہماری نکھیں کھولنے کیلئے کاف…
U017,2,81852,C,A,پاکستان کی کرکٹ ٹیم عالمی مقابلوں میں بار بار خراب کارکردگی کیوں دکھاتی ہے,پہلے میں نے خاموش رہنا بہتر سمجھا کیوں کہ ٹیم منتخب کی جاچکی تھی,وزیراعظم عمران خان کے معاون خصوصی برائے سیاسی امور نعیم الحق کے بعد وفاقی وزیر برائے بحری امور علی زیدی اسٹریلیا میں پاکستان کرکٹ ٹیم کی ناقص کارکردگی پر پھٹ پڑےایڈیلیڈ میں ہونے والے دوسرے ٹیسٹ میچ میں بھی پاکستان کو ایک اننگز اور 48 رنز سے شکست کا سامنا کرنا پڑا ہے پہلے ٹیسٹ میں اسٹریلیا نے پاکستان کو ایک اننگز اور رنز سے شکست دی تھیرمیز راجا نے پی سی بی کی مینیجمنٹ پر خوب تنقید کی جب کہ معین خان نے نعیم الحق کی کوچ کی برطرفی کے مطالبے کی حمایت کیسماجی رابطوں کی ویب سائٹ ٹوئٹر پر جاری بیان میں…
U017,4,87842,C,B,پاکستان کی کرکٹ ٹیم عالمی مقابلوں میں بار بار خراب کارکردگی کیوں دکھاتی ہے,بولنگ اچھی پرفارمنس دکھاتی ہے تو پاکستان میچ جیتتا ہے رمیز,رضوان محمود رمیز راجا کہتے ہیں جب بولنگ اچھی پرفارمنس دکھاتی ہے تو پاکستان میچ جیتتا ہے اج کی پرفارمنس کو بار بار دہرانے کی کوشش کرنی چاہیےسکندر بخت کہتے ہیں پاکستان نے بہت زبردست کم بیک کیاٹیم کے لیئے یہ فتح بہت ضروری تھی نئے لڑکوں کے رنز بنانے کی خوشی ہے پاکستان کی انگلینڈ کےخلاف واحد ٹی ٹوینٹی میں کامیابی پرسابق کپتان رمیز راجہ کاکہناتھاکہ انگلینڈ میں انگلینڈ کو اس طرح ہرانا بہت مشکل ہےٹیم کی پرفامرنس دیکھ کر لگتاہے کہ ون ڈے سیریز کی شکست سے بہت کچھ سیکھا رمیز راجہ نےکہاکہ اج پاکستان ٹیم نے …
U018,1,78637,C,A,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai,سیلاب نے پر چینی برمد کی جگہ درمد کرنی پڑ سکتی ہے,اسلام باد حکومت نے چینی کے وافر ذخائر کی وجہ سے پہلے مرحلے میں دو لاکھ ٹن چینی برمد کرنے کا فیصلہ کیا ہے لیکن نیشنل ڈیزاسٹر مینجمنٹ اتھارٹی نے اس سال پھر سیلاب کی پیش گوئی کی ہے ایسے میں اگر گنے کی فصل خراب ہوگئی تو برمد کرنے والے ملک کو چینی درمد کرنے کے ہی لالے نہ پڑ جائیں حکومتی اعداد شمار کے مطابق پاکستان میں اس وقت چینی کے ذخائر 47 لاکھ ٹن کے قریب ہیں اور پاکستان میں ہر مہینے لاکھ ٹن چینی استعمال ہوتی ہے اس طرح ایک سال کی ضرورت کے علاوہ 11 لاکھ ٹن چینی اضافی ہے حکومت کے پاس لاکھ چینی کے ذخ…
U018,2,76744,C,A,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai,پنجاب میں بارشیں اور سیلاب چاول کی 35 فیصد فصل تباہ,لاہورپنجاب میں بارشوں اور سیلاب سے لاکھ ایکڑ پر کاشت کی گئی باسمتی چاول کی 35 فیصد فصل تباہ ہوگئی باسمتی گروئرز ایسو سی ایشن کے مطابق پنجاب میں شدید بارشوں اور دریائے راوی اور چناب میں سیلاب نے چاول کی کاشت والے علاقوں گوجرانوالہ سیالکوٹنارووال اور شیخوپورہ میں باسمتی چاول کی فصل تباہ کردی ہے باسمتی چاول کی مجموعی فصل کا بیشتر ان متاثرہ علاقوں میں کاشت ہوتا ہے جسکے باعث لاکھ ایکڑ پر کاشت کی گئی باسمتی چاول کی 35 فیصد فصل تباہ ہوگئی ہے اس نقصان سے سب سے زیادمتاثرکاشتکار ہوئے ہیں جن کے نقصان کا ا…
U018,3,74465,C,A,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai,سیلاب سے کھڑی فصلوں کو نقصان سبزی پھل کی قیمتوں میں اضافہ,لاہورملک میں سیلابی صورت حال سے ایک تو کھڑی فصلوں کو نقصان پہنچا اوپر سے منافع خور بھی سرگرم ہو گئے مون سون کی بارشوں اور سیلاب متاثرہ علاقوں میں زرعی زمینوں اور باغات کو بےحد نقصان پہنچا دیگر فصلوں کے ساتھ سبزیوں پھلوں کی پیداوار بھی متاثر ہوئیتاہم منافع خوروں نے جیبیں بھرنے کیلیے قیمتوں میں مرضی کے اضافےکر دئیے ایک تو قیمتیں زیادہ اوپر سےناقص معیار شہری پریشاناتوار بازاروں میں ٹما ٹر 60 روپے فی کلو جبکہ پیاز 35 سے 40 روپے کلو کھلم کھلا فروخت کیا جا رہا ہے مگر کوئی روکنےو الا نہیں سماجی حلقوں …
U018,4,24353,D,C,pakistan mein har saal flood ke baad faslon ka nuqsan itna zyada kyun hota hai,ہندوستان سیلاب سے متاثرہ علاقوں کیلئے گوگل ایپلیکیشن,اے ایف پی فائل فوٹولندن گوگل نے ہندوستان کی شمالی ریاست اتراکھنڈ میں سیلاب سے متاثرہ علاقوں میں لاپتہ افراد کے بارے میں معلومات فراہم کرنے کے لیے ایپلیکیشن جاری کردیمیڈیا رپورٹس کے مطابق پرسن فائنڈر یا افراد کی تلاش نامی ایپلیکیشن کی مدد سے جہاں لوگ اپنے دوستوں اور رشتہ داروں کی گمشدگی کی معلومات دے سکتے ہیں وہیں انھیں تلاش بھی کر سکتے ہیںگوگل مصنوعات کے سینئر مینیجر جینت میسور نے بتایا کہ اتراکھنڈ سیلاب سے بری طرح متاثر ہوا ہے اور چونکہ ریاست کے زیادہ ترعلاقوں تک رسائی انتہائی مشکل ہے اس لیے گ…
U019,1,22132,B,A,سوشل میڈیا کے غلط استعمال سے نوجوانوں کی ذہنی صحت پر کیا فرق پڑتا ہے,فیس بک کا ایک اور نقصان سامنے گیا,سماجی رابطے کی ویب سائٹ فیس بک اب لوگوں کے لیے خبروں کے بارے میں جاننے کا ذریعہ بن چکی ہیں خصوصا کسی المناک واقعہ جیسے دہشتگردی یا قدرتی فت وغیرہاگرہ یہ سوشل میڈیا پلیٹ فارم رئیل ٹائم میں کارمد معلومات فراہم کرتا ہے مگر اسے مسلسل استعمال کرنا ذہنی صحت کے لیے تباہ کن ثابت ہوتا ہےیہ دعوی ایک نئی تحقیق میں سامنے یا ہےمزید پڑھیں فیس بک کے دیوانے ہیںامریکا کی کیلیفورنیا یونیورسٹی کی تحقیق میں ثابت ہوا کہ جو لوگ کسی المناک واقعے سے متعلق جاننے کے لیے سوشل میڈیا سائٹس کو بہت زیادہ چیک کرتے ہیں انہیں ن…
U019,4,20599,B,A,سوشل میڈیا کے غلط استعمال سے نوجوانوں کی ذہنی صحت پر کیا فرق پڑتا ہے,سوشل میڈیا نیٹ ورکس کا نیا نقصان سامنے گیا,فیس بک انسٹاگرام یا ٹوئٹر تو لگتا ہے کہ کل ہر ایک ہی استعمال کرتا ہے مگر کیا کو معلوم ہے کہ سوشل میڈیا نیٹ ورکس چند امراض بھی ایک سے دوسرے میں پھیلا سکتے ہیں یہ دعوی سٹریلیا میں ہونے والی ایک طبی تحقیق میں سامنے یافلینڈرز یونیورسٹی کی تحقیق کے مطابق ڈپریشن اور دیگر ذہنی صحت کے مسائل سوشل میڈیا کے ذریعے ایک سے دوسرے بلکہ تیسرے فرد تک بھی پھیل سکتے ہیںتحقیق میں دریافت کیا گیا کہ سوشل میڈیا نیٹ ورکس کی وجہ سے لوگ سماجی سپورٹ سے محروم ہورہے ہیںاس تحقیق کے دوران ڈیڑھ سو افراد کا جائزہ لیا گیا اور دی…
U020,5,39674,D,C,mobile apps phone ki battery kyun jaldi khatam karti hain aur iska hall kya hai,کیو موبائل نے چین سے درامد گھٹیا موبائل پاکستانی صارفین کو تھمادیئے,کراچی92نیوزپاکستان کا شمار دنیا کے ان ممالک میں ہوتا ہے جہاں موبائل فونز کا استعمال سب سے زیادہ ہوتا ہے لیکن کیو موبائل نے پاکستانی صارفین کو چین سے گھٹیا موبائل درامد کرکے تھمادیئے تفصیلات کےمطابق پاکستان سب سے زیادہ موبائل فون استعمال کر نے والے ملکوں میں سے ایک ہے اسی بات کا فائدہ اٹھایا کیو مابائل نے اور چین سےدرمد شدہ گھٹیا کوالٹی کے موبائل عوام کے ہاتھ میں تھما دیئے ہزاروں روپے مالیت کے کیو موبائل میں شناخت کا ئی ایم ای ئی نمبر ہی نہیں جس کی وجہ سے ایک نمبر پر کئی موبائل فنکشنل ہیں جن کے …
U021,1,24276,C,B,پاکستان کی یونیورسٹیوں میں سائنس کی تحقیق دوسرے ممالک سے کیوں پیچھے رہ گئی ہے,وزارت سائنس ٹیکنالوجی جدید ٹیکنالوجیز کے مراکز قائم کرے گی,اسلام اباد وزارت برائے سائنس ٹیکنالوجی ایم او ایس ٹی نے کہا ہے کہ وہ ملک میں علم پر مبنی معیشت اور ترقی کیلئے پاکستان کے بڑے شہروں میں ٹیکنالوجی مراکز قائم کرے گی وزارت برائے سائنس ٹیکنالوجی کے افیشل ذرائع نے خبر رساں ایجنسی اے پی پی کو بتایا کہ منصوبے کے تحت نینو ٹیکنالوجی بایو ٹیکنالوجی اور فیول سیل ٹیکنالوجی کے مراکز قائم کئے جائیں گے جبکہ ان ٹیکنالوجیز کو فروغ دینے کیلئے ایک مرکز وزارت کے دفتر میں قائم کیا جائے گا انہوں نے کہا ہمیں سائنس ٹیکنالوجی کے شعبے میں صلاحیت بڑھانے کیپسٹی بلڈنگ کی ض…
U021,2,24401,C,B,پاکستان کی یونیورسٹیوں میں سائنس کی تحقیق دوسرے ممالک سے کیوں پیچھے رہ گئی ہے,پاکستانی یونیورسٹیوں میں انفارمیشن سینٹر کا قیام,پاسٹک ملک میں سائنس انفارمیشن سینٹر قائم کرے گا فائل تصویراسلام اباد پاکستان سائنس فانڈیشن پی ایس ایف کےذیلی ادارے پاکستان سائنس اینڈ ٹیکنالوجیکل انفارمیشن سینٹر پاسٹک کی جانب سے پاکستان کی 16 جامعات میں انفارمیشن سیل اور مراکز کھولے قائم کئے جائیں گےپاسٹک پاکستان میں سائنس اور ٹیکنالوجی کی معلومات خصوصا اکیڈمک فراہم کرنے والا ایک اہم ادارہ ہے یہ ادارہ مختلف یونیورسٹیوں میں انفارمیشن اسٹال بھی لگاتا رہتا ہے ہم مختلف جامعات میں لائبریری اور انفارمیشن اسٹاف کو اٹومیشن اور دیگر امور کی جدید ترین ت…
