query_id,split,query_type,is_script_aware_miss,query_n_tokens,headline_jaccard,body_jaccard,headline_coverage,body_coverage,content_headline_jaccard,content_body_jaccard,content_headline_coverage,content_body_coverage,content_overlap_headline
QTRN_212,internal_val,urdu,0,14,0.0526,0.0339,0.0714,1.0,0.0,0.0217,0.0,1.0,
QTRN_214,dev,roman_urdu,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_215,dev,urdu,0,12,0.5333,0.0643,0.75,0.8333,0.5,0.0377,0.8,0.8,حکومت فیصد مہنگائی نئی
QTRN_216,internal_val,mixed,1,7,0.3077,0.0189,0.5714,0.5714,0.25,0.0058,1.0,1.0,ایس
QTRN_220,dev,roman_urdu,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_221,internal_val,urdu,0,14,0.0476,0.0805,0.0714,1.0,0.0667,0.0744,0.0909,1.0,بھارت
QTRN_225,dev,mixed,1,7,0.2857,0.0288,0.5714,0.5714,0.4,0.0351,1.0,1.0,ایکشن سائنس فلم فکشن
QTRN_229,dev,roman_urdu,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
QTRN_232,dev,roman_urdu,0,12,0.04,0.0099,0.0833,0.0833,0.0,0.0,0.0,0.0,
QTRN_233,dev,urdu,0,12,0.6154,0.0643,0.6667,0.75,0.7778,0.0614,0.875,0.875,اسرائیلی فلسطینی لہرانے میچ پرچم پولیس کےدوران
QTRN_235,internal_val,urdu,0,8,0.5,0.0571,1.0,1.0,0.4444,0.0345,1.0,1.0,افغانستان تاریخ سٹریلیا ورلڈکپ
QTRN_237,dev,urdu,0,6,0.6667,0.0299,0.6667,0.6667,0.75,0.0294,0.75,0.75,سونالی میری ہیرو
QTRN_239,dev,urdu,0,14,0.1111,0.0783,0.1429,1.0,0.1667,0.0726,0.2222,1.0,ایس گلیکسی
QTRN_244,internal_val,urdu,0,8,0.7273,0.0346,1.0,1.0,0.625,0.0276,1.0,1.0,باوجود پابندیوں چپس کوالکوم ہواوے
QTRN_248,internal_val,urdu,0,14,0.0556,0.1016,0.1429,1.0,0.0833,0.0808,0.2222,1.0,انڈیا
QTRN_253,dev,urdu,0,8,0.6667,0.0315,1.0,1.0,0.5714,0.0193,1.0,1.0,جنسی طور عمری والد
QTRN_255,internal_val,urdu,0,12,0.7143,0.0645,0.8333,0.8333,0.625,0.0427,0.8333,0.8333,بالی بنائی جانے متاثر پاکستان
QTRN_257,internal_val,urdu,0,14,0.1765,0.1918,0.2143,1.0,0.2308,0.1923,0.3,1.0,برے لنڈسے لوہن
QTRN_258,internal_val,urdu,1,12,0.7143,0.1852,0.8333,0.8333,0.7778,0.1944,0.875,0.875,اسٹیشنز این بجے بھر سندھ صبح کھل
QTRN_260,dev,urdu,0,12,0.4444,0.1111,0.6667,0.8333,0.5,0.087,0.8571,0.8571,انگلش ساتھمپٹن لیگ پریمیر چیلسی ہرا
