query_id,split,script,source_doc_id,query_text,query_tokens,n_en_hits,spans,en_titles,ur_titles,expanded_tokens,n_expansion_tokens,bm25_rank,dense_rank,ng3_rank,hybrid_rank,p9_rank,bm25_hit@1,bm25_hit@5,bm25_hit@10,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid_hit@50,p9_hit@1,p9_hit@5,p9_hit@10,p9_hit@50,bm25_rr,p9_rr,quad23,p9_recovered_quad23,room_cat1,focus_check
KN017,train,ROMAN,19341,boom supersonic passenger prototype kab unveil hua,boom supersonic passenger prototype kab unveil hua,0,,,,boom supersonic passenger prototype kab unveil hua,0,,1,5,2,,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0
KN018,train,ROMAN,17943,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai,2,mabni | fable,Mabni | Fable,مابنی | مابني || حکایت | حكایت | حکايت,aladdin kahani kisi haqeeqi shakhs par mabni hai ya sirf fable hai mabni mabn hkait hait hkat,5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1
KN019,train,ROMAN,5092,jlo ne 50 saal ki umar mein fitness kaise maintain ki,jlo ne 50 saal ki umar mein fitness kaise maintain ki,0,,,,jlo ne 50 saal ki umar mein fitness kaise maintain ki,0,,5,,9,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN020,train,ROMAN,60895,cpec joint cooperation committee ka session kis shehar mein chal raha tha,cpec joint cooperation committee ka session kis shehar mein chal raha tha,0,,,,cpec joint cooperation committee ka session kis shehar mein chal raha tha,0,,110,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN021,train,ROMAN,13065,jungle book live action ne india box office par kya record banaya,jungle book live action ne india box office par kya record banaya,1,live action,Live action,لائیو ایکشن,jungle book live action ne india box office par kya record banaya laiio aikshn,2,,167,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN022,train,ROMAN,14664,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,1,shahid,Shahid,شہید (اسلام) | شهيد (اسلام) | شهید (اسلام) | شہيد (اسلام),shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin shhid aslam shd aslam shid aslam shhd aslam,8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN023,train,ROMAN,12128,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,1,aziz mian,Aziz Mian,عزیز میاں | عزيزمياں | عزیزمیاں | عزيز مياں,qawwal aziz mian ki barsi kis tarah yaad ki jati hai aziz mian azzman azizmian azz man,6,3,,3,5,6,0,1,1,1,0,1,1,0,0,1,1,0.333333,0.166667,0,0,0,0
KN024,train,ROMAN,31154,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,0,,,,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,0,,204,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN025,train,ROMAN,60831,adb country director ne pm se mil kar investment ke bare mein kya kaha,adb country director ne pm se mil kar investment ke bare mein kya kaha,0,,,,adb country director ne pm se mil kar investment ke bare mein kya kaha,0,,301,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN026,train,ROMAN,102664,salman ki wrestler film ka pehla poster kis director ki movie ka hai,salman ki wrestler film ka pehla poster kis director ki movie ka hai,0,,,,salman ki wrestler film ka pehla poster kis director ki movie ka hai,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN027,train,ROMAN,59279,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,1,chameleon,Chameleon,گرگٹ,chameleon satellite minutes mein naya mission kyun assume kar sakte hain grgt,1,,196,,,3,0,0,0,0,0,0,0,0,1,1,1,0.0,0.333333,1,1,0,0
KN028,train,ROMAN,76785,state bank ke mutabiq external debt burden mein kitni percent kami hui,state bank ke mutabiq external debt burden mein kitni percent kami hui,1,external debt,External debt,بیرونی قرضہ | بيروني قرضه | بيروني قرضہ | بيروني قرضے,state bank ke mutabiq external debt burden mein kitni percent kami hui bironi qrzh bron qrz bron qrzh bron qrze,8,,523,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN029,train,ROMAN,101347,houston new year show mein kumar sanu kis community event ka hissa bane,houston new year show mein kumar sanu kis community event ka hissa bane,1,kumar sanu,Kumar Sanu,کمار سانو | كمار سانو,houston new year show mein kumar sanu kis community event ka hissa bane kmar sano mar sano,4,,1,,2,4,0,0,0,0,1,0,1,0,1,1,1,0.0,0.25,0,0,0,0
KN030,train,ROMAN,47083,imran tahir odi bowling ranking mein number one kab bane,imran tahir odi bowling ranking mein number one kab bane,1,imran tahir,Imran Tahir,عمران طاہر | عمران طاهر,imran tahir odi bowling ranking mein number one kab bane imran tahr imran tar,4,,24,,47,46,0,0,0,0,1,0,1,0,0,0,1,0.0,0.021739,0,0,0,0
KN031,train,ROMAN,29423,fifa ranking mein germany top par hai to pakistan ka number kya hai,fifa ranking mein germany top par hai to pakistan ka number kya hai,1,fifa,FIFA,فیفا | FIFA | فيفا | فيڈريشن انٹرنيشنل دي فٹ بال ايسوسي ايشن,fifa ranking mein germany top par hai to pakistan ka number kya hai fifa fifa ffa fdrshn antrnshnl d ft bal asos ashn,10,,4,,8,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN032,train,ROMAN,41695,umar akmal par fixing case mein kitne saal ki pabandi lagi,umar akmal par fixing case mein kitne saal ki pabandi lagi,0,,,,umar akmal par fixing case mein kitne saal ki pabandi lagi,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN033,train,ROMAN,81673,shane warne test cap auction se bushfire fund ko kitni raqam mili,shane warne test cap auction se bushfire fund ko kitni raqam mili,1,shane warne,Shane Warne,شین وارن | شين وارن,shane warne test cap auction se bushfire fund ko kitni raqam mili shin oarn shn oarn,4,,3,,6,37,0,0,0,0,1,0,1,0,0,0,1,0.0,0.027027,0,0,0,0
KN034,train,ROMAN,13398,sharmeen obaid oscar short documentary category mein dobara kab jeeti,sharmeen obaid oscar short documentary category mein dobara kab jeeti,1,dobara,Dobara,دوبارہ (فلم),sharmeen obaid oscar short documentary category mein dobara kab jeeti dobarh film,2,,3,,5,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN035,train,ROMAN,10546,zaheer khan ne sagarika se shaadi ka elaan kab kiya,zaheer khan ne sagarika se shaadi ka elaan kab kiya,2,zaheer khan | sagarika,Zaheer Khan | Sagarika,ظہیرخان | ظهيرخان | ظهیرخان | ظہيرخان || ساگاریکا | ساگاريكا | ساگاريکا | ساگاریكا,zaheer khan ne sagarika se shaadi ka elaan kab kiya zhirkhan zrkhan zirkhan zhrkhan sagarika sagara sagarka sagaria,8,,623,5,,,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0
KN036,train,ROMAN,76509,aglay das mahine mein local oil gas output mein kya izafa verqai hai,aglay das mahine mein local oil gas output mein kya izafa verqai hai,0,,,,aglay das mahine mein local oil gas output mein kya izafa verqai hai,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN037,dev,ROMAN,22739,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,1,chehre,Chehre,چہرے | چهرے,nayi photo app chehre tabdeel karne ke ilawa kya karti hai chhre chre,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1
KN038,dev,ROMAN,40057,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,0,,,,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,0,3,,1,6,3,0,1,1,1,0,1,1,0,1,1,1,0.333333,0.333333,0,0,0,0
KN039,dev,ROMAN,23062,nokia android handset china launch par ek minute mein kyun sold out hua,nokia android handset china launch par ek minute mein kyun sold out hua,0,,,,nokia android handset china launch par ek minute mein kyun sold out hua,0,,2,17,15,,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0
KN040,dev,ROMAN,24596,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,0,,,,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,0,,27,,54,,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0
KN041,dev,ROMAN,65903,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,0,,,,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN042,dev,ROMAN,111652,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,current account deficit ki raftaar slow kyun hui sbp ke mutabiq,0,,,,current account deficit ki raftaar slow kyun hui sbp ke mutabiq,0,,469,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
KN043,dev,ROMAN,21399,moto p30 front design kis apple flagship se milta julta hai,moto p30 front design kis apple flagship se milta julta hai,1,flagship,Flagship,فلیگ شپ | فليگ شپ | پرچمي جهاز | پرچمي جہاز,moto p30 front design kis apple flagship se milta julta hai flig shp flg shp prchm jaz prchm jhaz,8,,23,,44,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN044,dev,ROMAN,23544,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,1,facebook,Facebook,فیس بک | فيس بك | فيس بک | فیس بك,twitter ka naya feature facebook snapchat se muqabla kyun karta hai fis bk fs b fs bk fis b,8,,454,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1
KN045,dev,ROMAN,19783,messenger rooms jaisa group video chat facebook ne kab add kiya,messenger rooms jaisa group video chat facebook ne kab add kiya,1,facebook,Facebook,فیس بک | فيس بك | فيس بک | فیس بك,messenger rooms jaisa group video chat facebook ne kab add kiya fis bk fs b fs bk fis b,8,,23,,45,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,1,1
KN046,dev,ROMAN,109714,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,0,,,,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,0,,2,,4,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN047,dev,ROMAN,61862,fbr aur sindh revenue board ne sales tax input par kya deal ki,fbr aur sindh revenue board ne sales tax input par kya deal ki,2,sindh | sales tax,Sindh | Sales tax,سندھ | سندهوديس | سندهوديش | سندهودیس || محصول فروخت,fbr aur sindh revenue board ne sales tax input par kya deal ki sndh sndods sndodsh sndodis mhsol frokht,6,,59,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,1
KN048,dev,ROMAN,20073,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,0,,,,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,0,42,3,31,1,42,0,0,0,1,1,1,1,0,0,0,1,0.02381,0.02381,0,0,0,0
KN049,dev,ROMAN,86593,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,1,lahore,Lahore,لاہور | لهور | لہور | لاهور,lahore psl final ke liye stadium ke gird kitne personnel deploy honge lahore lor lhor laor,4,,1,,2,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN050,dev,ROMAN,34762,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,0,,,,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,0,,,1,,,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,1,0
KN051,dev,ROMAN,21160,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,1,gmail,Gmail,جی میل | جي ميل,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai ji mil j ml,4,,616,,,12,0,0,0,0,0,0,0,0,0,0,1,0.0,0.083333,1,1,1,1
KN052,dev,ROMAN,59426,samsung ne vegas ces par human-like robots kyun dikhaye,samsung ne vegas ces par human like robots kyun dikhaye,0,,,,samsung ne vegas ces par human like robots kyun dikhaye,0,,2,,7,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN053,dev,ROMAN,22115,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,1,huawei,Huawei,ہواوے ٹیکنالوجیز | هواوے | ہواوے | هواوے ٹيكنالوجيز,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya hoaoe tiknalojiz oaoe hoaoe oaoe tnalojz,6,,5,,9,,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0,0,0
KN054,dev,ROMAN,4400,kangana ke bayan par momina iram ne kya jawab diya,kangana ke bayan par momina iram ne kya jawab diya,0,,,,kangana ke bayan par momina iram ne kya jawab diya,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
