query_id,query_text,need_type,length_bin,script,path,category,temporal,r1,r2,r3,r4,r5,success@5,first_AB_rank,n_A,p5_cons,ndcg@5,rr
U029,محمد رضوان,named_entity,short,URDU,urdu_bm25,sports,0,A,A,A,A,A,1,1,5,1.0,1.0,1.0
U030,virat kohli,named_entity,short,ROMAN,roman_bm25_method_D,sports,0,A,A,A,A,A,1,1,5,1.0,1.0,1.0
U031,شاہ رخ خان نئی فلم,named_entity,short,URDU,urdu_bm25,entertainment,0,A,C,C,A,A,1,1,3,0.6,0.9130689212173096,1.0
U032,mahira khan ka naya drama kab aa raha hai,named_entity,medium,ROMAN,roman_bm25_method_D,entertainment,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U033,عمران خان کے تازہ سیاسی بیانات,named_entity,medium,URDU,urdu_bm25,general,0,A,B,D,D,C,1,1,1,0.2,0.9762388637052952,1.0
U034,wasim akram ki commentary kab start hogi,named_entity,medium,ROMAN,roman_bm25_method_D,sports,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
U035,نادیہ خان کے شو میں کون آیا,named_entity,medium,URDU,urdu_bm25,entertainment,0,C,C,C,C,D,0,,0,0.0,1.0,0.0
U036,nasa mars mission kab launch hoga,named_entity,medium,ROMAN,roman_bm25_method_D,science/tech,0,C,B,A,D,A,1,2,2,0.4,0.7784367101695172,0.5
U037,بابر اعظم کی PSL میں کارکردگی کیسی رہی,named_entity,medium,MIXED,urdu_bm25,sports,0,C,C,C,C,C,0,,0,0.0,1.0,0.0
U038,نرگس فخری کی Hollywood فلم کون سی ہے,named_entity,medium,MIXED,urdu_bm25,entertainment,0,C,C,C,C,C,0,,0,0.0,1.0,0.0
U039,حریم شاہ کی YouTube ویڈیو کہاں دیکھی جائے,named_entity,medium,MIXED,urdu_bm25,entertainment,0,C,C,C,C,C,0,,0,0.0,1.0,0.0
U040,قائد اعظم University میں داخلے کب شروع ہیں,named_entity,medium,MIXED,urdu_bm25,science/tech,0,D,D,D,D,D,0,,0,0.0,0.0,0.0
