query_id,split,cohort,current_hit5_dense,current_hit5_hybrid,current_hit5_any_expert,bm25_gold_rank,ng3_gold_rank,dense_gold_rank,hybrid_gold_rank,union_bnd_best_rank,bm25_hit50,ng3_hit50,dense_hit50,hybrid_hit50,complementarity_hit50,complementarity_hit5,primary_failure_category,secondary_mechanism,candidate_generation_status,ranking_status,cg_recoverability_class,notes
KN029,train,original,1,1,1,,,1,2,1,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN030,train,original,0,0,0,,,24,47,24,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=24
KN031,train,original,1,0,1,,,4,8,4,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN032,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN033,train,original,1,0,1,,,3,6,3,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN034,train,original,1,1,1,,,3,5,3,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN035,train,original,0,0,1,,5,623,,5,0,1,0,0,NG3,NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN036,train,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,semantic_paraphrase,absent,n/a,likely_intrinsically_difficult,c2a_label=C;confirmed=FALSE
KN091,train,phase13,0,0,0,,11,187,,11,0,1,0,0,NG3,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=11
KN092,train,phase13,0,0,0,,9,978,,9,0,1,0,0,NG3,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=9
KN093,train,phase13,0,0,0,,,87,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,orthographic_variation,absent,n/a,plausibly_recoverable,c2a_label=D;confirmed=FALSE
KN094,train,phase13,0,0,0,,,19,38,19,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=19
KN095,train,phase13,0,0,0,,,162,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN096,train,phase13,0,0,0,,,7,13,7,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=7
KN097,train,phase13,0,0,0,33,16,281,,16,1,1,0,0,BM25+NG3,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=16
KN098,train,phase13,1,1,1,,,1,2,1,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN099,train,phase13,0,0,1,,4,9,18,4,0,1,1,1,NG3+DENSE,NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN100,train,phase13,0,0,0,,,35,,35,0,0,1,0,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=35
KN101,train,phase13,0,0,0,22,,197,44,22,1,0,0,1,BM25,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=22
KN102,train,phase13,0,0,0,,,135,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN103,train,phase13,0,0,0,,6,12,24,6,0,1,1,1,NG3+DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=6
KN104,train,phase13,1,1,1,2,1,1,1,1,1,1,1,1,BM25+NG3+DENSE,BM25+NG3+DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN105,train,phase13,0,0,0,23,27,144,45,23,1,1,0,1,BM25+NG3,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=23
KN106,train,phase13,1,1,1,,5,1,5,1,0,1,1,1,NG3+DENSE,NG3+DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN107,train,phase13,0,0,0,11,7,101,23,7,1,1,0,1,BM25+NG3,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=7
KN108,train,phase13,0,0,0,,,13,26,13,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=13
KN109,train,phase13,0,0,0,,,465,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,orthographic_variation,absent,n/a,plausibly_recoverable,c2a_label=D;confirmed=FALSE
KN037,dev,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN038,dev,original,0,0,1,3,1,,6,1,1,1,0,1,BM25+NG3,BM25+NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN039,dev,original,1,0,1,,17,2,15,2,0,1,1,1,NG3+DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN040,dev,original,0,0,0,,,27,,27,0,0,1,0,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=27
KN041,dev,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN042,dev,original,0,0,0,,,469,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN043,dev,original,0,0,0,,,23,44,23,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=23
KN044,dev,original,0,0,0,,,454,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN045,dev,original,0,0,0,,,23,45,23,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=23
KN046,dev,original,1,1,1,,,2,4,2,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN047,dev,original,0,0,0,,,59,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,orthographic_variation,absent,n/a,plausibly_recoverable,c2a_label=D;confirmed=FALSE
KN048,dev,original,1,1,1,42,31,3,1,3,1,1,1,1,BM25+NG3+DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN049,dev,original,1,1,1,,,1,2,1,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN050,dev,original,0,0,1,,1,,,1,0,1,0,0,NG3,NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN051,dev,original,0,0,0,,,616,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN052,dev,original,1,0,1,,,2,7,2,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN053,dev,original,1,0,1,,,5,9,5,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN054,dev,original,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN110,dev,phase13,0,0,0,,,18,35,18,0,0,1,1,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=18
KN111,dev,phase13,0,0,0,,,,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN112,dev,phase13,0,1,0,41,,29,2,29,1,0,1,1,BM25+DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=29
KN113,dev,phase13,0,0,0,,,71,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN114,dev,phase13,0,0,1,,5,161,,5,0,1,0,0,NG3,NG3,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN115,dev,phase13,1,1,1,,,3,5,3,0,0,1,1,DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN116,dev,phase13,1,1,1,23,24,1,1,1,1,1,1,1,BM25+NG3+DENSE,DENSE,SUCCESS,,in_pool,already_top5,already_success,any_expert_hit5
KN117,dev,phase13,0,0,0,,,294,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,acronym_institution,absent,n/a,plausibly_recoverable,c2a_label=A;confirmed=TRUE
KN118,dev,phase13,0,0,0,,,75,,,0,0,0,0,none,none,CANDIDATE_GENERATION_FAILURE,entity_name,absent,n/a,uncertain,c2a_label=B;confirmed=FALSE
KN119,dev,phase13,0,0,0,,,46,,46,0,0,1,0,DENSE,none,RANKING_FAILURE,ordering_within_existing_pool,in_pool,below_top5,ranking_headroom,best_bnd_rank=46
