query_id,query,word_count,script,bucket,set_type,rule_type,gold_label,rationale,ambiguous,topic_domain,constructed_date,source_provenance
P3_011,naya phone launch hua,4,roman,2-4w,primary,n/a,SHORT,Single headline fact,False,tech,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_012,team kyun haari,3,roman,2-4w,primary,n/a,LONG,Causal why - same as P3_006,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_013,آج پاکستان کا اسکور کیا ہے,6,urdu,5-6w,primary,clear,SHORT,Direct factual score lookup,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_014,ڈالر کی قیمت کتنی بڑھی,5,urdu,5-6w,primary,clear,SHORT,Single numeric increase figure,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_015,حکومت مہنگائی کیوں کم نہیں کرتی,6,urdu,5-6w,primary,clear,LONG,"Causal policy question, needs reasoning",False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_016,دو ٹیموں کا موازنہ کیسا رہا,6,urdu,5-6w,primary,clear,LONG,Comparative - needs multiple facts,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_017,زلزلے سے کتنا نقصان ہوا,5,urdu,5-6w,primary,clear,LONG,"Damage assessment needs synthesis, not one figure",False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_018,aaj match ka score kya hai,6,roman,5-6w,primary,clear,SHORT,Direct factual score lookup,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_019,dollar rate kitna badh gaya,5,roman,5-6w,primary,clear,SHORT,Single numeric figure,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_020,hukumat mehngai kam kyun nahi karti,6,roman,5-6w,primary,clear,LONG,Causal policy question,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_021,dono teams ka comparison kaisa raha,6,roman,5-6w,primary,clear,LONG,Comparative analysis,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_022,zalzale se kitna nuksan hua,5,roman,5-6w,primary,clear,LONG,Damage synthesis needed,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_023,پاکستان کرکٹ ٹیم نے فائنل میچ کیسے جیتا,8,urdu,7-9w,primary,n/a,LONG,How needs match narrative,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_024,نئے بجٹ میں تعلیم کے لیے کتنی رقم رکھی,9,urdu,7-9w,primary,n/a,SHORT,Single budget figure,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_025,کراچی میں بارش کے بعد ٹریفک کیسا ہے,8,urdu,7-9w,primary,n/a,LONG,Current status across areas,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_026,وزیراعظم کا دورہ چین کن معاملات پر مرکوز رہا,9,urdu,7-9w,primary,n/a,LONG,Multi-topic agenda summary,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_027,نئی موبائل ٹیکنالوجی صارفین کو کیا فائدہ ہوگا,8,urdu,7-9w,primary,n/a,LONG,Explanatory reasoning,False,tech,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_028,ہسپتالوں میں ادویات کی کمی کیوں ہو رہی ہے,9,urdu,7-9w,primary,n/a,LONG,Causal investigation,False,health,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_029,pakistan cricket team ne final match kaise jeeta,8,roman,7-9w,primary,n/a,LONG,Match narrative,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_030,education budget mein kitni raqam rakhi gayi,7,roman,7-9w,primary,n/a,SHORT,Single budget figure,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_031,karachi mein barish ke baad traffic kaisa hai,8,roman,7-9w,primary,n/a,LONG,Current status across areas,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_032,PM ka china visit kin mamlat par focused raha,9,roman,7-9w,primary,n/a,LONG,Multi-topic summary,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_033,nai mobile technology users ko kya faida degi,8,roman,7-9w,primary,n/a,LONG,Explanatory reasoning,False,tech,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_034,hospitals mein dawaiyon ki kami kyun ho rahi hai,9,roman,7-9w,primary,n/a,LONG,Causal investigation,False,health,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_035,پاکستان اور بھارت کے درمیان کرکٹ ورلڈ کپ فائنل میں کیا ہوا تھا اور نتیجہ کیا رہا,17,urdu,10-19w,primary,n/a,LONG,Full match narrative + result,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_036,حکومت کی نئی تعلیمی پالیسی کے تحت طلبہ کو کیا سہولیات ملیں گی,13,urdu,10-19w,primary,n/a,LONG,Multi-part policy detail,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_037,اسٹاک مارکیٹ میں حالیہ اتار چڑھاؤ کی وجوہات کیا ہیں اور سرمایہ کار کیا کریں,15,urdu,10-19w,primary,n/a,LONG,Causal + advice,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_038,پاکستان میں انتخابات کے نتائج پر مختلف سیاسی جماعتوں کا ردعمل کیا رہا,13,urdu,10-19w,primary,n/a,LONG,Multi-party reaction summary,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_039,موسمیاتی تبدیلی پاکستان کی زراعت اور معیشت کو کس طرح متاثر کر رہی ہے,14,urdu,10-19w,primary,n/a,LONG,Broad impact analysis,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_040,نئی سرکاری صحت پالیسی کے تحت غریب مریضوں کو کیا مفت سہولیات دستیاب ہوں گی,15,urdu,10-19w,primary,n/a,LONG,Policy detail breakdown,False,health,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_041,پاکستان سپر لیگ میں اس سیزن کھلاڑیوں کی کارکردگی کیسی رہی اور کون سی ٹیم آگے ہے,17,urdu,10-19w,primary,n/a,LONG,Season-wide summary,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_042,ملک میں بڑھتی ہوئی بے روزگاری کی بنیادی وجوہات کیا ہیں اور حکومت کیا اقدامات کر رہی ہے,18,urdu,10-19w,primary,n/a,LONG,Causal + policy,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_043,pakistan aur india ke darmiyan cricket world cup final mein kya hua tha aur result kya raha,17,roman,10-19w,primary,n/a,LONG,Full match narrative,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_044,hukumat ki nayi taleemi policy ke tehat talaba ko kya suhulat milen gi,13,roman,10-19w,primary,n/a,LONG,Policy detail,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_045,stock market mein haaliya utar chadhao ki wajohat kya hain aur sarmaya kaar kya karen,15,roman,10-19w,primary,n/a,LONG,Causal + advice,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_046,pakistan mein election results par mukhtalif siyasi jamaaton ka radd e amal kya raha,14,roman,10-19w,primary,n/a,LONG,Multi-party reaction,False,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_047,climate change pakistan ki zeraat aur economy ko kis tarah mutasir kar rahi hai,14,roman,10-19w,primary,n/a,LONG,Broad impact,False,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_048,nayi sarkari health policy ke tehat ghareeb mareezon ko kya muft suhulat milen gi,14,roman,10-19w,primary,n/a,LONG,Policy breakdown,False,health,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_049,PSL is season players ki performance kaisi rahi aur kaun si team aage hai,14,roman,10-19w,primary,n/a,LONG,Season summary,False,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_050,mulk mein barhti hui berozgari ki bunyadi wajohat kya hain aur hukumat kya iqdamat kar rahi hai,17,roman,10-19w,primary,n/a,LONG,Causal + policy,False,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_051,زلزلہ شمالی علاقہ جات میں آیا,6,urdu,5-6w,secondary,bare_event,,Bare event,True,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_052,وزیراعظم نے قوم سے خطاب کیا,6,urdu,5-6w,secondary,bare_event,,Bare event,True,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_053,بجٹ آج پارلیمنٹ میں پیش ہوا,6,urdu,5-6w,secondary,bare_event,,Bare event,True,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_054,کراچی میں دھماکہ ہو گیا,5,urdu,5-6w,secondary,bare_event,,Bare event,True,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_055,پاکستان ٹیم میچ ہار گئی,5,urdu,5-6w,secondary,bare_event,,Bare event - same class as Phase 2.5 4,True,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_056,shumali ilaqon mein zalzala aaya,5,roman,5-6w,secondary,bare_event,,Bare event,True,weather,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_057,PM ne qaum se khitab kiya,6,roman,5-6w,secondary,bare_event,,Bare event,True,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_058,budget aaj parliament mein pesh hua,6,roman,5-6w,secondary,bare_event,,Bare event,True,economy,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_059,karachi mein dhamaka ho gaya,5,roman,5-6w,secondary,bare_event,,Bare event,True,politics,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
P3_060,pakistan team match haar gayi,5,roman,5-6w,secondary,bare_event,,Bare event - same class as 4,True,cricket,,"Reconstructed from user-provided authoritative Phase 3B draft (original session not retained by model); 9 rows (P3_001, P3_003, P3_004, P3_008, P3_009, P3_010, P3_025, P3_027, P3_030) revised in current session per approved replacements; leakage-audited against training_409/diagnostic_50/holdout_16/stage_c_85 at repo commit 31b5d0b"
