query_id,split,script,source_doc_id,query_text,bm25_rank,dense_rank,ng3_rank,hybrid2_rank,p8_rank,bm25_hit@5,dense_hit@5,ng3_hit@5,hybrid2_hit@5,p8_hit@5,bm25_hit@50,dense_hit@50,ng3_hit@50,hybrid2_hit@50,p8_hit@50,p8_rr,p8_rrf_score,n_union3,n_triple_overlap,quad23,p8_recovered_quad23,room_cat1,union3_only_phase6
KN021,train,ROMAN,13065,jungle book live action ne india box office par kya record banaya,,167,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN022,train,ROMAN,14664,shahid mira sangeet se pehle shaadi ki tayyariyan kab khatam huin,,4030,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN023,train,ROMAN,12128,qawwal aziz mian ki barsi kis tarah yaad ki jati hai,3,47725,3,5,3,1,0,1,1,1,1,0,1,1,1,0.333333,0.03174603,134,0,0,0,0,0
KN024,train,ROMAN,31154,west indies ke khilaf dubai day night series pakistan ka kaunsa milestone test hai,,204,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN025,train,ROMAN,60831,adb country director ne pm se mil kar investment ke bare mein kya kaha,,301,,,,0,0,0,0,0,0,0,0,0,0,0.0,,147,0,1,0,0,0
KN026,train,ROMAN,102664,salman ki wrestler film ka pehla poster kis director ki movie ka hai,,16757,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN027,train,ROMAN,59279,chameleon satellite minutes mein naya mission kyun assume kar sakte hain,,196,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN028,train,ROMAN,76785,state bank ke mutabiq external debt burden mein kitni percent kami hui,,523,,,,0,0,0,0,0,0,0,0,0,0,0.0,,146,0,1,0,0,0
KN029,train,ROMAN,101347,houston new year show mein kumar sanu kis community event ka hissa bane,,1,,2,3,0,1,0,1,1,0,1,0,1,1,0.333333,0.01639344,150,0,0,0,0,0
KN030,train,ROMAN,47083,imran tahir odi bowling ranking mein number one kab bane,,24,,47,71,0,0,0,0,0,0,1,0,1,0,0.0,0.01190476,150,0,0,0,0,0
KN031,train,ROMAN,29423,fifa ranking mein germany top par hai to pakistan ka number kya hai,,4,,8,35,0,1,0,0,0,0,1,0,1,1,0.028571,0.015625,119,1,0,0,0,0
KN032,train,ROMAN,41695,umar akmal par fixing case mein kitne saal ki pabandi lagi,,6216,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN033,train,ROMAN,81673,shane warne test cap auction se bushfire fund ko kitni raqam mili,,3,,6,9,0,1,0,0,0,0,1,0,1,1,0.111111,0.01587302,150,0,0,0,0,0
KN034,train,ROMAN,13398,sharmeen obaid oscar short documentary category mein dobara kab jeeti,,3,,5,8,0,1,0,1,0,0,1,0,1,1,0.125,0.01587302,150,0,0,0,0,0
KN035,train,ROMAN,10546,zaheer khan ne sagarika se shaadi ka elaan kab kiya,,623,5,,11,0,0,1,0,0,0,0,1,0,1,0.090909,0.01538462,145,0,0,0,0,1
KN036,train,ROMAN,76509,aglay das mahine mein local oil gas output mein kya izafa verqai hai,,1674,,,,0,0,0,0,0,0,0,0,0,0,0.0,,149,0,1,0,0,0
KN037,dev,ROMAN,22739,nayi photo app chehre tabdeel karne ke ilawa kya karti hai,,2537,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,1,0
KN038,dev,ROMAN,40057,peshawar used car mela mein logon ki dilchaspi kis cheez par thi,3,7228,1,6,1,1,0,1,0,1,1,0,1,1,1,1.0,0.03226646,139,0,0,0,0,0
KN039,dev,ROMAN,23062,nokia android handset china launch par ek minute mein kyun sold out hua,,2,17,15,10,0,1,0,0,0,0,1,1,1,1,0.1,0.02911605,105,9,0,0,0,0
KN040,dev,ROMAN,24596,samsung ne galaxy s7 active ko galti se kis app mein leak kiya,,27,,54,81,0,0,0,0,0,0,1,0,0,0,0.0,0.01149425,150,0,0,0,0,1
KN041,dev,ROMAN,65903,caretaker finance minister ne cpec projects mukammal karne ka kya wazheh kiya,,11599,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN042,dev,ROMAN,111652,current account deficit ki raftaar slow kyun hui SBP ke mutabiq,,469,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN043,dev,ROMAN,21399,moto p30 front design kis apple flagship se milta julta hai,,23,,44,66,0,0,0,0,0,0,1,0,1,0,0.0,0.01204819,147,0,0,0,0,0
KN044,dev,ROMAN,23544,twitter ka naya feature facebook snapchat se muqabla kyun karta hai,,454,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,0,0
KN045,dev,ROMAN,19783,messenger rooms jaisa group video chat facebook ne kab add kiya,,23,,45,67,0,0,0,0,0,0,1,0,1,0,0.0,0.01204819,150,0,0,0,1,0
KN046,dev,ROMAN,109714,ml1 railway upgrade ko deadline se pehle track par lanay ki tayyari kya hai,,2,,4,8,0,1,0,1,0,0,1,0,1,1,0.125,0.01612903,148,0,0,0,0,0
KN047,dev,ROMAN,61862,fbr aur sindh revenue board ne sales tax input par kya deal ki,,59,,,,0,0,0,0,0,0,0,0,0,0,0.0,,150,0,1,0,1,0
KN048,dev,ROMAN,20073,samsung s10 lite aur note 10 lite 2020 lineup kab launch honay walay thay,42,3,31,1,1,0,1,0,1,1,1,1,1,1,1,1.0,0.03666595,136,1,0,0,0,0
KN049,dev,ROMAN,86593,lahore psl final ke liye stadium ke gird kitne personnel deploy honge,,1,,2,7,0,1,0,1,0,0,1,0,1,1,0.142857,0.01639344,145,0,0,0,0,0
KN050,dev,ROMAN,34762,afghanistan world cup jeetne ki peshgoi kis foundation par ki gai,,3531,1,,9,0,0,1,0,0,0,0,1,0,1,0.111111,0.01639344,144,0,0,0,1,1
KN051,dev,ROMAN,21160,gmail ke naye interface ko purane layout jaisa kaise banaya ja sakta hai,,616,,,,0,0,0,0,0,0,0,0,0,0,0.0,,149,0,1,0,1,0
KN052,dev,ROMAN,59426,samsung ne vegas ces par human-like robots kyun dikhaye,,2,,7,35,0,1,0,0,0,0,1,0,1,1,0.028571,0.01612903,114,4,0,0,0,0
KN053,dev,ROMAN,22115,huawei mate 10 lite pakistan mein pehli baar kitne cameras ke sath aaya,,5,,9,15,0,1,0,0,0,0,1,0,1,1,0.066667,0.01538462,147,0,0,0,0,0
KN054,dev,ROMAN,4400,kangana ke bayan par momina iram ne kya jawab diya,,2978,,,,0,0,0,0,0,0,0,0,0,0,0.0,,145,0,1,0,0,0
