query_id,query,script,word_count,trap_type,retrieval_mode,rank,doc_id,doc_headline,doc_category,score,relevance
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,24555,سیلاب کی پیشگوئی نظام میں خامیاں,Science & Technology,0.794668,Partially relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,75478,سیلابی صورتحال پی ٹی سی ایل سروسز بھی معطلی کا شکار,Business & Economics,0.641529,Relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,49454,گلگت شدید سردی سے خلتی جھیل کا پانی جما تو سیاحوں کا رش لگ گیا,Entertainment,0.628484,Not relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,76741,پنجاب میں سیلابسبزیوں کی قیمتیں سمان پر پہنچ گئیں,Business & Economics,0.610121,Relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,19099,موسم کی تباہ کاریاں,Entertainment,0.609260,Partially relevant
H004,سیلاب کا نقصان,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,103884,دریائے سندھ میں تونسہ کے مقام پر اونچے درجے کا سیلاب,Entertainment,0.603515,Partially relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,1,55351,مشکلات میں گھری قومی ٹیم کی پریکٹس کا دوبارہ غاز,Sports,0.879363,Partially relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,2,56152,قومی ٹیم چیمپئنز ٹرافی جیتنے کی صلاحیت رکھتی ہے انضمام الحق,Sports,0.877724,Not relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,3,58298,قومی ٹیم کی ناقص پرفارمنس پر کوچ وقار یونس برہم,Sports,0.877329,Relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,4,55395,ویسٹ انڈیز سے میچ کے لیے قومی ٹیم کی حکمت عملی کی تشکیل,Sports,0.870850,Partially relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,5,55993,چیمپئنز ٹرافی کی تاریخ میں قومی ٹیم کی کارکردگی,Sports,0.864107,Partially relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,28794,پاکستان سپر لیگ سیزن تھری میں کونسی ٹیم کمزور اور کونسی مضبوط,Sports,0.769460,Not relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,44727,ورلڈ الیون کیخلاف دلچسپ سیریز کے لیے قومی ٹیم کا اعلان کر دیا گیا,Sports,0.763434,Not relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,34415,قومی ٹیم کو متحد کرنا پہلا مقصد,Sports,0.750856,Partially relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,41841,پی ایس ایل فائیوکراچی کنگز کا ٹاس جیت کر کوئٹہ گلیڈی ایٹرز کیخلاف پہلے بیٹنگ کا فیصلہ,Sports,0.745150,Not relevant
H005,ٹیم ہار کا تجزیہ,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,95989,کامیابی سے ٹیم کامورال بلند ہوا ہے محمدحفیظ,Sports,0.744438,Not relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,78948,مہنگائی سے عوام پریشان سرکاری اعداد شمار کے مطابق قیمتیں کم ہوئیں,Business & Economics,0.795738,Relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,39099,ڈالر کی قیمت بڑھنے کے اثرات عام ادمی پر بھی مرتب ہوتے ہیں,Business & Economics,0.776514,Relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,64782,ڈالر مزید مہنگا ہونے کے باعث اسٹاک مارکیٹ میں مندی,Business & Economics,0.762854,Relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,63969,ملک بھر میں مہنگائی کی لہر برقرار,Business & Economics,0.745279,Partially relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,771,جب سب کچھ ٹھیک ہے پھر یہ مہنگائی کیوں ہے,Business & Economics,0.728315,Partially relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,72755,اوپن مارکیٹ میں ڈالر مزید مہنگا ہوگیا,Business & Economics,0.702064,Partially relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,71615,اوپن مارکیٹ میں ڈالر ریال پانڈ اور اماراتی درہم مہنگا ہوگیا,Business & Economics,0.698738,Partially relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,39291,انٹربینک مارکیٹ میں امریکی ڈالر 71پیسے مہنگا,Business & Economics,0.692425,Partially relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,62178,کراچی چناماشاورمسور کی دال کی قیمتوں میں ہوشربا اضافہ,Business & Economics,0.689348,Relevant
H006,مہنگائی کے اثرات,urdu,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,64790,ڈالر کی قیمت بڑھتے ہی مہنگائی بھی سمان کو چھونے لگی,Business & Economics,0.687823,Relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,1,11855,حریم فاروق کی نئی مزاحیہ فلم پرچی,Entertainment,0.900821,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,2,99580,کھیل کھیل میں فلم,Entertainment,0.897493,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,3,14600,فلم ریویو جراسک ورلڈ,Entertainment,0.895553,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,4,39553,ملک اسرار اعوان ملتان چیمبر اف کامرس کے صدر منتخب,Business & Economics,0.895137,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,5,14924,رابرٹ ڈی نیرو تاریخ کا عظیم ترین اداکار,Entertainment,0.889926,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,18627,ڈیڑھ عشقیہ کا ٹریلر جاری,Entertainment,0.699965,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,10672,بادشاہو کے ہوشیار رہنا کی دھوم,Entertainment,0.637842,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,100587,برصغیر کے کامیڈی لیجنڈ رنگیلا کی 12 ویں اج منائی جائیگی,Entertainment,0.631400,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,98973,عاطف اسلم کی واز میں چلتے چلتے کے ریمیک پر لتا منگیشکر ناراض,Entertainment,0.629373,Not relevant
H007,فلم فیل کی کہانی,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,48038,گلوکار عاطف اسلم نے دل نشیں اواز میں اذان دے کر سننے والوں کے دل موہ لیے,Entertainment,0.629148,Not relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,1,38763,روپے کی تنزلی اور ڈالر کی ترقی کا سفر جاری,Business & Economics,0.809527,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,2,2758,روپے کی قدر میں کمی سے کیا فائدہ اور نقصان ہوتا ہے,Business & Economics,0.800171,Relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,3,71033,روپے کی بے قدری انٹربینک میں ڈالر 164 روپے سے تجاوز کرگیا,Business & Economics,0.795651,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,4,75791,روپیہ مستحکم ہونے سے درمدی دالوں کی قیمتوں میں کمی,Business & Economics,0.794336,Not relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,HEADLINE,5,111187,انٹربینک مارکیٹ میں ڈالر مہنگا قیمت خرید 13878 روپے ہو گئی,Business & Economics,0.790696,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,38718,انٹر بینک میں ڈالر ایک سو چھپن روپے پچاس پیسے کا ہو گیا,Business & Economics,0.775725,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,65341,ڈالرتاریخ کی بلند ترین سطح کو چھو کر 138 روپے 50 پیسے پر گیا,Business & Economics,0.770509,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,72724,ڈالر مہنگاہوکر 107 روپے پر پہنچ گیا,Business & Economics,0.768623,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,78590,انٹر بینک میں ڈالر 94روپے کی بلند ترین سطح پر پہنچ گیا,Business & Economics,0.766661,Partially relevant
H008,روپے گراوٹ کے نتائج,urdu,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,64591,انٹر بینک میں ڈالر کی قیمت میں گراوٹ کا سلسلہ جاری,Business & Economics,0.764793,Not relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,63521,اسلام باد میں بھی پیٹرول نایاب ہوگیا,Business & Economics,0.833975,Partially relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,74406,اج سے پیٹرول اورڈیزل 3روپےفی لیٹرسستا ہوگیا,Business & Economics,0.819669,Not relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,78838,تاپی گیس منصوبہقیمتفیس کا معاملہ طے ہوگیاوزیرپٹرولیم,Business & Economics,0.777438,Not relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,74127,پٹرول کی قیمت برقرار رہے گی اسحاق ڈار,Business & Economics,0.776447,Partially relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,16,پیٹرول کی قیمت برقرار ڈیزل روپے فی لیٹر مہنگا,Business & Economics,0.769288,Partially relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,75032,کراچی میں پٹرول کی طلب رسد کی صورتحال معمول پر ارہی ہے,Business & Economics,0.690269,Not relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,70510,حکومت کا پیٹرول کی درمدات پر عائد پابندی ہٹانے کا فیصلہ,Business & Economics,0.688480,Not relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,61122,کراچی میں پیٹرول 100 روپے فی لیٹر فروخت ہونے لگا,Business & Economics,0.674569,Partially relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,60810,حکومت نے نئے سال کی خوشیوں سے پہلے عوام پر پیٹرول بم گرا دیا,Business & Economics,0.669536,Partially relevant
H009,petrol kyun mehnga,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,63496,کراچی سمیت ملک بھر میں پیٹرول اور ڈیزل کی قلت کا اٹھواں روز,Business & Economics,0.658336,Partially relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,35833,شکست کے ذمہ دار بالرز,Sports,0.864145,Relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,31335,مرے حیران کن شکست کے ساتھ یو ایس اوپن سے باہر,Sports,0.836477,Partially relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,35018,ایک اور شکست,Sports,0.819798,Partially relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,38319,جیتی بازی ہار گئے,Sports,0.811750,Partially relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,36001,ناکامیاں اور امید,Sports,0.797345,Partially relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,41892,پریمیئر لیگ فٹبال ٹوٹنہم اور ارسنل نے اپنے اپنے میچز جیت لئے,Sports,0.712339,Not relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,55388,ٹاس جیتنے کے علاوہ پورا دن خراب رہا مصباح الحق,Sports,0.698696,Relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,26307,بڑے مقابلے سے پہلے بڑی شکست ذمہ دار کون,Sports,0.687018,Relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,90990,اسٹریلیا کیخلاف جیت کیلئے میدان میں اتریں گےوہاب ریاض,Sports,0.682286,Not relevant
H010,shikast ki waja,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,94634,ایشین اسنوکر چمپئن شپ میں پاکستانی کیوسٹ کا سفر ختم,Sports,0.666241,Partially relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,99571,ریویو فلم پری,Entertainment,0.880354,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,14600,فلم ریویو جراسک ورلڈ,Entertainment,0.867094,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,19145,کرینہ کپورکی ہیروئن,Entertainment,0.858940,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,11855,حریم فاروق کی نئی مزاحیہ فلم پرچی,Entertainment,0.858327,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,29080,ویل ڈن پی سی بی ویل ڈن نجم سیٹھی,Sports,0.852209,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,107649,فلم کائی پوچے کانیا گانا میٹھی بولیاں ریلیز کر دیا گیا,Entertainment,0.672443,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,68513,باہو بالی ٹو کے ہیرو پرابھاس کا مومی مجسمہ مادام تسا میوزیم میں سجے گا,Entertainment,0.657066,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,101917,فلم باربار دیکھوکا نیا ڈائیلاگ پرومو جاری,Entertainment,0.655925,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,50552,نامور شاعر اور ادیب احمد ندیم قاسمی کو اپنے مداحوں سے بچھڑے 10برس ہوگئے,Entertainment,0.655025,Not relevant
H011,film kaise doobi,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,10885,رشک قمر کے بعد بادشاہوکا پیا مورے گانا ریلیز,Entertainment,0.654904,Not relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,10960,بھارتی ریاست اسام میں سیلابپریانکا چوپڑا پرالزام,Entertainment,0.863240,Partially relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,18791,سیلاب طوفانی بارشیں,Entertainment,0.808728,Partially relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,59899,دریائی نظام میں الودگی اور سیلاب سے خبردار کرنے والا الہ,Science & Technology,0.807890,Partially relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,4,9378,سنجے کی سوانح حیات میں سونم کا اہم کردار,Entertainment,0.788808,Not relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,5,24555,سیلاب کی پیشگوئی نظام میں خامیاں,Science & Technology,0.787298,Partially relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,49454,گلگت شدید سردی سے خلتی جھیل کا پانی جما تو سیاحوں کا رش لگ گیا,Entertainment,0.645177,Not relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,75478,سیلابی صورتحال پی ٹی سی ایل سروسز بھی معطلی کا شکار,Business & Economics,0.625489,Relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,19099,موسم کی تباہ کاریاں,Entertainment,0.620922,Partially relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,76741,پنجاب میں سیلابسبزیوں کی قیمتیں سمان پر پہنچ گئیں,Business & Economics,0.612125,Relevant
H012,flood ka nuksan,roman,3,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,86673,کراچی کنگز نے اسلام اباد یونائیٹڈ کو اٹھ رنز سے ہرادیا,Sports,0.610752,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,HEADLINE,1,42291,ٹیم تگڑی ہے کم بیک کریگی محمد رضوان,Sports,0.854076,Partially relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,HEADLINE,2,87234,ٹیم کو جب تک ضرورت ہے کھیلوں گا مصباح الحق,Sports,0.829233,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,HEADLINE,3,84720,اپنی پرفارمنس اور فٹنس سے قومی ٹیم جگہ بناں گا محمد عرفان,Sports,0.819792,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,HEADLINE,4,56131,چیمپئنز ٹرافی عمر اکمل کی جگہ حارث سہیل قومی ٹیم میں شامل,Sports,0.819507,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,HEADLINE,5,26726,پی ایس ایل میں ٹیموں کی موجودہ پوزیشن,Sports,0.817429,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,1,89007,قومی ہاکی ٹیم وطن واپس پہنچ گئی ایئر پورٹ پر شاندار استقبال,Sports,0.750349,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,2,34415,قومی ٹیم کو متحد کرنا پہلا مقصد,Sports,0.749873,Partially relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,3,26217,ورلڈکپ ویسٹ انڈیز کلاس بھارت 125رنز سے کامیاب,Sports,0.745891,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,4,86851,پاکستان بلائنڈکرکٹ ٹیم بھارت روانہ,Sports,0.745358,Not relevant
H013,team haar ka tajzia,roman,4,SHORT_WORDS_LONG_NEED,FULL_CONTENT,5,44727,ورلڈ الیون کیخلاف دلچسپ سیریز کے لیے قومی ٹیم کا اعلان کر دیا گیا,Sports,0.739742,Not relevant
H014,mehngai ke asar,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,1,63969,ملک بھر میں مہنگائی کی لہر برقرار,Business & Economics,0.795018,Partially relevant
H014,mehngai ke asar,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,2,111843,ڈالر کی نرالی قلابازیاں,Business & Economics,0.768227,Partially relevant
H014,mehngai ke asar,roman,3,SHORT_WORDS_LONG_NEED,HEADLINE,3,64916,ملک بھر میں مہنگائی کا جن بے قابو,Business & Economics,0.764036,Partially relevant
