query_id,split,query_text,language_type,query_category,source,creation_method,source_doc_id,article_category,word_count,char_len,protocol_label,protocol_route,wordcount_route,headline_p5,headline_ndcg5,headline_hit5,headline_rank,full_p5,full_ndcg5,full_hit5,full_rank,oracle_route,oracle_margin,oracle_primary_metric
QTRN_024,dev,میرے کردار اور ساکھ پر سوالات اٹھانا حد سے باہر کیسے ہوا,urdu,contextual,corpus_derived,how,6732,Entertainment,12,56,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_025,train,chiirmin pi si bi ne qzafi astidim ke nie anklozhr ka afttah,roman_urdu,short,corpus_derived,title_roman,56531,Sports,12,60,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_026,internal_val,حقیقت سے قریب تر تھری ڈی چہروں کی کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,79325,Science & Technology,12,50,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_027,train,فارمولا ون چیمپئن پر Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,18815,Entertainment,7,41,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_028,internal_val,جے 20 اسٹیلتھ لڑاکا طیارہ پریشنل کردیا گیا,urdu,short,corpus_derived,title_short,21852,Science & Technology,8,42,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_029,train,lahore mein rozh miozk fistiol ka ghaz,roman_urdu,short,corpus_derived,title_roman,69251,Entertainment,7,38,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_030,train,بجلی 85پیسے فی یونٹ مہنگی کرنے کا اعلان کیوں ہوا,urdu,contextual,corpus_derived,why,17538,Entertainment,10,48,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.3869,1,5,HEADLINE,0.6131,ndcg@5_known_item
QTRN_031,internal_val,pakistan orld asnokr chimpin shp ke fainl mein phnch gaya,roman_urdu,short,corpus_derived,title_roman,93764,Sports,10,57,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_032,train,بولی وڈ اداکار ارجن کپور نے اپنی 33ویں سالگرہ 26 جون کو منائی جس,urdu,detailed,corpus_derived,lead,8840,Entertainment,14,64,LONG,FULL,FULL,0.0,0.0,0,999,0.2,1.0,1,1,FULL,1.0,ndcg@5_known_item
QTRN_033,dev,کوپا امریکہ فٹ بال ٹورنامنٹ چلی نے بولیویا کو05 سے کیسے ہوا,urdu,contextual,corpus_derived,how,47463,Sports,12,59,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_034,dev,rthr ko osim aur miandad se astfadh krne ka mshorh,roman_urdu,short,corpus_derived,title_roman,31976,Sports,10,50,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_035,train,ہالی وڈ کی نئی سنسنی خیز فلم جنکا کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,105922,Entertainment,12,50,LONG,FULL,FULL,0.0,0.0,0,9,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_036,train,عامر خان کا نیا Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,11789,Entertainment,7,36,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_037,internal_val,میلبورن پہلے ٹی ٹوئنٹی میں سری لنکا نے,urdu,short,corpus_derived,title_short,56572,Sports,8,38,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,20,HEADLINE,1.0,ndcg@5_known_item
QTRN_038,dev,astrilin aopn aasam aur rajrz dosre mrhle mein,roman_urdu,short,corpus_derived,title_roman,37088,Sports,8,46,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_039,dev,کاجول کیلئے رنبیر نمبر ون ہیرو کیوں ہوا,urdu,contextual,corpus_derived,why,16464,Entertainment,8,39,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_040,train,mkh mkrmh mein aslami binkari aur economy par aalmi kanfrns,roman_urdu,short,corpus_derived,title_roman,73647,Business & Economics,10,59,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_041,train,نئی دہلی21 مئی 2018 بالی ووڈ کی نامور اداکارہ سشمیتا سین نے انکشاف کیا,urdu,detailed,corpus_derived,lead,67662,Entertainment,14,70,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_042,train,شعیب اختر نے ایف ئی اے کی طلبی کے نوٹس کیسے ہوا,urdu,contextual,corpus_derived,how,52110,Sports,12,47,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_043,train,aidilid tist diod oarnr aur lboshan ki snchriz 294 rnz ki shrakt,roman_urdu,short,corpus_derived,title_roman,52633,Sports,12,64,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_044,dev,ایکس سی ایم جی گروپ کا پاکستانی ہاسنگ کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,38843,Business & Economics,12,54,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_045,train,کورونا وائرس امریکا میں Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,496,Business & Economics,7,44,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_046,internal_val,وزارت خزانہ کی پاکستان میں غیر ملکی بینکوں,urdu,short,corpus_derived,title_short,76791,Business & Economics,8,42,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.2,0.6309,1,2,HEADLINE,0.3691,ndcg@5_known_item
QTRN_047,train,shah rkh ab ktrinh kif ke sath romans krte nzr iin ge,roman_urdu,short,corpus_derived,title_roman,108716,Entertainment,12,53,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_048,train,سعودی عرب انٹرنیٹ رفتار میں دسویں اور جی رفتار میں کیوں ہوا,urdu,contextual,corpus_derived,why,19751,Science & Technology,12,59,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_049,train,shaib akhtr ki sltan ko rawalpindi aikspris bnane ki khoahsh,roman_urdu,short,corpus_derived,title_roman,102108,Entertainment,10,60,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_050,train,یہ بھی پڑھیں ارج فاطمہ کی طلاق سے لوگ حیرانمزید پڑھیں خوبرو اداکارہ کی,urdu,detailed,corpus_derived,lead,10897,Entertainment,14,70,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_051,internal_val,ہمایوں سعید ٹریفک حادثے میں زخمی کیسے ہوا,urdu,contextual,corpus_derived,how,15797,Entertainment,8,41,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.6309,1,2,HEADLINE,0.3691,ndcg@5_known_item
QTRN_052,train,cricket orld kp aajaz ahmd ko mhmd aamr ke hoale se khdshat,roman_urdu,short,corpus_derived,title_roman,82805,Sports,12,59,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_053,train,جاپانی کمپنی کا پرواز کرنے والی کار کے کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,19473,Science & Technology,12,55,LONG,FULL,FULL,0.2,0.6309,1,2,0.2,1.0,1,1,FULL,0.3691,ndcg@5_known_item
QTRN_054,dev,سندھ کے بجٹ کیلئےتجاویز Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,73502,Business & Economics,7,44,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_055,train,نیمار کا شکار کیا گیا برازیلی کوچ,urdu,short,corpus_derived,title_short,35538,Sports,7,33,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_056,dev,askaip ka prane fonz par sport khtm krne ka aalan,roman_urdu,short,corpus_derived,title_roman,23505,Science & Technology,10,49,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_057,train,ووٹ دیں سست نہ بنیں گلوکار بلال خان کیوں ہوا,urdu,contextual,corpus_derived,why,8677,Entertainment,10,44,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.5,1,3,HEADLINE,0.5,ndcg@5_known_item
QTRN_058,train,shiami ke sste fonz pish,roman_urdu,short,corpus_derived,title_roman,21999,Science & Technology,5,24,SHORT,HEADLINE,HEADLINE,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_059,internal_val,نیو یارک 92 نیوز امریکہ سے تعلق رکھنے والی خاتون ایتھلیٹ دنیا کی معمر,urdu,detailed,corpus_derived,lead,49045,Entertainment,14,69,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_060,train,پی سی بی دورہ انگلینڈ کیلئے اصولی طور پر تیار کیسے ہوا,urdu,contextual,corpus_derived,how,81091,Sports,12,54,LONG,FULL,FULL,0.0,0.0,0,18,0.0,0.0,0,10,MIXED,0.0,ndcg@5_known_item
QTRN_061,train,fridi ne aik match ki karkrdgi par nojoan khlarion ko moqa dine,roman_urdu,short,corpus_derived,title_roman,83029,Sports,12,63,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_062,train,وادی نیلم کے مقامیوں کی امدن میں اضافے کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,1556,Business & Economics,12,55,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,16,HEADLINE,1.0,ndcg@5_known_item
QTRN_063,train,اداکارہ سونالی باندرے کینسر Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,67002,Entertainment,7,48,SHORT,HEADLINE,FULL,0.2,0.4307,1,4,0.0,0.0,0,999,HEADLINE,0.4307,ndcg@5_known_item
QTRN_064,train,سوچی ونٹراولمپکس ایکشن سے بھرپورمقابلے میڈلز ٹیبل پر,urdu,short,corpus_derived,title_short,93006,Sports,8,52,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_065,train,qomi slamti ka mlki economy se ghra talq hai rmi chif ki,roman_urdu,short,corpus_derived,title_roman,1106,Business & Economics,12,56,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_066,train,ائی سی سی پاکستان کرکٹ کو تباہ کرنا چاہتا ہے کیوں ہوا,urdu,contextual,corpus_derived,why,34220,Sports,12,53,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,20,HEADLINE,1.0,ndcg@5_known_item
QTRN_067,internal_val,hfiz strilia ke khlaf aik rozh team mein shaml,roman_urdu,short,corpus_derived,title_roman,30586,Sports,9,46,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_068,train,لاہورقومی ٹی20کرکٹ ٹیم کے کپتان شاہد افریدی نے کہا ہے کہ وہ کپتان بنانے,urdu,detailed,corpus_derived,lead,92014,Sports,14,71,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_069,train,پٹرول کی اصل قیمت 40روپے 1پیسہ ڈیزل کی 39روپے ہےخورشید کیسے ہوا,urdu,contextual,corpus_derived,how,74398,Business & Economics,12,63,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_070,internal_val,snje dt film ki shotng ke doran zkhmi,roman_urdu,short,corpus_derived,title_roman,11616,Entertainment,8,37,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_071,train,ایشیائی ترقیاتی بینک کا کراچی بس ریپڈ ٹرانزیٹ کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,71017,Business & Economics,12,62,LONG,FULL,FULL,0.0,0.0,0,999,0.2,0.5,1,3,FULL,0.5,ndcg@5_known_item
QTRN_072,train,یونس خان کی سالگرہ Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,51786,Sports,7,39,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_073,train,وہاب ریاض نے نیوزی لینڈ کی ٹیم کو,urdu,short,corpus_derived,title_short,46629,Sports,8,33,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_074,train,aalmi market mein atarchrhao pakstani economy ko dhchke lg skte hain,roman_urdu,short,corpus_derived,title_roman,76562,Business & Economics,11,68,SHORT,HEADLINE,FULL,0.2,0.5,1,3,0.0,0.0,0,999,HEADLINE,0.5,ndcg@5_known_item
QTRN_075,train,میرپور ٹیسٹ پاکستان نے بنگلا دیش کو جیت کیلئے550رنز کا کیوں ہوا,urdu,contextual,corpus_derived,why,90761,Sports,12,63,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_076,train,sjad ali ne mnaia salgrh ka laiio jshn,roman_urdu,short,corpus_derived,title_roman,10666,Entertainment,8,38,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_077,train,اسلام اباد ملک میں کاروباری مسابقت کے عمل کے نگران ادارے مسابقتی کمیشن پاکستان,urdu,detailed,corpus_derived,lead,2675,Business & Economics,14,78,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_078,train,بیجنگ حکومت کا پاکستان کو دو ارب ڈالر قرض دینے کیسے ہوا,urdu,contextual,corpus_derived,how,38942,Business & Economics,12,55,LONG,FULL,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_079,train,triqon se asmart fonz bitri ki zindagi brhaiin,roman_urdu,short,corpus_derived,title_roman,23860,Science & Technology,8,46,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_080,train,دنیا کی کم عمر ترین ارب پتی لڑکی کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,8745,Entertainment,12,49,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.6309,1,2,HEADLINE,0.3691,ndcg@5_known_item
QTRN_081,train,دنیابھر میں بلیوں کاعالمی Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,51359,Entertainment,7,46,SHORT,HEADLINE,FULL,0.0,0.0,0,8,0.2,0.5,1,3,FULL,0.5,ndcg@5_known_item
QTRN_082,train,سری لنکا کا پاکستان کو 189رنز کا ہدف,urdu,short,corpus_derived,title_short,97048,Sports,8,36,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.0,0.0,0,12,HEADLINE,1.0,ndcg@5_known_item
QTRN_083,train,aslam abad ionaiitd se oabsth jnobi afriqa ke pisr dil astin pakistan,roman_urdu,short,corpus_derived,title_roman,81435,Sports,12,69,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_084,train,اسکاٹ لینڈ کے خلاف سیریز کیلئے پاکستان ٹیم کا اعلان کیوں ہوا,urdu,contextual,corpus_derived,why,84150,Sports,12,60,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_085,train,film kal bl ke sit prhadsh zindagi ka afsosnak trin oaqah hai,roman_urdu,short,corpus_derived,title_roman,67956,Entertainment,12,61,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_086,internal_val,نئی دہلی 18جنوری2018بھارتی سپریم کورٹ نےسنجے لیلا بھنسالی کی فلم پدماوت پر 4ریاستوں میں,urdu,detailed,corpus_derived,lead,67997,Entertainment,14,87,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,12,MIXED,0.0,ndcg@5_known_item
QTRN_087,train,شہریار صاحب جواب چاہیے کیسے ہوا,urdu,contextual,corpus_derived,how,34689,Sports,6,31,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_088,internal_val,mobi lnk ne flig shp karporit rspansbiliti ke tor par mik ior,roman_urdu,short,corpus_derived,title_roman,41124,Business & Economics,12,61,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_089,internal_val,مورٹل کومبیٹ ایکس ویڈیو گیم کا نیا ٹریلر کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,105342,Entertainment,12,57,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.4307,1,4,HEADLINE,0.5693,ndcg@5_known_item
QTRN_090,train,برطانوی پانڈ کی قدر Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,61984,Business & Economics,7,40,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_091,internal_val,ورلڈ کپ عماد نے بازی پلٹ دی افغانستان,urdu,short,corpus_derived,title_short,26205,Sports,8,37,SHORT,HEADLINE,FULL,0.2,1.0,1,1,0.2,1.0,1,1,MIXED,0.0,ndcg@5_known_item
QTRN_092,train,khlarion ki karkrdgi ko sraha nahi jata hsin shah,roman_urdu,short,corpus_derived,title_roman,87636,Sports,9,49,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_093,train,مدار میں بھیجی گئی کار اب کہاں ہے کیوں ہوا,urdu,contextual,corpus_derived,why,21821,Science & Technology,10,42,LONG,FULL,FULL,0.2,1.0,1,1,0.0,0.0,0,999,HEADLINE,1.0,ndcg@5_known_item
QTRN_094,internal_val,shbr zidi aazazi chiirmin aif bi tainat noti fkishn jari,roman_urdu,short,corpus_derived,title_roman,1547,Business & Economics,10,56,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_095,train,بڑی اسکرین سے طویل عرصے سے غائب رہنے والی پاکستانی معروف اداکار بابر علی,urdu,detailed,corpus_derived,lead,12010,Entertainment,14,72,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_096,train,ائی فون پر انٹرنیٹ رفتار بڑھانے والے برازر کیسے ہوا,urdu,contextual,corpus_derived,how,22754,Science & Technology,10,51,LONG,FULL,FULL,0.2,1.0,1,1,0.2,0.6309,1,2,HEADLINE,0.3691,ndcg@5_known_item
QTRN_097,train,orldkp 2015 niozi lind ka sri lnka ko jeet ke lie 332,roman_urdu,short,corpus_derived,title_roman,55454,Sports,12,53,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_098,train,پاکستان کی تاریخ کے سب سے بڑے مال کے اثرات کیا ہیں,urdu,contextual,corpus_derived,effects,109359,Business & Economics,12,50,LONG,FULL,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_099,internal_val,ویمن کرکٹ میچ پاکستان Pakistan news update,mixed,ambiguous,corpus_derived,mixed_short,42982,Sports,7,42,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
QTRN_100,dev,پی ٹی ائی حکومت کے ڈیڑھ سال میں,urdu,short,corpus_derived,title_short,70677,Business & Economics,8,31,SHORT,HEADLINE,FULL,0.0,0.0,0,999,0.0,0.0,0,999,MIXED,0.0,ndcg@5_known_item
