query_id,split,protocol_label,protocol_route,oracle_route,agree,wordcount_route,query_category,language_type
QTRN_090,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_091,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_092,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_093,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_094,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_095,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_096,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_097,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_098,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_099,internal_val,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_100,dev,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_101,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_102,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_103,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_104,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_105,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_106,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_107,internal_val,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_108,internal_val,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_109,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_110,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_111,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_112,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_113,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_114,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_115,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_116,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_117,internal_val,SHORT,HEADLINE,HEADLINE,1,FULL,ambiguous,mixed
QTRN_118,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_119,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_120,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_121,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_122,train,LONG,FULL,HEADLINE,0,FULL,detailed,urdu
QTRN_123,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_124,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_125,internal_val,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_126,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_127,train,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_128,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_129,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_130,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_131,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_132,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_133,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_134,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_135,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_136,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_137,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_138,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_139,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_140,dev,LONG,FULL,FULL,1,FULL,detailed,urdu
QTRN_141,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_142,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_143,internal_val,LONG,FULL,FULL,1,FULL,contextual,urdu
QTRN_144,train,SHORT,HEADLINE,FULL,0,FULL,ambiguous,mixed
QTRN_145,train,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_146,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_147,internal_val,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_148,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_149,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_150,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_151,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_152,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_153,dev,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_154,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_155,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_156,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_157,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_158,train,LONG,FULL,FULL,1,FULL,detailed,urdu
QTRN_159,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_160,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_161,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_162,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_163,dev,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_164,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_165,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_166,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_167,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_168,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_169,train,SHORT,HEADLINE,MIXED,0,HEADLINE,short,roman_urdu
QTRN_170,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_171,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_172,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_173,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_174,dev,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_175,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_176,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_177,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_178,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_179,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_180,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_181,train,SHORT,HEADLINE,FULL,0,FULL,short,urdu
QTRN_182,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_183,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_184,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,roman_urdu
QTRN_185,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_186,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_187,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_188,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_189,dev,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_190,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_191,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_192,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_193,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_194,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_195,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_196,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_197,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_198,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_199,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_200,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_201,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_202,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_203,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_204,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_205,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_206,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_207,dev,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_208,train,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_209,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_210,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_211,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_212,internal_val,LONG,FULL,FULL,1,FULL,detailed,urdu
QTRN_213,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_214,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_215,dev,LONG,FULL,FULL,1,FULL,contextual,urdu
QTRN_216,internal_val,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_217,train,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_218,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,roman_urdu
QTRN_219,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_220,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_221,internal_val,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_222,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_223,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_224,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_225,dev,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_226,train,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_227,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_228,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_229,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_230,train,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_231,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_232,dev,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_233,dev,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_234,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_235,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_236,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_237,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_238,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_239,dev,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_240,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_241,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_242,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_243,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_244,internal_val,SHORT,HEADLINE,MIXED,0,FULL,short,urdu
QTRN_245,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_246,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_247,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_248,internal_val,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_249,train,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_250,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_251,train,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_252,train,SHORT,HEADLINE,MIXED,0,FULL,ambiguous,mixed
QTRN_253,dev,SHORT,HEADLINE,HEADLINE,1,FULL,short,urdu
QTRN_254,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_255,internal_val,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
QTRN_256,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_257,internal_val,LONG,FULL,MIXED,0,FULL,detailed,urdu
QTRN_258,internal_val,LONG,FULL,MIXED,0,FULL,contextual,urdu
QTRN_259,train,SHORT,HEADLINE,MIXED,0,FULL,short,roman_urdu
QTRN_260,dev,LONG,FULL,HEADLINE,0,FULL,contextual,urdu
